{'短评内容': '位置好，附近吃的多。', '短评打分': 5}
{'短评内容': '凑合凑合吧', '短评打分': 3}
{'短评内容': '酒店式公寓', '短评打分': 5}
{'短评内容': '很好的，可以常住', '短评打分': 5}
{'短评内容': '本来订了双床或者大床的优惠房结果到了说没有双床只有大床，于是每晚加了60元加床费，一晚总共460了。这个价格的话真的非常性价比不高，虽然公寓看上去还可以，但是坑爹的是热水一点都不热！晚上的北京才3度不到那种温水洗手就可以洗澡了完全不行！！我三天晚上都是随便洗洗。老板态度挺好的，我说暖气坏了就马上来修了，但是这个公寓的设施还是太旧了....', '短评打分': 4}
{'短评内容': '酒店不错。。。。。。', '短评打分': 5}
{'短评内容': '很差，很差，很差……', '短评打分': 1}
{'短评内容': '不错不错哦', '短评打分': 5}
{'短评内容': '不错不错，挺好的。', '短评打分': 5}
{'短评内容': '不错不错，挺好的。', '短评打分': 5}
{'短评内容': '不错不错，挺好的。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '地理位置好，交通便利', '短评打分': 3}
{'短评内容': '离单位很近，很不错。可惜没一次性拖鞋', '短评打分': 5}
{'短评内容': '酒店环境不错，交通也非常方便，去中关村办事很合适。房间实施也可以。', '短评打分': 3}
{'短评内容': '感觉还不错。', '短评打分': 3}
{'短评内容': '很不好找\n其他条件一般吧\n这个酒店的性价比还不如一般的快捷酒店\n不推荐入住', '短评打分': 1}
{'短评内容': '一般般，服务马马虎虎', '短评打分': 3}
{'短评内容': '  热情、守信是我到达前台的第一感觉，进入房间，整洁绵软的大床、崭新齐备的设施和干净明快的装饰风格给我新家的温馨。近在咫尺的家乐福超市与新东方学校让我学习生活无忧。自助的一日三餐满足了我的胃口，也省了不少买饭的银子；洗澡、洗衣、晾晒非常方便，外出步行、打的公交更是自如，住了就不想离开，干脆续住到月末，觉得物有所值，拍了不少照片。\n  老板人很好，卫生服务和日常维护很周到快速，有朋友来中关村一定强力', '短评打分': 5}
{'短评内容': '管理不规范，服务不好，房间卫生跟硬件设施也差强人意，实际入住房间及地点与预订有差别', '短评打分': 1}
{'短评内容': ' 服务很差，卫生条件不好。提前退房还要扣钱。下次再也不住这里了。', '短评打分': 3}
{'短评内容': '房间很大！离办事的地点也近，下次来还住这里！', '短评打分': 5}
{'短评内容': '房间还行，就是有点小，交通不太方便', '短评打分': 3}
{'短评内容': '整体还不错.家具配置较全.洗衣机冰箱.灶具等非常全.不过沒找到吹风机.满意吧.就是位置不明显.', '短评打分': 5}
{'短评内容': '酒店式公寓.非传统意义宾馆.适合居家.旅游.第一次体验.还不错.', '短评打分': 5}
{'短评内容': '不适合公务住宿，位置太难找。如果是一家人出去旅游，住那儿还不错，可以自己开伙做饭。', '短评打分': 5}
{'短评内容': '一般，不值328的价格。一早起来直接换酒店了。', '短评打分': 3}
{'短评内容': '房间很宽敞，还有微波炉可以用，服务也很热情，推荐！', '短评打分': 5}
{'短评内容': '中关村世佳酒店公寓还可以，环境，价格，卫生都还可以，不错。', '短评打分': 3}
{'短评内容': '刷卡机坏了耽误事,房间还算干净,性价比还可以。', '短评打分': 3}
{'短评内容': '＋环境不错干净卫生 就是不大好找 服务还是不错的。公寓式房间性价比高', '短评打分': 3}
{'短评内容': '公寓式酒店，卫生不是很满意，衣柜把手有些油腻', '短评打分': 1}
{'短评内容': '干净卫生，价格也还好，交通方便。去新东方5分钟。', '短评打分': 5}
{'短评内容': '北京中关村世佳酒店公寓设施齐备，环境安静，价格适中，推荐入住\n', '短评打分': 5}
{'短评内容': '环境很好的 设施很全', '短评打分': 3}
{'短评内容': '位置还可以，不过不太好找，因为没有指示标志，只能打电话询问。如果出门在外，想要住的有家的感觉，这里是首选，如果想要豪华的感觉，那还是花500块钱住大酒店吧。', '短评打分': 5}
{'短评内容': '房间不错空调制冷慢', '短评打分': 3}
{'短评内容': '酒店服务态度很好！初次体验这种公寓式的酒店，感觉不错！建议卫生方面要再加强！', '短评打分': 5}
{'短评内容': '有点贵。。。。设施一般。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '房间格局还算合理，但是设施较为陈旧。\n入住和退房效率要提高', '短评打分': 5}
{'短评内容': ' 没有想象的好', '短评打分': 3}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '服务很好，舒心', '短评打分': 3}
{'短评内容': '浴室有点小，房间面积一般，性价比还可以，服务人员不错。总之比连锁经济酒店好。', '短评打分': 5}
{'短评内容': '环境不错，更有家的感觉，出门在外，此酒店比较适合', '短评打分': 5}
{'短评内容': '宾馆很不错，有家的感觉。而且地点也特别好，', '短评打分': 5}
{'短评内容': '很一般，性价比不高，卫生不是很好，看不到招牌。', '短评打分': 1}
