{'短评内容': '谢谢服务员的耐心服务，', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '早上10点就敲门问打扫卫生，影响休息，服务员态度不好，还觉得她有理了争辩', '短评打分': 4}
{'短评内容': '地理位置还可以 就是房间设施有些老旧', '短评打分': 4}
{'短评内容': '极差的旅馆', '短评打分': 2}
{'短评内容': '位置很偏，卫生条件不太好。', '短评打分': 2}
{'短评内容': '地理位置优越，去很多地方都有地铁可以到，非常方便，推荐给大家，实惠！大家来北京游玩可以入住这家酒店。出行便利', '短评打分': 5}
{'短评内容': '好！，。。。。', '短评打分': 5}
{'短评内容': '不知道好评哪里来的 连他们经理都说不行，这店开的真是搞笑！！！', '短评打分': 1}
{'短评内容': '安静，电视有点旧了，别的就不挑剔了，价格本来就不高', '短评打分': 4}
{'短评内容': '性价比超高', '短评打分': 5}
{'短评内容': '蛮去', '短评打分': 4}
{'短评内容': '蛮去', '短评打分': 4}
{'短评内容': '感觉就像旅馆', '短评打分': 3}
{'短评内容': '周围环境方便，只是内部设施陈旧，这个价格的性价比还算可以接受吧！', '短评打分': 4}
{'短评内容': '性价比不错，还可以欣赏陶然亭水兵舞。', '短评打分': 3}
{'短评内容': '下午6点住进来的，感觉还不错，挺安静！', '短评打分': 3}
{'短评内容': '位置偏僻，房间设备及其破旧，不隔音', '短评打分': 1}
{'短评内容': '房间不错，设备有点老但是非常干净，物有所值吧', '短评打分': 3}
{'短评内容': '酒店不好找，但很幽静，冷气很足。', '短评打分': 3}
{'短评内容': '这里有过99元的特价房，真是很抢手呢，定了好几次房间都没有了，最后好不容易定了一次，环境还不错，房间整洁，很干净，让人住着都很愉快。', '短评打分': 5}
{'短评内容': '外环境很安静，就是交通太不方便。', '短评打分': 3}
{'短评内容': '酒店不好找！', '短评打分': 3}
{'短评内容': '舒适', '短评打分': 3}
{'短评内容': '至今为止，我住过最差的连锁酒店。设备陈旧！卫生条件很差。唯一的优点就是距陶然亭公园比较近！', '短评打分': 1}
{'短评内容': '本人至今未止住过最脏最差的酒店，完全就是招待所改的，和图片完全不符，位置也不好找，前台一直黑着脸，结账也很慢。', '短评打分': 1}
{'短评内容': ' 哎，二店不行啊，屋子里有股发霉的味道.......', '短评打分': 3}
{'短评内容': '不错，卫生很好，值得一住~', '短评打分': 3}
{'短评内容': '性价比高', '短评打分': 3}
