{'短评内容': '交通饮食方便，环境安静', '短评打分': 5}
{'短评内容': '非常好！给人一个不一样的感受。', '短评打分': 4}
{'短评内容': '服务不太满意，装修也不喜欢', '短评打分': 2}
{'短评内容': '房间好大哦', '短评打分': 4}
{'短评内容': '性价比很高，推荐入住', '短评打分': 4}
{'短评内容': '不错，我们早上到的，由于提前几天预订了房间，一到就入住了。房间比较大，卫生也不错。一共住了三天两晚，还挺习惯的', '短评打分': 5}
{'短评内容': '不错，下次还会入住', '短评打分': 5}
{'短评内容': '还行。', '短评打分': 4}
{'短评内容': '这酒店挺好的', '短评打分': 5}
{'短评内容': '可以 性价比比较高的 ', '短评打分': 5}
{'短评内容': '房间卫生很干净，早餐也非常丰富，大赞', '短评打分': 5}
{'短评内容': '第一次住，个人来讲应该不会再住了，房间的灯光很暗，前台的服务态度很一般，附近吃饭的地方挺多的，早上比较难打车，总体很一般！', '短评打分': 3}
{'短评内容': '四周都是吃辣的，吃粤菜的地方比较少', '短评打分': 5}
{'短评内容': '很好，值得推荐', '短评打分': 5}
{'短评内容': '房间很舒服', '短评打分': 5}
