{'短评内容': '朋友推荐的！还不错', '短评打分': 4}
{'短评内容': '帮同事待定的说实话我不知道', '短评打分': 5}
{'短评内容': '很不错的一家酒店，位置很方便，离西安的城墙，离东门非常近。酒店大堂非常气派，这个酒店是四星级，设施有些陈旧了，希望能越来越好。', '短评打分': 4}
{'短评内容': '很不错的一次住宿体验，酒店四星级，房间宽敞，舒适，干净整洁，床很大，软硬适中，让人睡的很舒服，这里又非常安静，一觉睡到大天明，真心不错，下次再来住。', '短评打分': 4}
{'短评内容': '靠近西交和西理 后面有很多吃饭的地方 比较方便', '短评打分': 4}
{'短评内容': '很卫生，很宽敞，很nice的一次旅行', '短评打分': 5}
{'短评内容': '好好好好好好，非常好，超级好。要不到台的好。', '短评打分': 5}
{'短评内容': '酒店很好很好', '短评打分': 5}
{'短评内容': '性价比高的一个酒店，紧靠景点，特色小吃棒，尤其回民街超棒。推荐！', '短评打分': 5}
{'短评内容': '不错，很不错', '短评打分': 5}
{'短评内容': '出差，这个酒店虽然旧了老一些，但性价比绝对高！', '短评打分': 3}
{'短评内容': '环境好，房间中隐隐有下水道反味，周边早歺不方便（店少，早上开歺晚），早七时前吃早歺需步行20分钟后才有。', '短评打分': 4}
{'短评内容': '地理位置优越', '短评打分': 4}
{'短评内容': '各方面不错，满意', '短评打分': 1}
{'短评内容': '酒店地理位置不错，设施比较新，卫生条件不错', '短评打分': 5}
{'短评内容': '位置位于城墙东南角外，环境很好，可到城墙下看看，护城河水也不错；交通方便；酒店设施不错，服务很到位，卫生很好，推荐', '短评打分': 4}
{'短评内容': '酒店设施等级还不错，隔音很好，不吵。周围吃饭什么的也比较方便', '短评打分': 5}
{'短评内容': '酒店位置不错', '短评打分': 5}
{'短评内容': '房间尚可，网速很慢。先无遥控器，后电视打不开，好在给换了。太对不起这么高的房价', '短评打分': 3}
{'短评内容': '太一般了，服务员冷淡，设施一般, 不象四星的。', '短评打分': 1}
{'短评内容': '因为工作的原因，离客户单位近。多次住这里。房间还可以，价格有点贵。', '短评打分': 5}
{'短评内容': '酒店管理很烂, 服务员在走廊大声说话. 入住后,才有人送二瓶水.放房间可能怕丢了.', '短评打分': 1}
{'短评内容': '晚上居然停了一小时电，也不通知。突然间，吓人！!!!!!', '短评打分': 1}
{'短评内容': '各反面基本可以。唯一需要改善的是三楼餐厅服务员的接待质量和水平，不能回答客人询问时老是拉着脸。', '短评打分': 5}
{'短评内容': '房间很大,澡水不错,交通便利,如果卧房能配些抽取纸就好了.', '短评打分': 3}
{'短评内容': '房间面积很大，高度较高，感觉空间大，也很干净，很舒适。豪标，是两张1米5*2O米的床，很适合一家三口出行住宿。就是洗澡间有点小，没有浴池。', '短评打分': 5}
{'短评内容': '  酒店设施不错，干净！', '短评打分': 3}
{'短评内容': '房间够大.也比较干净.就是酒店配套设施不够四星标准.更本没有温泉进房间.', '短评打分': 3}
{'短评内容': '半夜一点半有几个醉酒的其他楼层的客人，找错房间，在我的房门外敲了半天门，我一直以不认识没开门，但过了会服务员竟然用房卡把我的房门打开，发现走出后，那几个喝醉的房客和服务员当时没有做任何解释。第二天早上去大堂问情况态度也很差，下次真不知道还去那干嘛', '短评打分': 1}
{'短评内容': '很好，就在市中心，这个价格也就不算贵了。尤其是开会也在这里，很方便。', '短评打分': 5}
{'短评内容': '性价还可以，在西安房间算大了', '短评打分': 3}
{'短评内容': '酒店房间很干净  就是配置较少  缺少面巾纸  咖啡等  有些不便  但性价比还算合适', '短评打分': 5}
{'短评内容': '房间比较干净，地理位置还不错，其他一般。整体水平有待提高。', '短评打分': 3}
{'短评内容': '酒店卫生服务都不错，价格也合理，位置在高新区，办事方便，推荐！', '短评打分': 5}
{'短评内容': '中规中矩，并没什么特殊。还算是比较好的选择吧。', '短评打分': 5}
{'短评内容': '感觉前台服务很不专业， 位置还行， 在城墙边上。 其他也还可以', '短评打分': 1}
{'短评内容': '房间挺大的，布置的挺时尚，也很干净，服务上也很周到，感觉住的挺舒适。', '短评打分': 5}
{'短评内容': '上次出差住的这里，不过还满足了爱购物毛病，旁边有一有个还不小的商业街，不错', '短评打分': 5}
{'短评内容': '很有家的感觉，装修虽然简约，但也还蛮实用的，去景点什么的，也挺方便。', '短评打分': 5}
{'短评内容': '酒店的位置不错，离古城墙很近，房间面积挺大的，床也挺大的，住着很舒服', '短评打分': 5}
{'短评内容': '房间很干净，服务也还可以，早餐不错，种类挺多，如果有机会，还是会住的。', '短评打分': 5}
{'短评内容': '服务人员态度真的很好，不会嫌麻烦的，我和朋友很感谢他们，下次还住这里', '短评打分': 5}
{'短评内容': '服务人员应该是通过统一培训的，管理有素，服务热情，卫生、设施方面也不错', '短评打分': 5}
{'短评内容': '重新装修的酒店，设施非常新，服务也不错，就是性价比差了点', '短评打分': 5}
{'短评内容': '不记得第几次入住此酒店了。离市区也很近，打个的很快到钟鼓楼。适合商务出差人士。早餐要是再丰富些就好了。', '短评打分': 5}
{'短评内容': '地热水很好', '短评打分': 5}
{'短评内容': '商务豪华间还不错,空间比较大,干净.不过上次住的房间烟味没有除尽.餐厅一般.', '短评打分': 5}
