{'descr': '房间还是挺干净得哈，就是地方不太好找 找了好久  导航出错了。', 'star': 5}
{'descr': '地理位置不错。周边景点很多，去哪里都方便。值得推荐。', 'star': 5}
{'descr': '就住了一晚，没有窗户确实有点闷，不过就一夜还好。送两瓶水我全喝了，哈哈哈哈哈哈哈。好评呀！下次还会考虑这里。', 'star': 5}
{'descr': '房间宽敞，无异味，酒店位于小区里，有点难找，十分安静', 'star': 5}
{'descr': '房间还可以，出行交通也方便', 'star': 5}
{'descr': '位置是真的不好找啊？', 'star': 4}
{'descr': '很好 太棒 自己体会，下次还会再次购买哈哈哈', 'star': 5}
{'descr': '附近有肯德基和三个地铁口，十分方便', 'star': 5}
{'descr': '一如既往的好 一如既往的支持京东', 'star': 5}
{'descr': '很好很干净哈勃', 'star': 5}
{'descr': '还将就吧，去了给换的有窗的房间，比直接在店里付钱便宜100块钱', 'star': 5}
{'descr': '在小区的最后一排拐角处，太难找了', 'star': 3}
{'descr': '中规中矩', 'star': 3}
{'descr': '交通方便，周围吃饭也方便，卫生不错，毛巾床单都干净，清爽。', 'star': 5}
{'descr': '最赞的是卫生和酒店的热水系统，真的很不错。', 'star': 5}
{'descr': '酒店都还好，就是在小区里，难找', 'star': 5}
{'descr': '第一次入住这家酒店，但在别的地方经常住锦江之星，对这个品牌的设施环境服务都非常认可。这家的服务态度挺好，咨询、订房确认、帮忙找人都是耐心周到。写下好评！', 'star': 5}
{'descr': '挺不错，方便', 'star': 5}
{'descr': '在小正内，离地铁西直门站和北大人民医院近。', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '在小区里，不太容易找。房间比较小，隔音一般', 'star': 3}
{'descr': '比较不错，服务态度好！', 'star': 5}
{'descr': '还行', 'star': 3}
{'descr': '多次入住，作为经济型酒店，卫生和服务都还可以。早饭的地方太小了，赶上入住满的时候，早饭需要排队，很浪费时间。', 'star': 5}
{'descr': '周边吃饭，交通都不错，酒店在小区里面，非常安静。几个缺点:1-酒店外围没有明显标示，夜晚最闪亮的标牌在展览馆大院里面，而酒店却在隔壁小区里，朝着招牌走去，南辕北辙;2-酒店前台座机打通了三次才有人接;3-马桶太差，下水不利，操作不便;4-偌大的一面墙，电视够显眼;5-一边床头灯是坏的', 'star': 2}
{'descr': '地方很难找，相对于经济型酒店的话价钱并不便宜，房间安排在一楼很压抑，有股怪怪的味道，且很小，由于离总台太远也收不到无线网络，第二天果断换了其他地方住，不明白为什么还有百分之91的人推荐这里？', 'star': 1}
{'descr': '此前的六月上旬住过苏州南站的锦江之星，因为临别时的早餐极好，加上酒店整体卫生和服务也很可以，这次又选了北京的动物园店。\n\n但是，我只能比较遗憾的说，本次是个错误的选择：\n首先,酒店大厅到二楼楼梯间、包括楼道有异味；\n其次,位置在北展东边，却叫动物园店的店名，真的不好找啊；\n三，有点名不副实的连锁店，整体服务的性价比为什么差别会这么大呢？\n\n', 'star': 1}
{'descr': '动物园旁边 周边交通很方便 在两个地铁站中间 出门就有公交车站 房间不大 卫生尚可 就是淋浴的下水比较慢 洗完澡 水都积在那边 过好一会儿才能完全从地漏流光', 'star': 5}
{'descr': '位置不太好找，在一个小区里面，锦江之星环境都差不多，挨着动物园和服装城，总体来说还可以啊，性价比算是中等，推荐', 'star': 5}
{'descr': '回来就可以洗个热水澡，附近的早餐也很便宜，我订了两间住了6个大人1个孩子不觉的挤，还有返现，很划算。房间不大，挺干净，附近交通很方便，酒店服务也很好，就是我订的时候是返现20元的，过了两天一查就返30元了，重新订又没有房间了，只好住返20元的了，有点郁闷，不过洒店还是很舒服的。', 'star': 5}
{'descr': '交通很方便，房间很干净，床也很舒服，洗澡很方便，水很好，虽然房间小点，但住三个人足够 ，所以在这个地段，这个价位还是很划算，还有在速8的后面有个小门白天是开着的在那过去，很近的。', 'star': 5}
{'descr': '酒店很干净，服务也不错、也不像说得那么不好找，离动物园、服装批发市场都很近，周边饭店也很多，交通也比较方便离2、4、13号地铁线，超不过1000米，很好。但是唯一不足的就是隔音不是太好，楼道里的一举一动都听得很真，睡觉轻的朋友要考虑了', 'star': 5}
{'descr': ' 服务好 店员热情好客', 'star': 3}
{'descr': '酒店比较隐蔽，在一个小区里面，门口收费的那个女的有点恶心，不给钱不让开进去，实际上住酒店不需要给她钱的！', 'star': 5}
{'descr': '宾馆十分干净 价格适中', 'star': 3}
{'descr': '环境不错、价格优惠、酒店服务比较好，值得推荐\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': 'The toilet on the zero floor is not good.', 'star': 3}
{'descr': '太难找', 'star': 3}
{'descr': '环境不错,房间在大点就好了', 'star': 3}
{'descr': '干净，服务很好，而且很安静，但是就是有股塑料味，网总是断，而且没有暖气只有暖空调，比较干燥', 'star': 3}
{'descr': '第二次入住了，酒店很干净也很安静，下次一定还来这里', 'star': 3}
{'descr': '房间太小，餐厅没有锦江大厨，厕所有味，前台很热情，有礼貌', 'star': 5}
{'descr': '环境很好，酒店非常舒适，而且离动物园和附近的服装市场都很近，下次去一定还会入住', 'star': 5}
{'descr': '应该说整个酒店的位置还是不错，离北展、西直门服装城还是很近的，主要不太满意的地方时是卫生间有点小，特别是马桶不太好使，让人不舒服，其次网络连接也有问题，酒店内部的网络管理系统使得网页浏览不顺畅，酒店经理还说是我电脑的事情，第二天换了一家酒店设置未变更网络相当流畅。\n早餐不错是一大亮点，位置不太好找，在小区里面，与速8酒店在一起，感觉不如速8方便', 'star': 1}
{'descr': '不错 干净 快捷  \n\n空间很大  下次还住这里~~~', 'star': 5}
{'descr': '比预计的远一点', 'star': 3}
{'descr': '很好，很舒适，洗澡水很热哈哈非常好很满意！', 'star': 5}
{'descr': '服务态度很好，只是楼层少了点，房间挺干净的，这个地方不太好找', 'star': 3}
{'descr': '已经第二次入住了，环境非常好，酒店内设干净整洁，服务员也很好，最终要的是交通方便。', 'star': 3}
{'descr': '酒店位置比较偏僻，很安静，但是房间下水道的味道太大，整个晚上都需要开着排风才行。', 'star': 1}
{'descr': '交通很方便！酒店环境干净。', 'star': 3}
{'descr': '交通方便，地铁公交车都很方便。服务热情，解决问题及时，就是一楼房间的卫生间味道较大，后来调到2楼感觉好一点。', 'star': 5}
{'descr': '酒店服务不错，离地铁站，北京北站和汽车站也较近，就是不太好找酒店的位置。酒店前台还有一台电脑方便大家使用。满意。', 'star': 5}
{'descr': '总体不错，除了地点有一点不太好找，因为在小区里面，建议去之前把酒店号码留好，便于问路，还有一小点，不太满意，就是卫生间不知是什么怪味，象是什么药水味道的感觉，其他都不错。', 'star': 5}
{'descr': '还不错。离天安门广场比较近，酒店服务不错。', 'star': 5}
{'descr': '还不错，下次应该还会入住。还不错，下次应该还会入住。还不错，下次应该还会入住。', 'star': 5}
