{'短评内容': '噪音太大，隔音不好，不去了。', '短评打分': 5}
{'短评内容': '位置好 出行方便', '短评打分': 5}
{'短评内容': '没吃早饭，我也不知道有没有，应该是有的', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '', '短评打分': 4}
{'短评内容': '不是很满意，淋浴水龙头出水很少，而且水不是很热', '短评打分': 4}
{'短评内容': '很好了，找个地方。', '短评打分': 5}
{'短评内容': '还行吧，早上打扫声音大，其他还好。', '短评打分': 5}
{'短评内容': '赛里木湖你女骨灰模糊规模搜去去呀搜嘎民意', '短评打分': 5}
{'短评内容': '东西非常不错，是正品，非常好', '短评打分': 5}
{'短评内容': '酒店的地址距离火车站不远，附近还有一个步行街，挺方便的。美中不足的是，房型只见过有免费升级的，没有看到有降级的。明显给的是张普通大床房，房间略小，格局一般。前台接待没有什么表情，略显冷漠。没有感受到山东的热情和淳朴～～', '短评打分': 5}
{'短评内容': '房间大，很舒服 周边也很热闹', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '其实被子有些赃的，还好，前台服务态度不错也算满意了！希望你们能好好洗洗一侧被子，我觉得如果被洗干净了还是个不错的地方', '短评打分': 3}
{'短评内容': '不错，很好很好，真的很好，能干。', '短评打分': 3}
{'短评内容': '在步行街旁边，很方便', '短评打分': 3}
{'短评内容': '还可以，习惯好评', '短评打分': 5}
{'短评内容': '很好特别好很好还会去', '短评打分': 3}
{'短评内容': '服务热情，出差不错的选择', '短评打分': 5}
