{'短评内容': '每次来西京医院都要住在这里 因为不仅地理位置很好 方便就诊 而且住着舒适 如果想要更好的话 那就是适时更换设施 毕竟时间久了 有些陈旧', '短评打分': 5}
{'短评内容': '酒店地址佳', '短评打分': 5}
{'短评内容': '房间太小进去三个人基本上转不过身，住了一晚上地下停车费就收了45元！简直抢钱啊！', '短评打分': 1}
{'短评内容': '早餐不错，种类多。主要是离西京医院很近。可是房间设施实在是太陈旧，昨天房间的衣柜散架，对，就是散架，差点儿砸到我。今天给孩子看病续住，家庭房的通风口过滤网又掉下来，是铁边的啊，万幸啊万幸，离我几公分，然后报修，工人来了镶上去就over了，数不会再掉下来，结果他手还没松开，就又掉了，我能说什么呢，能说什么呢！', '短评打分': 4}
{'短评内容': '最佳选择的地方，', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '还是不错的，以后就住这里了', '短评打分': 5}
{'短评内容': '不错，非常满意。', '短评打分': 5}
{'短评内容': '在海景住过几次了，感觉很好。环境卫生都不错，很舒适。', '短评打分': 5}
{'短评内容': '和描述的一样好，挺好的', '短评打分': 5}
{'短评内容': '死板', '短评打分': 1}
{'短评内容': '太死板', '短评打分': 1}
{'短评内容': '酒店位置好，出行方便，推荐入住。', '短评打分': 4}
{'短评内容': '总体不错，去看病位置最好的宾馆', '短评打分': 4}
{'短评内容': '环境可以', '短评打分': 4}
{'短评内容': '服务态度很好！设施齐全，房间干净，不错！', '短评打分': 5}
{'短评内容': '位置好～只是酒店硬件有些陈旧科～', '短评打分': 5}
{'短评内容': '舒适干净，以后还会再来的', '短评打分': 5}
{'短评内容': '医院对面，地理环境优越，房间挺宽敞挺舒服', '短评打分': 5}
{'短评内容': '酒店环境不错，房间内干净，离西京医院很近。', '短评打分': 1}
{'短评内容': '离西京医院很近，很方便，房间很好，很干净。', '短评打分': 1}
{'短评内容': '出差办事还是很方便的，个人感觉大堂服务比看到的评论要好很多，总体不错。', '短评打分': 4}
{'短评内容': '酒店距离办事地点很近，本来看评论还担心大堂服务不好，去了感觉很是不错的。酒店环境也还好，下次应该还会入住。', '短评打分': 4}
{'短评内容': '环境好，去西京医院特方便，好。价格再优惠些更好了。  ', '短评打分': 5}
{'短评内容': '相比价位，性价比还是挺高的。基本设施都很完备，不错。', '短评打分': 5}
{'短评内容': ', 服务很好，打车方便，但房间小了些。', '短评打分': 3}
{'短评内容': ',很好,离西京医院很近,方便办事.', '短评打分': 3}
{'短评内容': '离西京医院很近，办事方便。自助餐一般般。我把精油落在房间里了，退房时也没人发现，算了。', '短评打分': 5}
{'短评内容': '酒店还好价格优惠！就是积分到现在都没有返回来', '短评打分': 4}
{'短评内容': '位置好，设施不错，价格稍贵', '短评打分': 5}
{'短评内容': '酒店干净 地理位置便捷 适合去西京医院 不错 推荐 ', '短评打分': 5}
{'短评内容': '房间卫生不错，房间比较小，价格较高，但是在那个地方酒店都不便宜。', '短评打分': 5}
{'短评内容': '酒店还行，医院开会入住比较多，房间紧张', '短评打分': 3}
{'短评内容': '去西京医院非常方便', '短评打分': 3}
{'短评内容': '去西京医院办事的人可以住这里，比较方便，机场打车过来打表大概110（包含过路费）。餐厅一般，晚餐动心很少~~~', '短评打分': 5}
{'短评内容': '还不错，就是离医院太近了，感觉好多看病的人会住在这', '短评打分': 5}
{'短评内容': '去西京医院非常方便,50米就到,房间有些旧了,价格偏高', '短评打分': 3}
{'短评内容': '一如既往的脏乱差。一如既往的脏乱差。一如既往的脏乱差。一如既往的脏乱差。一如既往的脏乱差。一如既往的脏乱差。一如既往的脏乱差。一如既往的脏乱差。', '短评打分': 5}
{'短评内容': '还行吧，几乎一个月住七八天，西京医院办事离的近很方便，但是性价比不高', '短评打分': 3}
{'短评内容': '每次在四军大办事都住这个，还行吧，要是含早餐就好了', '短评打分': 3}
{'短评内容': '还行、每次都住这里，不错', '短评打分': 3}
{'短评内容': '环境一般而且酒店不提供停车服务，四星酒店门口停车要计时收费，住一晚光停车费就不少，早上洗澡水也不好，一会儿凉一会儿热的，不推', '短评打分': 3}
{'短评内容': '不错很舒服环境很好热别是沙发让人感觉到家一样', '短评打分': 5}
{'短评内容': '什么破酒店，要不是离西京医院近办事方便怎么选这个破酒店，服务意识巨差，前台一直挤着一堆人，跟五十年代的火车站卖票窗口一样，check in等着，check out还是等着，也没有一个人维持一下先后次序，前台一直苦着一张脸，感觉谁欠她钱一样，上次入住没有热水，大冬天的早上起来洗冷水澡，酒店也没有一个通知，事后也没有一个道歉，感觉这个事情是理所当然的，这次入住告诉我餐费不能挂房帐，必须自行支付，说我预', '短评打分': 1}
{'短评内容': '房间相当不错，二楼餐厅做的菜味道不错，下次还住那', '短评打分': 5}
{'短评内容': '酒店位置非常好，到西京医院办事的首选\n缺点：网络奇差，网速可以用蜗牛来形容。而且还需要前台申请密码才能使用。\n有网络要求的客人，不推荐使用\n', '短评打分': 5}
{'短评内容': '设施、服务均不错,价格偏贵.', '短评打分': 3}
{'短评内容': '海景酒店，靠近西京医院。每次去西京医院公干都会选择这家酒店。价格合理，周围小吃众多，各色面点应有尽有。', '短评打分': 5}
{'短评内容': '房间一般，价格贵，唯一好处离西京医院近', '短评打分': 3}
{'短评内容': '每次来西安都会选择入住的酒店，各方面我都挺喜欢的', '短评打分': 5}
{'短评内容': '我每次去西安啊都会考虑入住的酒店，各方面都还不错的', '短评打分': 5}
{'短评内容': '干净整洁，必要用品完备，性价比高，值得入住。', '短评打分': 5}
{'短评内容': '服务态度一般，有待改进，房间设施还不错，打车较方便，但是交通就不太理想了', '短评打分': 5}
{'短评内容': '还行，因离办事的地方近，还是蛮方便，总体来说还行', '短评打分': 5}
{'短评内容': '酒店环境和设施都不错，到景点和市区都很方便，就是价格有点高，可能是旅游旺季的原因吧', '短评打分': 5}
{'短评内容': '环境一般，晚上太吵', '短评打分': 3}
{'短评内容': '整个房间房型不错，很干净 舒适。隔音效果也不错，但早餐品种略少，房间内插头不多。', '短评打分': 5}
{'短评内容': '酒店离办事的地方很近，比较方便。', '短评打分': 3}
{'短评内容': '听不错的，离西京医院也近，离康复路也不远，购物方便。就是房间稍微小了点。服务质量也符合4星级标准。就是房间老紧张，需要提前预定。', '短评打分': 5}
{'短评内容': '价高  不值价高  不值价高  不值价高  不值价高  不值价高  不值价高  不值价高  不值价高  不值价高  不价高  不值值价高  不值价高  不值价高  不值价高  不值价高  不值价高  不值', '短评打分': 1}
{'短评内容': '房间一半', '短评打分': 3}
{'短评内容': '地理位置好，周边环境也还不错。距离西京医院非常近，服务也不错， 下次去西安还会住这儿。建议如有去西京医院办事或者看病的，可以选择这家酒店。', '短评打分': 5}
{'短评内容': '住在豪标，水龙头水很小，洗脸都很困难，几乎不能洗澡。', '短评打分': 5}
{'短评内容': '第4次住了，感觉还是很舒服的，值得推荐！', '短评打分': 5}
{'短评内容': '这家酒店性价比还是不错的，离西京医院也挺近的，服务也还可以，当然跟旁边的金花还是有距离的。', '短评打分': 5}
{'短评内容': '每次出差都会住这里，房间很干净，服务人员态度友好，地段也不错，就是不太好打车', '短评打分': 5}
{'短评内容': '帮朋友订的，还不错，就在医院的对面，如果是去西京医院那就是在方便不过的地方了 \n', '短评打分': 5}
{'短评内容': '348的房间简直太小了，电脑桌在门口，出门需要先把凳子搬走，房间窗户打不开。之前住过，我认为条件还是不错的，以后还会住，但要选择好房间', '短评打分': 5}
{'短评内容': '交通方便，房间较干净，餐厅饭菜较可口，只是价格比较贵', '短评打分': 5}
{'短评内容': '帮朋友订的，我自己也住了，还不错，就在医院的对面，如果是去西京医院那就是在方便不过的地方了', '短评打分': 5}
{'短评内容': '还可以，酒店比较老，但设施还不错，可惜不含早餐', '短评打分': 5}
{'短评内容': '服务比较好，酒店也比较新，就是周围打车不是很容易。', '短评打分': 5}
{'短评内容': '服务周到，卫生干净。我下次来西安还会入住海景酒店。', '短评打分': 5}
{'短评内容': '离西京医院比较近，酒店条件还可以，相对来说性价比还行。', '短评打分': 5}
{'短评内容': '离西京医院很近，是这周围性价比较高的酒店', '短评打分': 5}
{'短评内容': '很好的酒店，也是同事出差推荐的，性价比还不错，挺干净的\n', '短评打分': 5}
{'短评内容': '房间设施不错，距离第四军医大较近，客服也不错，前台接待太差，并且商务中心等是外包，不怎么方便。', '短评打分': 5}
{'短评内容': '总的来说，性价比还是挺不错的，离西京医院很近，但周围吃饭的地方不多，这点比较遗憾。', '短评打分': 5}
{'短评内容': '酒店还可以就是早餐太差了吧', '短评打分': 3}
{'短评内容': '要去西京医院办事还是不错的选择 过了马路就到了', '短评打分': 5}
{'短评内容': '离西京医院非常近 入住第一晚空调是坏的 打了电话给前台1个多小时没变化 再打次才检修了  环境还是不错的 不过打市话还要收费 比较不合理', '短评打分': 5}
{'短评内容': '酒店很好，很干净，很舒服，景色也很美，作为四星级酒店，还是很实惠的', '短评打分': 5}
{'短评内容': '居然能把客人衬衣的纽扣弄丢，简直还不如最最普通的酒店，差到极点。', '短评打分': 1}
{'短评内容': '酒店干净，服务比较到位，去火车站很近', '短评打分': 3}
{'短评内容': '入住的豪标不错,房间很大,很时尚!就是价格有点贵,尤其住酒店停车还收费有点接受不了.', '短评打分': 3}
{'短评内容': '在附近工作或者出差住在那里会比较方便，交通也还算便利，早餐不太好吃。', '短评打分': 5}
{'短评内容': '酒店环境挺好，设施不错，下次还住', '短评打分': 3}
{'短评内容': '环境很不错，和图片里的一至，不过前台的服务态度真是不敢恭维，太生硬了，以后可能不会入住，', '短评打分': 1}
{'短评内容': '还行，总体感觉还不错，总是涨价，电梯要等很久，退房订房都要等很久。', '短评打分': 5}
