{'短评内容': '酒店位置好，方便', '短评打分': 5}
{'短评内容': '环境不错！', '短评打分': 5}
{'短评内容': '酒店位置非常方便，有很大的停车场，安全、卫生。', '短评打分': 5}
{'短评内容': '干净卫生服务也挺好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '相当不错，装修很不错，价位合理！！！', '短评打分': 5}
{'短评内容': '垃圾，从来没有住过那么垃圾的宾馆，还三星级？跟路边小旅馆差不多吧？灯是坏的。电视没信号，图上说得tm那么好，垃圾', '短评打分': 1}
{'短评内容': '整体感觉不错', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '贵，差', '短评打分': 3}
{'短评内容': '价位合适 ', '短评打分': 5}
{'短评内容': '不想说', '短评打分': 3}
{'短评内容': '酒店位置还可以，但设施较差，老酒店了，屋子里面东西比较陈旧，早餐一般，398的套间是带麻将桌的，不值啊', '短评打分': 3}
{'短评内容': '一般，离火车北站比较近', '短评打分': 4}
{'短评内容': '酒店设施陈旧了，其他都好，安静，房间宽敞明亮。', '短评打分': 4}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '位置不错，设施有待更新，服务还好。', '短评打分': 5}
{'短评内容': '还不错，价格合适，环境优雅舒适，就是前台服务态度差', '短评打分': 5}
{'短评内容': '挺好的，蛮喜欢的，还不错。价格算合理。。。', '短评打分': 5}
{'短评内容': '挺好的。环境比较安静，还有免费早餐。也比较干净', '短评打分': 5}
{'短评内容': '干净，舒服，如同温暖的家', '短评打分': 3}
{'短评内容': '档次较高，住的舒适，价位还不高。档次较高，住的舒适，价位还不高。', '短评打分': 5}
{'短评内容': '帮同事订的酒店房间，没有在这里吃过早餐不太清楚，但中午的正餐还不错，不只讲究色香味还比较重视营养搭配，不错。', '短评打分': 5}
{'短评内容': '我们是会议期间为区县的员工订的房间，有人说地址不好找，出租车司机都知道，告诉他在公安局对面就行了。不错的酒店！', '短评打分': 5}
{'短评内容': '不错的酒店，我们是会议期间为员工订的房间，菜品也可以，由于是老干部活动中心，市级老领导经常在这里开展活动，菜品都比较讲究营养。下回还会选择这里的。', '短评打分': 5}
{'短评内容': '酒店设施还不错，服务还好。就是位置交通不太方便。', '短评打分': 5}
{'短评内容': '设施简单和三星不配 服务态度也不好。一个单人房连纸都没有比商务酒店都还差 ', '短评打分': 1}
{'短评内容': '重庆雾都太阳城，质、价还可以。', '短评打分': 3}
{'短评内容': '安全，舒适，隔音也很好，但电视太烂了，经常会自动停掉，且酒店所以在较偏。', '短评打分': 5}
{'短评内容': '471路是从杨家坪开过来的，刚好在太阳酒店旁边是终点站。但是酒店前台的服务质量应该提高，起码的微笑应该有的吧。', '短评打分': 5}
{'短评内容': '房间的电视该换一换了啊，液晶电视才对得起三星的标准啊。早餐该多点豆浆，油条之类的，老是那几种，都吃腻了。', '短评打分': 5}
{'短评内容': '酒店的交通不是很方便，前台的服务有待加强。房间的布局还可以，价格合适。早餐的花样少点，最好加入豆浆，油条，满足北方的客人、', '短评打分': 5}
