{'短评内容': '位置挺好的，服务周到，而且接电话的小姐姐人超级超级好，还怕我找不到地方啥的，还跟我说可以使用别的支付', '短评打分': 5}
{'短评内容': '环境好，住着舒服', '短评打分': 5}
{'短评内容': '比快捷酒店环境好', '短评打分': 5}
{'短评内容': '不错 就是隔音不好', '短评打分': 5}
{'短评内容': '交通便利，干净卫生，隔音较差，', '短评打分': 4}
{'短评内容': '还行就是蛮干净的', '短评打分': 3}
{'短评内容': '还是很不错的，尤其是早餐', '短评打分': 5}
{'短评内容': '房间很宽敞，不错', '短评打分': 5}
{'短评内容': '短期出差可以的', '短评打分': 5}
{'短评内容': '短期出差可以的', '短评打分': 5}
{'短评内容': '还不错，服务好，房间要是暖气再好一点就更理想了！', '短评打分': 5}
{'短评内容': '服务很好，下大雪了到的晚，一直给留着房间', '短评打分': 5}
{'短评内容': '酒店不错的。', '短评打分': 5}
{'短评内容': '还可以!!!!!!!!', '短评打分': 3}
{'短评内容': '比较商务，设备齐全，不过像是在新城，周边全是大马路', '短评打分': 3}
{'短评内容': '还好吧', '短评打分': 4}
{'短评内容': '酒店非常好，房间宽敞舒适，干净整洁。服务员态度特好，非常热情。价位合理。强烈推荐！！！', '短评打分': 5}
{'短评内容': '该宾馆南有公园，北临非干道，很安静。离山海天较近。服务态度很好，在登记时工作人员留下我的手机号，有一次我老婆没关好车门，工作人员及时给我打电话，在此表示感谢。', '短评打分': 3}
{'短评内容': '酒店房间不错', '短评打分': 3}
{'短评内容': '比较干净，就是噪音太大。服务员态度挺好，服务热情。', '短评打分': 1}
{'短评内容': '服务员态度非常好，让人觉得很舒服。酒店清爽干净！', '短评打分': 5}
{'短评内容': '酒店环境不错，客房也很宽敞，就是早餐品种少。', '短评打分': 3}
{'短评内容': '酒店不错，就是稍稍晚点！', '短评打分': 3}
{'短评内容': '服务、房间设施等还可以，价格超值。下次再住。', '短评打分': 5}
{'短评内容': '酒店看着挺新的，服务挺热情，卫生和设施也挺好，就是位置有点偏。', '短评打分': 3}
{'短评内容': '酒店硬件设施不错，软件设施有待于提高，价格还是挺合理的。', '短评打分': 5}
{'短评内容': '房间挺宽敞，设施挺齐全，卫生也不错，感觉挺舒适。', '短评打分': 5}
{'短评内容': '房间装修的挺不错，服务态度也挺好，价格也挺实惠的。', '短评打分': 5}
{'短评内容': '服务态度挺好，早餐也不错，房间干净卫生，住的也挺舒适。', '短评打分': 5}
