{'短评内容': '的呃呃呃呃呃呃呃呃呃呃呃呃呃呃', '短评打分': 5}
{'短评内容': '看着不错，又休息了一天，总体感觉性价比比较高，而且关键的是离医院比较近，不用走太多路，这一点是最好的。', '短评打分': 4}
{'短评内容': '过来友谊医院看病，出门过马路就是医院，很方便。酒店环境不错，爱想象的好', '短评打分': 4}
{'短评内容': '房间虽然比较老，但还干净，房间也比较大。早餐菜式的数量算比较多的。北京比这个贵的酒店好多都没有含早餐。在友谊医院对面，到天坛公园也不远。附近小餐馆很多并且不贵。总之性价比挺高。', '短评打分': 4}
{'短评内容': '房间卫生还可以，每天有人打扫，但设施有点儿陈旧。周边环境不错，紧临医院、市场、京客隆超市。特别是白毛大煎饼，每天排队取号。', '短评打分': 5}
{'短评内容': '屋里暖和，屋里很宽敞，', '短评打分': 5}
{'短评内容': '服务很差', '短评打分': 1}
{'短评内容': '房间设施一般，服务员态度很好！很暖心！餐饮一体化，感觉不错，但是餐厅经理态度不好！给朋友推荐，下次再来！', '短评打分': 5}
{'短评内容': '非常好的一家酒店，干净整洁，提供接送站，非常放便，建议伙伴们都来住哦', '短评打分': 5}
{'短评内容': '很舒服', '短评打分': 5}
{'短评内容': '居住的时间还不短！还可以！比较方便', '短评打分': 5}
{'短评内容': '太老了', '短评打分': 3}
{'短评内容': '#ud83d#udc4c', '短评打分': 5}
{'短评内容': '帮朋友定的，以前都是住潇湘，这次住黄山试试', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '很好，方便', '短评打分': 5}
{'短评内容': '黄山酒店位置不错，坐地铁2号线，4号线，5号线都很近，服务也很周到，还可以报团去长城，好', '短评打分': 5}
{'短评内容': '位置不错。离天安门很近，走路15分钟，还有免费的中西自助早餐哦，比如家，锦江之星好很多，价位还差不多，下次还住', '短评打分': 5}
{'短评内容': '设施比较陈旧，但是比较干净。离友谊医院非常近。', '短评打分': 5}
{'短评内容': '世纪黄山空调给力，环境很好，位置也很方便，去北京各个地方都很快', '短评打分': 5}
{'短评内容': '世纪黄山酒店位置好，去天安门十五分钟，天坛十分钟，下次还入住', '短评打分': 3}
{'短评内容': '地点交通比较便利，服务态度还不错吧。只是我订的是豪华大床房是在不咋地，一开始给我的只是很简单的一间，后来服务员给换了一间。也就空间大一点，没有豪华的感觉。', '短评打分': 1}
