{'短评内容': '一，房间有臭味；二，机顶盒遥控器不灵，电视系统烂，难操作；三，网络极差，打开网页都困难', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '床晚上咯吱咯吱响，吹风机也没有了！！！', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好经济实惠', '短评打分': 5}
{'短评内容': '酒店设施齐全，服务态度好，环境不错，周边交通便利，购物吃饭都很方便。主要是价格的确很便宜，房间大小满意。', '短评打分': 5}
{'短评内容': '价格便宜，交通方便，因为办事的地方周边就这个酒店离的最近。去办事都很方便，周边吃饭买东西也很方便，房间和卫生状况很满意。', '短评打分': 5}
{'短评内容': '我认为连锁酒店中，还是格林豪泰最好，一直住这个连锁酒店，价格实惠，房间又大，真的很不错了。', '短评打分': 5}
{'短评内容': '环境还不错，干净整洁', '短评打分': 5}
{'短评内容': '还行，前台妹妹挺漂亮', '短评打分': 4}
{'短评内容': '房间很好，服务也比较少', '短评打分': 5}
{'短评内容': '差的要死，前台服务态度恶劣，房间粉墙差的一流', '短评打分': 1}
{'短评内容': '不错，交通方便', '短评打分': 5}
{'短评内容': '不错，性价比还不错', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
