{'短评内容': '早餐不错', '短评打分': 5}
{'短评内容': '位子很方便', '短评打分': 5}
{'短评内容': '前台很热情，早班也不错', '短评打分': 5}
{'短评内容': '早餐不错，床也舒服', '短评打分': 5}
{'短评内容': '挺好的，住好几次了', '短评打分': 5}
{'短评内容': '特别特别好', '短评打分': 5}
{'短评内容': '再点评一次', '短评打分': 5}
{'短评内容': '经常来的老客人了，各方面都不错。', '短评打分': 5}
{'短评内容': 'Hotel is good. service is good. for Muslim best option. and convent to futian market even can walk', '短评打分': 4}
{'短评内容': 'Nice hotel good location', '短评打分': 5}
{'短评内容': '酒店看起来比较时尚，房间干净整洁，好几个朋友都让我帮忙预定这家，地址位置在稠州北路，义乌很繁华的一条街，周围很多餐馆，很方便', '短评打分': 4}
{'短评内容': '酒店挺好，位置很方便，马路对面就是目的地', '短评打分': 5}
{'短评内容': '因为怡嘉风尚酒店没有房间了，结果把我安排到隔壁的索菲特酒店。虽然发生了一些不愉快。但是我在这里要表扬索菲特酒店的陈经理。她的友好态度和专业的处理方式给我留下了很好的印象。希望所有的员工都能像她一样。有这样的经理这家酒店一定会越来越好。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '我是这家的老客户了,地理位置很方便。酒店比较干净，工作人员服务态度也不错.最重要的是离着市场很近。值得推荐', '短评打分': 4}
{'短评内容': '厕所太小了。其他的还不错。全部是外国人。', '短评打分': 4}
{'短评内容': '酒店不错，客人非常满意，还会再去。酒店不错，客人非常满意，还会再去。', '短评打分': 5}
{'短评内容': '酒店不错，位置好，交通方便，干净整洁。下次还会光顾', '短评打分': 5}
{'短评内容': '客人说酒店不错 价格便宜实惠 干净 位置都也不错 下次还来的', '短评打分': 5}
{'短评内容': '房间实在太小，早餐也一般般，我不会再入住了', '短评打分': 1}
{'短评内容': '房间有点小挺干净很温馨，很适合我们年轻人', '短评打分': 5}
{'短评内容': '位置很好，早餐尚可', '短评打分': 3}
{'短评内容': '挺喜欢里面的布置的。整体不错。地点也比较方便。值得住。', '短评打分': 3}
{'短评内容': '还不错的哦……是商务式的,卧室房间都是隔开的……', '短评打分': 5}
{'短评内容': '酒店位置还可以，还算干净，但是房间较小，床边还有一根50cm x 50 cm 从地板到天花板的柱子。 每晚总有几个电话问要不要按摩，拒绝了他们居然还来敲门说要查身份证。', '短评打分': 1}
{'短评内容': '挺安静的，浴室洗澡漏水慢，一次性鞋子质量不好，穿鞋洗后会发现黑毛，装修格调简约挺适合商务居住，吃的中外合壁挺丰盛的，整体还行80分。', '短评打分': 5}
