{'短评内容': '酒店环境好、地理位置方便', '短评打分': 5}
{'短评内容': '确认很快，希望服务好的。。。', '短评打分': 5}
{'短评内容': '酒店舒适，交通便利，物超所值', '短评打分': 5}
{'短评内容': '位置很好，', '短评打分': 5}
{'短评内容': '无下次，房差，厕所还塞了，还有钓鱼消费，一不小心喝了一瓶68元的矿泉水！', '短评打分': 3}
{'短评内容': '房间比较大，可以加床，费用也合理。挺满意的。', '短评打分': 5}
{'短评内容': '酒店的门面有点小，而且没有免费的巴士到关闸，但吃东西还是满方便的，酒店里面也很干净，房间很棒，是我喜欢的，唯一一个不方便的是和朋友分开了，我们二间在16楼，朋友在19楼，想上去聊天喝茶也上不去，因为住16楼就只能到16楼，结果找了服务员好不容易上去了，又下不来16楼，因为你要下只能下到一楼，真的很不方便', '短评打分': 5}
{'短评内容': '挺好的，距离葡京非常近，每次到澳门都住这里。。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '海景酒店', '短评打分': 5}
{'短评内容': '娄总买裤子', '短评打分': 5}
{'短评内容': '房间够大，环境优美，交通方便。', '短评打分': 5}
{'短评内容': '酒店地理位置很不错，去哪里都方便，房间干净舒适，推荐入住！', '短评打分': 5}
{'短评内容': '酒店干净整洁舒适，美中不足是在澳门入住的时间是下午子3点，而退房时间是第二天11前，好明显不够24小时', '短评打分': 5}
{'短评内容': '服务态度好，房间卫生，下次还会去！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房子干净舒服！挺好的', '短评打分': 5}
{'短评内容': '房间还不错，挺大的！离玛嘉烈蛋挞很近。', '短评打分': 5}
{'短评内容': '房间不错，地理位置很很方便，在老葡京旁边，新装修的房间，高楼层，强烈推荐！', '短评打分': 5}
{'短评内容': '这次入住A座没有B座那么好，房间比较小设施比较旧，', '短评打分': 5}
{'短评内容': '好，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '酒店环境一般.但是服务还可以.酒店位置好.去那边都方便', '短评打分': 5}
{'短评内容': '非常好非常满意', '短评打分': 5}
{'短评内容': '地理位置不错，房间也比较宽敞，酒店大概是翻装过，过道里味道比较大，必须说他家的接驳车的确差了些，一小时一趟，好像是几家和着用的一辆巴士。', '短评打分': 4}
{'短评内容': '第二次住这个酒店，第一次在京东定酒店。要下午三点酒店才收到我的订单', '短评打分': 5}
{'短评内容': '每次去澳门都订这家酒店，位置好，干净，服务态度好&hellip;&hellip;京东订酒店也非常实惠！', '短评打分': 5}
{'短评内容': '已经住了几次这里了，安静，交通便利。不错。', '短评打分': 5}
{'短评内容': '不错很新很舒服，一次还去', '短评打分': 5}
{'短评内容': '确认非常快，几分钟时间。到了酒店还给我临时升级，非常赞。', '短评打分': 5}
{'短评内容': '好。', '短评打分': 5}
{'短评内容': '棒棒', '短评打分': 5}
{'短评内容': '预定很顺利~确定迅速~入住顺畅。满意~~~~·~~', '短评打分': 5}
{'短评内容': '房间很一般，环境一般，但是位置比较好，去哪里都可以步行.', '短评打分': 3}
{'短评内容': '环境服务都很不错，干净，舒适', '短评打分': 4}
{'短评内容': '位置很好，去哪里都方便，离大三巴牌坊都很近！没有去吃早餐，不知道早餐怎么样！酒店入住客人非常多 ，本以为上午到了 不会排房入住，但是运气很好，上午到了就办理了！唯一不喜欢的是 安排了拐角房，不过客流量大，也可以理解了！和其它酒店应该一样，提供免费的手机，上网打电话都很方便！房间比国内的小很多，但是卫生很好！入住期间，床头电源比较松，叫来维修人员，态度很好，帮忙修好！遗憾的是没多留两个晚上，可以看到', '短评打分': 5}
{'短评内容': '干净整洁，交通便利', '短评打分': 5}
