{'短评内容': '环境很好，值得推荐', '短评打分': 5}
{'短评内容': '环境很好，服务态度也很好', '短评打分': 5}
{'短评内容': '环境很好很好', '短评打分': 5}
{'短评内容': '环境很好，值得推荐', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '浴缸不错，江景也不错。', '短评打分': 5}
{'短评内容': '好好。配送员服务好，非常好，京东真好。。。', '短评打分': 5}
{'短评内容': '爽，房子超大还有浴缸，床也很大很舒服，免费早餐', '短评打分': 5}
{'短评内容': '很好的一次体验', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '很好的一次体验，性价比高', '短评打分': 5}
{'短评内容': '服务态度很好，早餐一般', '短评打分': 5}
{'短评内容': '订了两间房，去旅行的。酒店房间设施还好，地理位置不太靠近市中心，周边有吃羊肉的摊儿，去吃了顿羊肉火锅，不错', '短评打分': 5}
{'短评内容': '一般般啦，退房时前台一直玩手游', '短评打分': 4}
{'短评内容': '酒店大堂很大，有车库停车，酒店里面还有性价比不错的餐厅，房间楼层比较高，冲凉房稍微小了点，但是花洒的水量和温度很充足，在这个价位是非常合适的。', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '位置略偏，但望江，饮食方便，价格稍贵。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还算不错！就是灯光效果太差了。', '短评打分': 3}
{'短评内容': '房間大得很空蕩，床頭櫃離床很遠，設計很明顯是酒樓房間改建的，沒有舒適的感覺', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '交通有点偏，房间内设施挺新，卫生干净，服务态度很好！', '短评打分': 5}
{'短评内容': '环境和服务都不错，挺满意的，早餐也非常好吃,大家玩得都挺开心。', '短评打分': 5}
{'短评内容': '装修很好，只是房间空间小了一点，周边经过的出租车好像不太多。', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '没有五星级，性价比低。\n房间一般\n底楼是夜总会，酒店是其配套', '短评打分': 1}
{'短评内容': '性价比较高，房间较大较宽敞，大床房特别漂亮、舒适。就是服务质量及态度有待提高，没有一种一般五星酒店特有的宾至如归的气氛。同时，早餐极差，连咖啡都没有，连一般三星酒店都不及，望能及时整改。', '短评打分': 5}
{'短评内容': '不是一般的差！\n1，硬件：房间大小还行，可是设施太差，完全不是3星级以上水准，一小书桌，电源网络线乱七八糟。\n2、服务，差！真差！！前台帐算不清楚，个别前台女孩子衣着暴露，据传和下面一层是夜总会有关。房间是不打扫的，说是通知前台才会打扫，据传也和地下一层夜总会有关。打扫只换浴巾和倒垃圾，其它连洗脸池都不清洗 （有泡澡习惯的注意了）。结帐时还发现房间写的别人的名字…\n3、早餐，没有自助餐，有所谓套餐', '短评打分': 1}
{'短评内容': '谁住谁后悔，酒店主要住客是夜总会泡妞的人。', '短评打分': 1}
{'短评内容': '这个酒店紧靠西江边上，风景不错，刚开业的酒店，设备也不错。但千成不要以为它真是五星级酒店，事实上只算得上四星级，服务还跟不上，可能是因为刚开业的原因。', '短评打分': 5}
{'短评内容': '说是5星级的酒店，住了很失望，装修标准连3星都不如，太土啦！108元的自助早餐被换成40多元的茶点套，这样的标准410元的房价实在是太贵了，下次绝对不会再住！', '短评打分': 1}
{'短评内容': '完全不够五星的级别，顶多算个三星，地点也比较偏僻，第二天换到奥威斯七星度假酒店就太棒了，不过价格有点小贵。', '短评打分': 1}
