{'短评内容': '没早餐，不卫生，隔音差，不适合带孩子', '短评打分': 2}
{'短评内容': '房间很小，大床房都不超过十平，设备老化，六点不到就被做清洁的吵醒了', '短评打分': 2}
{'短评内容': '房间太小了 两个箱子放进去 基本上九妹下脚的地方了周围环境还行 饭店不少 就是停车是个大问题 我就被贴了', '短评打分': 5}
{'短评内容': '离栈桥很近，位置不错，就是停车不太方便，车位太少，临走时被贴了罚单', '短评打分': 4}
{'短评内容': '总体来说印象很不好，给安排的8楼，连无线都没有，离火车站还有第一海水浴场根本不近。这个宾馆周围环境业不好，宾馆里面给人印象业不好，电视业不亮，电话也是摆设。最主要的是说好有无线的，结果根本没有，都是用的自己的流量，最受不了的。', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '无语，无语，。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '离高铁站走着不算近，而且都是上坡，出行不太方便，设施一般，洗澡水根本不受控制。', '短评打分': 3}
{'短评内容': '离火车站近，卫生一般', '短评打分': 3}
{'短评内容': '房间比较大，离景点也比较近，环境还算不错', '短评打分': 3}
{'短评内容': '环境不错，蛮安静的，网络也很快。', '短评打分': 3}
{'短评内容': '离火车站没有网上写的那么近，环境还行', '短评打分': 3}
