{'短评内容': '房间整体感觉很，很干净整洁，服务态度也不错~  值得推荐', '短评打分': 5}
{'短评内容': '酒店干净舒适、经济实惠。因为在学校旁边，吃饭购物很方便。唯一的不好就是我的那间房面朝马路，稍微有点声音。', '短评打分': 5}
{'短评内容': '住了两天，酒店整体性价比还不错，布置比较简单大方，环境也还不错，就是挨近马路晚上车子过得话会有点吵，房间的隔音效果不是太好~', '短评打分': 5}
{'短评内容': '住着挺舒服的，离体检的地方就一两分钟.价位还不错', '短评打分': 5}
{'短评内容': '干净、整洁，客房服务人员的态度特别好，入住前，一直陪我看房间。还给了一些实惠的建议。本来订的是双人标间，因为行程变化，酒店就建议我住经济间，办了张会员卡，还是挺实惠的。给个好评！！', '短评打分': 5}
{'短评内容': '第一次住这样吵的酒店！隔音效果暴硕！；外面车水马龙，凌晨三四点隔壁突然传来一辈子难以忘记的男女叫声！比看电影还夸张！下午住进酒店，不能开空调，晚上八点才准开！无语', '短评打分': 1}
{'短评内容': '很好.', '短评打分': 3}
{'短评内容': '环境服务都是不错', '短评打分': 5}
{'短评内容': '这的床挺大，挺舒适的，性价比还不错。', '短评打分': 5}
{'短评内容': '住了两次，换了2间房间&#183;第一次空调问题，第二次电压不稳，&#183;郁闷不&#183;&#183;&#183;', '短评打分': 1}
{'短评内容': '酒店装修的不是很精致，旧楼房改造的新酒店，墙纸有脱落，可以看到旧的墙壁，大床房还可以，比较舒适，宽敞， 大床房有的有电脑，但上网还得另外收钱。。', '短评打分': 5}
{'短评内容': '地方偏了点，性价比低了点，还是别去了。', '短评打分': 1}
{'短评内容': '性价比不错', '短评打分': 5}
