{'短评内容': '酒店位置尚好，有停车位', '短评打分': 4}
{'短评内容': '早餐可以，房间也够大了，适合带家人和孩子一起，停车非常方便，免费停的，酒店就在东钱湖畔，吃完饭散散步挺好的', '短评打分': 5}
{'短评内容': '环境不错，服务也很好', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '不錯,一直來住,早餐變化不大', '短评打分': 5}
{'短评内容': '早餐种类不多  周围餐饮少 总体还算可以', '短评打分': 4}
{'短评内容': '酒店不错，地理位置很好，服务也挺好。', '短评打分': 5}
{'短评内容': '风景很好，环境优美，房间很大，性价比超高，值得推荐', '短评打分': 5}
{'短评内容': '让人感觉很不爽，提前一周预定到了后居然说没有房间，不知道京东怎么搞的', '短评打分': 3}
{'短评内容': '很不错 安静舒适 最主要给了个靠窗的房间 一级棒', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '代朋友定的,朋友比较挑,这个酒店住了好几次了,应该不错的.', '短评打分': 5}
{'短评内容': '代朋友定的,朋友比较挑,这个酒店住了好几次了,应该不错的.', '短评打分': 5}
{'短评内容': '代朋友定的,朋友比较挑,这个酒店住了好几次了,应该不错的.', '短评打分': 5}
{'短评内容': '很不错的酒店。就在宁波金钱湖景点边上，周边的景色很不错。酒店很干净，设施也比较完备。可惜出差时间太短，以后有空过来度假住一段时间。', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 5}
{'短评内容': '位置很好，餐饮服务特赞。', '短评打分': 5}
{'短评内容': '悦庄酒店位与宁波的后花园东钱湖边，环境和卫生都不错！酒店中餐厅菜色多样口味都很不错！前面这些本人是满意的！但是我要说但是了……但是对前台的登记入住的速度真是不敢恭维！我去酒店办理住房登记时间是下午五点半左右！前台有四五个工作人员在！就在为我办理登记期间让我足足站在柜台前等了一刻钟！前台人员好像是在谈论别的事情！貌似我不存在一样！在我的无数催促中才慢慢给我办理入住手续！这点让我很不满意！本人觉得酒店', '短评打分': 5}
{'短评内容': '位置优越，酒店业很好，下次还会入住，性价比高', '短评打分': 5}
{'短评内容': '交通方便、环境优美、强烈推荐！赞??', '短评打分': 5}
{'短评内容': '环境很好！！！', '短评打分': 5}
