{'短评内容': '总体感觉还好。', '短评打分': 4}
{'短评内容': '不错，探亲访友经常住，价格实惠', '短评打分': 5}
{'短评内容': '房间一般，楼下卡拉ok令你训觉前有嗨的敢觉。无早餐。', '短评打分': 5}
{'短评内容': '酒店位置靠江边，房间很大，空调也很给力～从窗户看到外面的江很舒服～还有当地人在江边洗衣服，晚上逛了逛，还蛮舒服的～值得一去～', '短评打分': 5}
{'短评内容': '酒店位于河边，也算较为方便。酒店设施较为陈旧，卫生条件还算可以，算是一般般吧。', '短评打分': 3}
{'短评内容': '地理位置较好，房间比较大，整洁，床稍硬！楼下卡拉OK唱到好晚！', '短评打分': 4}
{'短评内容': '酒店在江边上，附近有很多饭店。不过特别吵，底下3层KTV，4楼是房间，KTV开到凌晨2点，上面根本睡不着。酒店配套一般，不过没有纸巾（房间纸巾5元一包），其它还好。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '总体来说还比较满意！点个赞。', '短评打分': 4}
{'短评内容': '总体来说还比较满意！点个赞。', '短评打分': 4}
{'短评内容': '还不错………', '短评打分': 4}
{'短评内容': '住进去以后要锁好门，半夜的时候要小心门突然被打开了', '短评打分': 3}
{'短评内容': '非常好，干净卫生，环境好，下次来还会选这家！', '短评打分': 5}
