{'短评内容': '哈哈哈，习惯好评，隔音不怎么好，晚上能听到隔壁开门关门声，卫生还是不错的，浴巾都是用袋子包起来，整体挺干净，前台的小哥哥小姐姐好热情啊～感觉棒棒的！', '短评打分': 5}
{'短评内容': '其他都还行就是不知道是哪里的机器一直在响特别吵，空调也是很吵的', '短评打分': 4}
{'短评内容': '房间有点小', '短评打分': 4}
{'短评内容': '一般般，有点老旧了', '短评打分': 5}
{'短评内容': '地段不错。周边出行吃喝很方便！靠近王府井！', '短评打分': 5}
{'短评内容': '你说了、一个人在于我们朝着目标和措施和办法的', '短评打分': 1}
{'短评内容': '非常不错，在哪里的几天住的很舒服', '短评打分': 5}
{'短评内容': '非常不错，在哪里的几天住的很舒服', '短评打分': 5}
{'短评内容': '已经住过几次了，交通方便，服务还可以', '短评打分': 5}
{'短评内容': '卫生整洁，出行方便！', '短评打分': 5}
{'短评内容': '酒店不错，除了位置比较里面和没有牙膏牙刷，其他都很可以，床也足够大，睡着很舒服，周边环境也很安静。', '短评打分': 5}
{'短评内容': '环境很好，吃住购物方便', '短评打分': 5}
{'短评内容': '一般般了', '短评打分': 3}
{'短评内容': '很差的环境，酒店极小，打电话跟酒店了解也不接电话，没有停车位，真是失望透顶……', '短评打分': 1}
{'短评内容': '每次来南宁都住这边，交通吃饭都比较方便，服务也不错，设施齐全', '短评打分': 5}
{'短评内容': '每次来南宁都住这边，交通方便，吃东西逛街也很好', '短评打分': 5}
{'短评内容': '出脚方便，出去就是七星路商业街，就是房间小，空调声音响', '短评打分': 3}
{'短评内容': '一般', '短评打分': 2}
