{'descr': '电梯是坏的。要爬楼', 'star': 3}
{'descr': '节中赶路半夜找睡觉地方，徐州本来就没啥好的，直接给我安排5楼说电梯坏了，只能抱着儿子拎着行李挺着肚子爬楼。没有早餐，就是经济性酒店格局。好在洗澡水是热的……', 'star': 2}
{'descr': '位置还可以离公交站不远 环境除了地板看起来有些不干净 其他都很不错 也不是很贵的酒店 就是电梯一直故障爬了好几天楼梯总体来说还可以', 'star': 4}
{'descr': 'n o too many guest i think as itisquite quiet at any time', 'star': 5}
{'descr': 'good position and there is nit much noise for the rooms opposite the street', 'star': 4}
{'descr': '安静、舒适！', 'star': 5}
{'descr': '服务态度和酒店环境不是一般的差！！', 'star': 1}
{'descr': '性价比性价比', 'star': 5}
{'descr': '还可以吧，还可以吧，还可以吧，', 'star': 5}
{'descr': '设施还可以，房间卫生很好，值得选择', 'star': 4}
{'descr': '还行', 'star': 3}
{'descr': '问：有大床房吗？答：没有了，全是标间。当面携程预订大床成功。无语！对前台服务不满意。', 'star': 3}
{'descr': '价格公道，环境设施不错，好评', 'star': 4}
{'descr': '非常好非常不错推荐大家入住', 'star': 3}
{'descr': '挺好的，离高铁站不远，就是周边吃的地方不多，不过可以做公交去更中心的地方，服务挺好的，人也很热情，地方也好找，很不错，下次还会再去的', 'star': 5}
{'descr': '卫生状况在经济型里面算不错的了，安全也不错，就是有些吵，而且地理位置不佳，就是离高铁徐州东站近，去市里不方便。', 'star': 4}
{'descr': '标准房都是靠路边的，非常的吵闹。单人房是靠里面的，还不错！15块的早餐还可以。', 'star': 5}
{'descr': '特价大床房~汉庭的一贯风格~总体感觉良好~~酒店隔壁有个吃饭的酒楼~貌似也是汉庭的~值得去尝一尝~~如果需要早起~那就跟服务员说要靠近部队大院的房间吧~6点比能被出操声叫醒的！~~', 'star': 5}
{'descr': '早饭还不错，服务员服务态度好。房间环境说得过去，可能是装修得比较早，再鲜亮点就更好了。', 'star': 5}
{'descr': '性价比高，房间整洁干净，服务好，交通方便，还会入住。', 'star': 5}
{'descr': '汉庭很方便的，没话说，每个方面都很到位，还可以房间用餐', 'star': 5}
{'descr': '不错，离市区不算远，打车10分钟到市中心', 'star': 5}
{'descr': '酒店服务员服务态度好，酒店比较干净，酒店房间也比较大，最重要的是交通方便，离徐州火车站很近，而且房间隔音效果也不错。', 'star': 5}
{'descr': '位置距离工作地点挺进，方便快捷。指挥部吃饭麻烦\n', 'star': 5}
{'descr': '周围全是景点，非常方便，离火车站也不远。很好。', 'star': 5}
{'descr': '房间很新，面积也比较大，就是靠马路有点吵      ', 'star': 5}
