{'短评内容': '还可以就是不太干净', '短评打分': 4}
{'短评内容': '房间陈旧，床铺上有头发，看上去就是没换过穿套的，以后再也不会去了', '短评打分': 1}
{'短评内容': '位置很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '洒店比较旧', '短评打分': 3}
{'短评内容': '环境不错！', '短评打分': 4}
{'短评内容': '交通便利 吃的玩的都挺近', '短评打分': 5}
{'短评内容': '在1912边上，非常近，已经第二次来，周边吃饭，酒吧都很方便', '短评打分': 4}
{'短评内容': '交通方便，设施一般！', '短评打分': 3}
{'短评内容': '总体感觉还可以，距离1912酒吧街，距离公交地铁都很方便', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '周边吃饭 溜达都很方便 离地铁近 酒店环境服务一般', '短评打分': 3}
{'短评内容': '环境还可以 地位是优势 不过服务一般', '短评打分': 4}
{'短评内容': '酒店一直都住，价格有点高。不过卫生还可以吧。', '短评打分': 3}
{'短评内容': '交通很好！房间一般！', '短评打分': 3}
{'短评内容': '我是晚上到的宾馆，想上个厕所，结果发现厕所没有纸！\n网也上不去，调了一个小时也没弄好~~~\n早上6点起来了（一般我是8-9点起来），不能忍了，准备洗漱走，结果发现没牙刷！\n咱也不要了，直接退房走人\n不得不说这是我非常不舒服的一次住宾馆，也许是我的运气太不好了！', '短评打分': 1}
{'短评内容': '酒店的位置比较好，就是酒店太小了而且卫生不怎么好', '短评打分': 1}
{'短评内容': '很有，欧洲田园风，就是房间小了点，没有WIFI,虽然是可以上网，希望能改进', '短评打分': 5}
{'短评内容': '位置很好，房间也很大，性价比比较高，一般去1912玩都会选择，比较方便', '短评打分': 5}
{'短评内容': '房间不错，就是楼下装潢有点吵', '短评打分': 3}
