{'短评内容': '一般，可以', '短评打分': 3}
{'短评内容': '前台服务态度恶劣，不能洗衣', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '我去，吵死人，卫生还不好，两个晚上都睡不着，第二个晚上要求换房，结果蚊子一大推，一晚都被蚊子咬，两个晚上都没睡，要不是之前给我换豪华房看着还可以我不会来的，下次不会再来！！！！！', '短评打分': 2}
{'短评内容': '酒店大堂姐姐们很nice，如果可以都会给我们升级到大床房', '短评打分': 5}
{'短评内容': '不错，很实惠，房间干净，而且空间大，下次来这里还会订', '短评打分': 5}
{'短评内容': '很不错，第二次入住，很喜欢', '短评打分': 5}
{'短评内容': '还好 房间比较小', '短评打分': 3}
{'短评内容': '较整洁、卫生，物有等值，值得光顾', '短评打分': 4}
{'短评内容': '有点坑', '短评打分': 1}
{'短评内容': '第一次住这酒店，就在路边很容易找到的，环境还可以对的起这个价，不过有很浓的烟味。离牌坊也很近交通也很方便！', '短评打分': 5}
{'短评内容': '房间很大，空调也很给力，干净舒适，还有就是停车也方便，性价比很高', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '喱种价格就是差不多了', '短评打分': 3}
{'短评内容': '性价比非常低，前台态度非常差', '短评打分': 3}
{'短评内容': '住的一般，还可以，交通方便！', '短评打分': 3}
{'短评内容': '，环境几好，新装修，很好的酒店，下次还会去住宿。', '短评打分': 3}
