{'短评内容': '还不错，干净，清净', '短评打分': 5}
{'短评内容': '地方容易找，有停车场。还可以吧', '短评打分': 5}
{'短评内容': '，。。，，，。。，。。，。？！！。，，？', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '内饰不错，点赞！', '短评打分': 5}
{'短评内容': '卫生间根本就没打扫过，空调开不了，前天电话打不通。最后下楼找前台，工作人员说可能是前面住客走人后没有打扫卫生，还不给换房，很不愉快的经历，差评。', '短评打分': 1}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '这酒店挺好的，尤其早餐比较丰富，如果去柳州，还会去住的', '短评打分': 3}
{'短评内容': '电视机好烂，但胜在可以多开票', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '行，不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '服务态还好，特价房型太差，没有透明窗', '短评打分': 4}
{'短评内容': '设施有点旧了，不过还是比较方便的，而且二楼有悠闲休息，不错', '短评打分': 5}
{'短评内容': '房间太小，装修有点陈旧了，不能接受的是，床头居然没有电源', '短评打分': 3}
{'短评内容': '酒店不错，很安静，实惠，就是附近餐饮少', '短评打分': 4}
