{'短评内容': '前台服务很慢', '短评打分': 3}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '不太满意啊', '短评打分': 1}
{'短评内容': '很好啊，下次再来', '短评打分': 5}
{'短评内容': '早餐不错，交通方便', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '现在家里买各种电器和生活用品都首选京东。京东商品描述非常详细，购物很轻松。已经成为了替代超市的选择。小超市东西不全，大型超市得开车去，购物结账排大队，停车、搬运都很麻烦，而且价格也不见得便宜，因此选择上京东！各种生活用品丰富多彩，品种样式多，价格实惠，尤其是有活动的时候，更是常常超出期望值！尤其是京东自营的东西品质有保证，都是正品，发货速度非常快，有时早上下单当天晚上就到了。京东自营包装仔细、严实，送货小哥服务态度很好，按约定时间准时送达，贴心房屋超级满意，很喜欢很满意的一次购物。冲着京东幼稚的服务，评价全给五星！一如既往的支持京东！！', '短评打分': 5}
{'短评内容': '房间大，干净', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '创很大', '短评打分': 5}
{'短评内容': '房间很大', '短评打分': 5}
{'短评内容': '超好性价比', '短评打分': 5}
{'短评内容': '比较老旧，房间挺大，也很干净。', '短评打分': 4}
{'短评内容': '不错，下次还会住', '短评打分': 4}
{'短评内容': '酒店位置优越，紧邻工业大学和公安厅，出行方便；装修也不错，非常气派，有四星级的样子！室内卫生干净，早餐非常丰富，有停车场、车辆进出十分方便，酒店服务人员素质高，微笑服务！特价房都是阴面被高楼挡住了，光线好。', '短评打分': 4}
{'短评内容': '服务周到', '短评打分': 5}
{'短评内容': '酒店环境优越，服务态度良好，住的舒适、价格合理', '短评打分': 4}
{'短评内容': '环境很好，干净，服务到位。打车很方便，下次还会光顾。', '短评打分': 5}
{'短评内容': '各方面条件很不错，地理位置也很方便，餐饮也比较好。', '短评打分': 5}
{'短评内容': '性价比不高，外表挺好，里边的情况很矛盾，配套的东西挺丰富，洋酒、咖啡什么的都有，但是装修感觉比较陈旧。早餐也是一样，中餐、西餐都有，但是真正可吃的不多。', '短评打分': 1}
{'短评内容': ' 在前台开房入住时说好了要大床房，结果晚上入住时还是双床，打电话要求换房时前台竟然说是我们的错不早说要大床，服务态度及其恶略，以后不会再去了', '短评打分': 3}
{'短评内容': '比较干净 房间宽敞  就是价格稍微贵了点，总体来说比较满意！', '短评打分': 5}
{'短评内容': '卫生条件很差，设备老旧，让人感觉很不舒服！', '短评打分': 1}
{'短评内容': '好地方 房间宽敞  明亮   床也很舒服就是厕所 需要改进下 别的没了   好评', '短评打分': 5}
{'短评内容': '整体感觉不错，早餐比较丰盛，还可以了，服务态度一般~~~', '短评打分': 5}
{'短评内容': '位置不错，环境也还可以，服务有点慢，前台是不是新人，太磨蹭', '短评打分': 5}
{'短评内容': '酒店还算不错啦！还行！基本符合要求，性价比高', '短评打分': 5}
{'短评内容': '位置不错，挺方便我出行办事的，不过其它各方面条件一般，但总得来说房间住起来算舒适.', '短评打分': 5}
{'短评内容': '酒店还错，挺满意的。', '短评打分': 5}
{'短评内容': '酒店还错，挺满意的。', '短评打分': 5}
{'短评内容': '还可以，就是没有接机服务。', '短评打分': 3}
{'短评内容': '上星期我曾在 内蒙古金仕顿大酒店住了一个星期，对酒店的服务非常满意。特别在这里向各位推荐。', '短评打分': 5}
{'短评内容': '性价比蛮高的酒店，房间里很干净，硬件设施比较完善，前台服务员态度热情周到，下次如果在附近出行还会入住的。', '短评打分': 5}
{'短评内容': '酒店硬件设施还不错，服务人员也很周到.在呼市来讲这家酒店还算不错.不过没有提供接送服务.', '短评打分': 5}
{'短评内容': '酒店内部环境还不错，房间里挺整洁挺舒适的，设施方面也比较齐全，服务人员态度也很热情，位置也不错，出行很便利，价格方面一般了，整体感觉还是不错的一家酒店。', '短评打分': 5}
{'短评内容': '感觉还不错。', '短评打分': 3}
{'短评内容': '当时抱着试试看的态度订的，感觉还不错，有点超出期望。不过没有提供接机服务。', '短评打分': 5}
{'短评内容': '各方面都是比上不足，比下有余。性价比还是不错的。符合这个价格水平', '短评打分': 3}
{'短评内容': '呼和浩特没有住过别的同类酒店，但就这个价格而言，以我15年的出差经验来说应该也不会差到哪里去。性价比还是不错的。大家有机会可以体验下，没有太多亮点，但也没明显不足。以上评价基于这个价格基础。', '短评打分': 5}
{'短评内容': '很舒适，而且网上定价格便宜不少！', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都比较不错，卫生服务很好，价格合理适中，出行交通也很方便，值得推荐入住的酒店。', '短评打分': 3}
{'短评内容': '交通便利，房间宽敞，早餐丰富。', '短评打分': 3}
{'短评内容': '房间设施非常好,房间面积大并且很宽敞，舒适度很好。早餐很丰富,中餐菜品爽口。整体服务很不错。推荐各界人士入住。\r\n\r\n\r\n', '短评打分': 5}
{'短评内容': '酒店的服务卫生都不错,交通也很方便,价格也比较优惠,酒店值得推荐给朋友们入住', '短评打分': 5}
