{'短评内容': '去不得，太差劲了，差评！！！', '短评打分': 1}
{'短评内容': '配套设施有点差！', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '从未住过这么差的酒店！就是一招待所啊！位置偏僻，卫生差、设施陈旧破损！床被潮湿！价格还不便宜！被坑死的节奏', '短评打分': 1}
{'短评内容': '卫生做得挺好，便宜干净。楼下两美女超耐心，遇到打扫卫生的老大叔也很热情欢迎我下次再入住。不足之处是单人房都靠马路，真的挺吵的，附近也没什么好吃，出门右拐的几百米有个金牌肠粉，食物的梁大到吓人，对低消费高服务感到非常满意！', '短评打分': 5}
{'短评内容': '设施陈旧，太贵', '短评打分': 1}
{'短评内容': 'Chinese 2-star budget hotel accommodation in a quiet location.  Ive stayed in Zhuhai numerous times (more than 15 trips) and have always stayed at the Guangdong Hotel thats just north of lively Lianhu', '短评打分': 3}
{'短评内容': '良心價，設施一般', '短评打分': 3}
{'短评内容': '一般般一般般', '短评打分': 2}
{'短评内容': '还好！', '短评打分': 4}
{'短评内容': '＋酒店价格便宜，离口岸很远，如在口岸找酒店，以后不要选择他。', '短评打分': 3}
{'短评内容': '住了两个晚上，房间隔音效果很差，实在太吵了。一大早车在路边跑，很大声，根本睡还着。环境一般。第二天晚上恐怖，隔离房间一直传出怪声。', '短评打分': 1}
{'短评内容': '环境噪音大睡不好', '短评打分': 3}
{'短评内容': '＋这是我住过性价比最低的，不是酒店，是旅馆', '短评打分': 3}
{'短评内容': '在网上定票非常的方便，不用东奔西跑的找不着地。以后出去都决定网上定票，出门无忧呀。', '短评打分': 5}
{'短评内容': '上面说在轻轨附近，哪知道远的要命……无语。', '短评打分': 1}
{'短评内容': '性价比不错的酒店，还算比较干净整洁，服务较高', '短评打分': 5}
{'短评内容': '不是一般的偏。网上图片可以看到前山河，也是忽悠人的，不过离前山河真的很近，走路过去，就几百米的样子。环境看着很安静，其实不然，酒店后面是夏湾公车站，早上很早就有公车开始跑，响发动机的声音。\n酒店做的一般，大床位一般是靠着车站这边，比较吵；双标间是另一边，静闹不明。酒店的隔音很差，晚上睡觉，可以听到楼下、过路人的说话声，偶尔高歌，那就跟精彩了。\n我很悲剧：隔壁不知住了什么人，有男有女，晚上开电视、唱', '短评打分': 1}
{'短评内容': '房价格不贵，里面的用品太贵！', '短评打分': 3}
{'短评内容': '位子一般，门口有超市和吃饭的地方，还比较方便，离拱北口岸比较近\n房间还行', '短评打分': 5}
{'短评内容': '房间卫生一般，卫生间的冲凉花洒都是坏的。需要加强酒店管理。交通还是相对方便。', '短评打分': 1}
