{'短评内容': '不怎么样一般', '短评打分': 3}
{'短评内容': '在渑池县比较高档的酒店，交通方便快捷，距离高速公路出口特别近，服务热情周到，环境也不错，下次还会选择入住。', '短评打分': 4}
{'短评内容': '各方面都很不错', '短评打分': 5}
{'短评内容': '酒店的早餐有待加强', '短评打分': 5}
{'短评内容': '早餐没吃，环境不错', '短评打分': 5}
{'短评内容': '好像是渑池县最好的酒店了，服务还算可以，环境还不错，交通设施也不错，价格也不贵，值得入住', '短评打分': 5}
{'短评内容': '应该是渑池县城最好的酒店之一了！挂牌四星！价廉物美！房间宽敞！早餐可口！下次来继续入住！', '短评打分': 0}
{'短评内容': '县域城市首选。最好的。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '当地最好的酒店了，房间设施都比较满意，早餐非常好，二楼餐厅，有送餐服务，距离渑池站需要30分钟，基本满意', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '每次来三门峡都住着家，周边最好的配套和服务。', '短评打分': 5}
{'短评内容': '10楼大床房，赞！', '短评打分': 5}
{'短评内容': '还不赖', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '挺不错，公司出差安排，出差很方便，服务也不错。', '短评打分': 5}
{'短评内容': '房间设施有些陈旧 浴室门关不上  洗手台 下水管漏水  还有窗户不隔音  晚上过渣土车 听的清清楚楚  影响休息', '短评打分': 4}
{'短评内容': '环境好，设施新，早餐不怎么样。总体来说够得上四星级的标准！', '短评打分': 5}
{'短评内容': '环境、卫生、服务都挺好，只是餐点不到位，其他都还行。', '短评打分': 5}
