{'短评内容': '凌晨快一点到的，人也很累，感觉还可以', '短评打分': 4}
{'短评内容': '非常好非常好', '短评打分': 5}
{'短评内容': '房间非常好', '短评打分': 5}
{'短评内容': '环境挺好的，价格也便宜', '短评打分': 3}
{'短评内容': '早餐也不错，服务态度很好！客房面积较大，有窗户，卫生间设施齐全。周', '短评打分': 5}
{'短评内容': '位置不错，里火车站和柏威年购物中心走走就到。前台在二楼，走到房间像是在穿越迷宫，房间太小（又不是香港寸土寸金），尤其是卫生间更迷你，住的最差的一次如家，绝对不会第二次。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '继续支持，加油，很可靠，速度快', '短评打分': 5}
{'短评内容': '还好吧！！', '短评打分': 3}
{'短评内容': '酒店内部很大有点像迷宫 不太好找房间 电梯只通一层 外面地段还是可以的 逛街吃饭都比较方便 总体还可以', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境挺好的！服务态度也很好！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '好的', '短评打分': 5}
{'短评内容': '位置方便，离车站近，服务好，环境好，出差旅游首选', '短评打分': 5}
{'短评内容': '房间非常大，非常满意', '短评打分': 5}
{'短评内容': '环境不错，位置好，前台服务态度。', '短评打分': 5}
{'短评内容': '周边环境好 酒店服务好 设备设施好', '短评打分': 5}
