{'短评内容': '酒店很有感觉仿古建筑，周围是仿古建筑群，晚上很安静。', '短评打分': 5}
{'短评内容': '无聊去嘉兴两日游，火车南站公交直达店门口，酒店位置很不错，离南湖湖心岛很近，周边店家也挺多，酒店房间嘛就这样了，经济型的要求也不高了。', '短评打分': 4}
{'短评内容': '物超所值！', '短评打分': 5}
{'短评内容': '为了看演唱会提前订的 便宜实惠', '短评打分': 5}
{'短评内容': '没有电话', '短评打分': 5}
{'短评内容': '第一次尝试，挺不错的，可以推荐给其他朋友', '短评打分': 4}
{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '很不错！性价比高！', '短评打分': 5}
{'短评内容': '市中心一处静谧的酒店，很不错，性价比高！', '短评打分': 5}
{'短评内容': '不错，下次还住', '短评打分': 5}
{'短评内容': '地理位置与环境非常不错', '短评打分': 5}
{'短评内容': '非常精致的酒店，很好。', '短评打分': 5}
{'短评内容': '价格有点高，房间有点小，周边环境比较好，交通方便', '短评打分': 5}
{'短评内容': '酒店位置比较方便，但因为离铁路很近，晚上有些吵。如果只是铁路吵也就罢了，毕竟不能控制，但半夜的时候，楼下搓麻将的声音，中午厨房炒菜的声音都很吵。还有就是服务员素质不高，大清早不到7点就在走廊里大声喧哗，南方人说话听不懂，更觉吵闹。', '短评打分': 5}
{'短评内容': '总体还算可以，周边环境ok，房间有点潮湿', '短评打分': 5}
{'短评内容': '住的是特色大床房，房间虽小，但很舒服温馨，下次来嘉兴还会来', '短评打分': 3}
{'短评内容': '名字很诱人，装修不伦不类，最多值150元的档次，不推荐', '短评打分': 1}
{'短评内容': '房间狭小，床具用品老旧，早餐简陋，还不如很多快捷酒店，很不值得去！', '短评打分': 1}
{'短评内容': '很干净。给人的感觉也很温馨。挺不错的一家酒店。下回还会来。', '短评打分': 5}
{'短评内容': '酒店还是满意，就是住的是高级套房，设施太简单了，感觉不值。环境和位置蛮好', '短评打分': 5}
{'短评内容': '周围是新的酒店和娱乐场所，建议年轻情侣入住，享受两人世界不错，一家人嘛，房间小了点，梅湾街我个人感觉有点败落。', '短评打分': 5}
{'短评内容': '不错的位置', '短评打分': 3}
{'短评内容': '酒店很温馨！', '短评打分': 3}
{'短评内容': '没有中央空调，房间较小，把我的脚都碰伤了，比较安静，旱餐较差', '短评打分': 1}
{'短评内容': '总体感觉很好，主要是很干净.装修较好，位置较佳，下次到嘉兴还是会选择这家 \n', '短评打分': 5}
{'短评内容': '环境我蛮喜欢的，以前也住过，\n这次住的是商务房，还算满意。\n有早餐，不过品种比较单调，这是美中不足的地方。\n周围吃东西挺方便，购物也还好。\n就是梅湾街这个地方GPS上都没有，很短的一条马路，问附近的人都不认识，最好标明附近的大路，方便初次去的人寻找。', '短评打分': 5}
{'短评内容': '好！格林豪泰快捷酒店（西安小寨店）！！！！', '短评打分': 5}
{'短评内容': '地理位置很好，吃喝方便，唯一不足就是床的边沿实在太宽，不碰到不受伤很难。', '短评打分': 5}
{'短评内容': '房间虽小，但是床够大（1.8m），我们实际住的是258的房间，有电脑和液晶电视，爸爸上网，儿子看电影，我们一家三口住，感觉非常温馨。淋浴水很大，装修得很有格调，窗外全是是树木，晚上过火车的时候有点吵，不过过了就安静了。位置不错，和南湖隔一座桥，可以步行到南湖，街对面的梅湾街推荐晚上逛一下。早餐品种不多，不过这个价位已经非常值了。', '短评打分': 5}
{'短评内容': '位置相当好，交通便利，吃喝选择性很大。离南湖景区很近，不行不到10分钟。就是有一点不方便，就是卫生间的门是全透明的，如果改成半磨砂的会更好。', '短评打分': 5}
{'短评内容': '地理位置和周边环境都不错，网上照片没有实际的好，服务还可以，就是床边太突出，容易碰到。', '短评打分': 5}
{'短评内容': '总体感觉很好，主要是很干净。早餐品种有待增加。', '短评打分': 5}
{'短评内容': '不值，装修一般，感觉旧，此价格在嘉兴可以住到更好的酒店', '短评打分': 1}
{'短评内容': '挺时尚的一家酒店，位置很好！旁边有很好休闲吃饭的地方！酒店的早餐需要加强', '短评打分': 3}
{'短评内容': '装修较好，位置较佳，下次到嘉兴还是会选择这家', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '房间太小，不够精品，比较新，住着感觉一般。', '短评打分': 5}
{'短评内容': '不错的酒店，推荐不错的酒店，推荐不错的酒店，推荐', '短评打分': 5}
{'短评内容': '酒店还真的不错 附近的环境很好 套房硬件很好 就是有点离铁路近 晚上经常听见火车声', '短评打分': 5}
{'短评内容': '房间太小＇铁路声音大', '短评打分': 5}
{'短评内容': '酒店外景观仿古气息，很有特色，房间小很干净像日本酒店，服务热情主动问候，十一长假旅程愉快！临走写了意见书还赠送50房券，值得推荐入住的酒店，下次旅游再来。', '短评打分': 3}
{'短评内容': '酒店设施齐全，被套全新，洒有香水是我所喜欢的味道，早餐杂粮品种比较多，服务热情，总体感觉挺好，临走写建议点评酒店还有50元房券赠送，意外惊喜哦！下次还来。', '短评打分': 3}
{'短评内容': '酒店为江南水乡的风格，客房略小但精致，墙纸为暖色给人舒适感觉，中秋日，房内赠有月饼、水果，替顾客着想，算贴心服务吧，给好评！', '短评打分': 5}
{'短评内容': '周边安静，停车方便，装修不错，性价比高。', '短评打分': 5}
{'短评内容': '金玉其外，败絮其中。外观很漂亮，内部设施很差劲，价格也高！名不副实！', '短评打分': 1}
{'短评内容': '感觉很一般 房间小不说 没有冰箱 没有放东西的架子 可难过的是 除了大厅外 电梯和楼道里 居然是没开空调的 这也太省了吧 但是是看到网上外观漂亮 但是没想到里面这个样子 ', '短评打分': 1}
{'短评内容': '酒店环境不错，出行方便', '短评打分': 5}
{'短评内容': '酒店卫生不错，就是房间太小，狭长狭长的。', '短评打分': 5}
{'短评内容': '房间太小（非常压抑），距离火车站近（火车声音很大），床单居然有很大一块补丁，性价比不高。', '短评打分': 1}
{'短评内容': '内部环境还不错，酒店也很好找出行还是挺方便的，房间的设施也还不错，服务挺好的。感觉还不错，价格也很周到。', '短评打分': 5}
{'短评内容': '酒店整体布局感觉不好，服务员不专业，做事不够灵活，之前预定带电脑的房间，电脑坏了换其他房间要加钱，为什么就不能免费升级到其他电脑房间呢？房间面积小，住起来很压抑，感觉就像很小的快捷酒店一样，性价比很低，下次不会再住了。', '短评打分': 1}
{'短评内容': '酒店的位置不太好距离火车站太近了。噪音很大，根本没法好好休息。卫生服务也很一般，性价比不太高，除了酒店设计有一些情调没有什么可取之处。', '短评打分': 1}
{'短评内容': '离火车道太近，很吵。上网速度太慢', '短评打分': 1}
{'短评内容': '这家酒店设计是比较时尚，但是行政房没有挂衣服的地方？这家酒店如果再加入HBO, 凤凰卫视，国家地理这些国际频道就好了。', '短评打分': 5}
{'短评内容': '很值得推荐的一个新酒店，装修风格高雅，客房卫生也很干净，备有欢迎水果设想周到，前台服务也很好，距离火车站步行15分钟，方便快捷，下次还选择入住。', '短评打分': 3}
{'短评内容': '新酒店装修得很雅致，客房备有欢迎水果设想周到，前台服务意识好，跟我介绍入住的房间曾经有香港明星住过；距离商业中心很近，此行程蛮开心的，下次还会入住，建议客房添加一面梳妆镜方便女士使用。', '短评打分': 5}
