{'短评内容': '挺吵的', '短评打分': 3}
{'短评内容': '还行吧，可以', '短评打分': 5}
{'短评内容': '地理位置不错，旁边吃的很多', '短评打分': 5}
{'短评内容': '位置很好   在大学城', '短评打分': 5}
{'短评内容': '环境不错 隔音不是很好 离浙传很近', '短评打分': 5}
{'短评内容': '不错，非常好，有家的感觉', '短评打分': 5}
{'短评内容': '环境不错，窗户也大，挺值的。', '短评打分': 5}
{'短评内容': '很棒很棒哟~', '短评打分': 5}
{'短评内容': '这是住过最便宜的如家，100一晚还挺舒服，必须满分', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '经济实惠，下次还住', '短评打分': 5}
{'短评内容': '为了考试定了个房间复习  结果晚上10点还没到 地就震的和什么一样 打电话前台 说网上定的这个房是特惠的 就是离酒吧很近她们这都这样 要从10点到1点 呵呵', '短评打分': 3}
{'短评内容': '不错，很干净', '短评打分': 5}
{'短评内容': '还是不错的。', '短评打分': 5}
{'短评内容': '卫生不错 住的挺好的', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '干净卫生，吃放方便。', '短评打分': 4}
{'短评内容': '装修挺新，布置很合心意，很舒适，唯一美中不足就是空调有点声音，总体满意，推荐', '短评打分': 5}
{'短评内容': '除了楼下有唱歌的，别的都不错', '短评打分': 5}
{'短评内容': '没早餐，周围环境不错，对面传媒大学，不过一楼酒吧', '短评打分': 3}
{'短评内容': '价格便宜，环境也还不错！', '短评打分': 5}
{'短评内容': '还是可以的，第二次住了，蛮简洁的，有时早晨会装修会吵点', '短评打分': 5}
{'短评内容': '设施很新，服务也不错。周围吃喝玩乐也都比较方便，下次还会再来的', '短评打分': 5}
{'短评内容': '酒店设施很齐全，并且很新，交通很便利，服务态度也很好～', '短评打分': 3}
{'短评内容': '确实不错，很简介，工地施工有时会吵不过能接受', '短评打分': 5}
{'短评内容': '还不错，很好，很干净，可以推荐，就是过道有点仔，还是很不错的。', '短评打分': 5}
{'短评内容': '挺好，就是卫生可能还是有点问题，打开被子的时候枕头底下有只虫子。', '短评打分': 5}
{'短评内容': '  这家酒店离传媒学校很近，就隔一条马路。里面的东西都是新的，而且卫生也不错。', '短评打分': 5}
{'短评内容': '卫生不错，房间环境不错，价格合适，周围交通比较方便，服务员服务态度很好，服务到位。', '短评打分': 5}
{'短评内容': '酒店很好。。服务也很好。。', '短评打分': 3}
{'短评内容': '很温馨的感觉，就是后面工地在施工，有点吵，其他都很好。', '短评打分': 5}
{'短评内容': '很不错哦，住的很舒服，下次再来 希望有优惠哦 2点退房就好了', '短评打分': 5}
{'短评内容': '交通便利，环境很好，很干净', '短评打分': 3}
{'短评内容': '房间是一贯的如家风格，很好，只是也许装修还没有完善，一楼的不如想象中的利索，不过美观上的问题，不影响住宿', '短评打分': 5}
{'短评内容': '房间干净  空调很好  环境很好  就是装修有点吵', '短评打分': 5}
{'短评内容': '酒店很舒适，环境很好。', '短评打分': 3}
{'短评内容': '还算满意，服务也到位，就是办理入住手续处理的速度还不够快。不知道是人的问题还是如家整个电脑系统的问题', '短评打分': 5}
{'短评内容': '如家品质，新开，价格便宜。高沙首选                                 。', '短评打分': 5}
{'短评内容': '管理不好，浴巾自己没放却耽误了我好长时间！', '短评打分': 3}
{'短评内容': '新装修的，房间还算大，边上工地施工，楼上楼下装修！有点影响', '短评打分': 5}
{'短评内容': '还不错，就是楼上楼下在装修有点吵!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '朝东的面对马路车声太吵。都是大货车啊什么的。', '短评打分': 5}
{'短评内容': '房间挺大挺干净', '短评打分': 3}
{'短评内容': '就在学校旁边接待同学很方便，房间很新超大视野好，很满意', '短评打分': 5}
{'短评内容': '酒店很好很舒适很温馨，，环境也很好，地理位置也不错', '短评打分': 5}
{'短评内容': '离高沙很近，购物，乘车都很方便。环境也不错，房间也挺大的', '短评打分': 5}
{'短评内容': '不错,新装修的,白天楼上装修,比较吵,别的都还好。', '短评打分': 3}
{'短评内容': '条件真的很不错 新开的  各方面条件都不错的', '短评打分': 5}
{'短评内容': '都很好，环境也很好，卫生很好，交通方便，就是好', '短评打分': 5}
{'短评内容': '环境不错，价格公道，很不错，下次还定这里。', '短评打分': 3}
{'短评内容': '新装修的缘故有点小味道，还可以承受，厕所有点小，唉。下次去下沙还是会考虑住的。', '短评打分': 5}
{'短评内容': '房间挺大的,环境也还不错.也还比较实惠.', '短评打分': 5}
{'短评内容': '新开的一家，就在高沙的速8后面，吃的特别多，交通也方便。关于酒店，卫生打扫什么的挺及时，房间还有吹风机，免费矿泉水。缺陷就是楼上的酒店在装修，好吵.......网速也有点慢，不过相信这些都可以改善', '短评打分': 5}
{'短评内容': '很好，很新，面对街道也不是很吵，价格过得去', '短评打分': 5}
{'短评内容': '价钱相对比较合适，因为是新开的，所以比较干净！就是边上还有工地在施工，很吵！', '短评打分': 5}
{'短评内容': '酒店挺不错的。', '短评打分': 3}
{'短评内容': '出差来此，很不错的店，干净，据说才开张一个月，所以还没有早餐，希望下回来已经有早餐吃了。', '短评打分': 5}
{'短评内容': '新开的如家非常不错，一贯如家的整洁和干净，地段在高沙传媒边上吃饭也方便。\n', '短评打分': 5}
{'短评内容': '新开的~不错', '短评打分': 3}
{'短评内容': '酒店非常干净，所有物品似乎都是新的，还有电吹风，宽带很给力，超快。酒店非常安静，周边就是商业街，吃饭很方便，一个字“好”！', '短评打分': 3}
