{'短评内容': '还不错，性价比比较高。', '短评打分': 5}
{'短评内容': '没早餐，隔音不好。交通方便', '短评打分': 4}
{'短评内容': '地理位置还好，周边吃饭方便，酒店设施一般，卫生一般', '短评打分': 4}
{'短评内容': '环境不错，住着很舒服，', '短评打分': 5}
{'短评内容': '和图片上不符合，图片上很干净，然而进房间里边一股味，晚上实在找不到地方住了，好在这离着隧道车站牌近', '短评打分': 2}
{'短评内容': '在中山路与市场三号路交口上，店家很好。', '短评打分': 5}
{'短评内容': '有股味道。感觉很脏。来了就想走。真实感受。商家勿喷。', '短评打分': 1}
{'短评内容': '经济适用房，中心繁华地带。', '短评打分': 4}
{'短评内容': '看到这个评论的游客朋友，来到青岛千万不要住这样的酒店，花了266元，网订了一家连80块钱都不如的垃圾酒店，卫生脏，设备陈旧，踏入酒店的第一时间就他么感觉被坑了，被子脏，上面还有别人的臭味，我强忍着一个晚上，到了现在5点，操他妈，4点隔壁洗澡，那个噪音大的，他的卫生间隔着就是我房间床头的位置，你他妈中间夹个板子啊啊操，听了一个小时噪音，浑身那个痒，心里烦躁不安，我真想打110，可是也没地方说理！我只', '短评打分': 1}
{'短评内容': '总体感觉一般，旅游旺季，这个价格也算相符', '短评打分': 3}
{'短评内容': '满意！！！！！！！，！！！', '短评打分': 3}
{'短评内容': '位置不错，离景点步行十几分钟，设施一般。', '短评打分': 3}
{'短评内容': '挺大气的酒店，地点非常好，离哪里都近，首选', '短评打分': 3}
{'短评内容': '房间太一般了，只能这么说', '短评打分': 3}
{'短评内容': '还不错，就是有点潮湿，总体满意', '短评打分': 3}
{'短评内容': '在12点退房前居然赶你走，商务A房间居然也很小，纯粹忽悠你，收钱的时候很热情，收完钱就TM变脸了，真的没骗你，你要是住了就等着买气受吧，我已经投诉他们了，你要不信就去住着试试，出来玩都希望高高兴兴的是吧，所以听进我的话！！！！', '短评打分': 1}
