{'短评内容': '床特别大，适合带孩子', '短评打分': 5}
{'短评内容': '可以加床 早餐还可以 再多一个卫生间更方便', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '很好，很满意，适合2家人住', '短评打分': 5}
{'短评内容': '早餐人很多，大床套房是两个单人床拼的', '短评打分': 5}
{'短评内容': '正品行货，暂时没发现啥问题', '短评打分': 5}
{'短评内容': '去滑雪住的 性价比可以', '短评打分': 5}
{'短评内容': '不错 滑雪很方便！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境美好设施齐全度假休闲温泉舒服', '短评打分': 5}
{'短评内容': '什么都还行，除了服务。就是我住个五星级酒店到了门口没人给我开门是什么鬼？ 酒店里餐也点不了，极其不方便。', '短评打分': 5}
{'短评内容': '赞，太好了', '短评打分': 5}
{'短评内容': '这次是第三次了，确实不错的，房间很大，很舒适，很有家的感觉！', '短评打分': 5}
{'短评内容': '家庭房，带客厅和厨房，房间露台推门就是滑雪小镇，适合飘雪花时现在露台上看，床很大，一家三口睡着都不挤的。', '短评打分': 5}
{'短评内容': '很喜欢很满意，今年春节我们一起再来', '短评打分': 5}
