{'短评内容': '不错呀！！啦啦啦啦', '短评打分': 5}
{'短评内容': '还是可以的', '短评打分': 4}
{'短评内容': '还不错，下次还会住', '短评打分': 5}
{'短评内容': '住宿第二天本酒店就不营业了。', '短评打分': 4}
{'短评内容': '这个酒店都要倒闭了。里面空调都不能开。与携程上所描述不符。', '短评打分': 3}
{'短评内容': '服务不热情，房间内地板起翘，毛巾一甩整个屋子都是毛屑飞扬。居然没有暖气，水温不稳定。', '短评打分': 4}
{'短评内容': '还可以，就是房間內沒有安全掛鎖，有点擔心房门隨時被打開', '短评打分': 5}
{'短评内容': '不错的房子，就是服务落后了不少', '短评打分': 4}
{'短评内容': '再也不会入住，半夜隔壁洗澡，我能清楚的听到身上打沐浴露的声音，几次叮嘱要安静的房间，可是还是这样，再也不会入住，住完身上还起疹子，简直就是噩梦', '短评打分': 1}
{'短评内容': '可以吧', '短评打分': 3}
{'短评内容': '房间少见的干净，用品也很好，不是一般连锁酒店那样的品质，很赞', '短评打分': 5}
{'短评内容': '性价比不错', '短评打分': 5}
{'短评内容': '很好，每次来都住这里，比较放心', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
