{'descr': '挺好的，干净卫生', 'star': 5}
{'descr': '不错，很方便！干净卫生', 'star': 5}
{'descr': '卫生不干净。', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '挺不错的，只不过没有早餐', 'star': 5}
{'descr': '还可以吧', 'star': 5}
{'descr': '感觉不错，值得入住', 'star': 5}
{'descr': '交通方便', 'star': 5}
{'descr': '交通方便，非常好', 'star': 5}
{'descr': '还不错，卫生间比较小，不过这地段，这价格算是比较合适的了', 'star': 5}
{'descr': '入住主要考虑离大使馆近，这家是性价比高的店了，位置离地铁站也不远，其他近点的店贵了不少。但房间不大，条件不算太好。临时入住还行吧。', 'star': 4}
{'descr': '抱着你寻寻觅觅辛苦辛苦对吗小把戏爸爸对吧行吧对吧发吧对吧回答就打告诉过还是手机几十块打卡打卡打卡多大', 'star': 5}
{'descr': '房间果然很小啊，进门就是床，连个站的地方都很难找！没有窗户，天花板比较低，呆久了会比较压抑，还好只是睡觉。晚上11点以后楼下的玻璃门就关上了，需要刷房卡才能开，门禁还不错。阿姨每天都来收拾，都是笑眯眯的，很热情。从酒店到建国门地铁大概要走15-20分钟，已经相当市中心了。图便宜住了这个房间，果然太小了，服务不错，以后再住的话还是多花一点钱吧！', 'star': 5}
{'descr': '快捷方便', 'star': 5}
{'descr': '房间性价比挺高 酒店服务也不错 地方也很方便 出门两分钟就有超市 大约不行十分钟就可以到地铁站 推荐', 'star': 4}
{'descr': '房子比较小，胜在地段方便', 'star': 4}
{'descr': '床不干净', 'star': 4}
{'descr': '地理位置不错，服务也还行，我住的最便宜的房间设施不是很给力，不过便宜', 'star': 4}
{'descr': '比较小', 'star': 5}
{'descr': '相对于同类酒店不是很值 空调不算暖 房间没有浴巾 隔音非常差，隔壁应该住着个剧组，一大早就听着他们讨论，话题一清二楚。窗帘不避光，窗子通风还好，下雪天，风都往屋里灌，空调还不暖，冷死人的节奏。好在服务还不错', 'star': 4}
{'descr': '简单卫生还可以，服务态度较好，方便出门办事', 'star': 5}
{'descr': '订的是特价房178，不知道是不是酒店的地段太好了，这个价格还是比较贵的，跟上海比起来，而且房间特别特别的小，让人感觉非常的压抑，床还是蛮大的，感觉卫生状况一般般，没有每天换洗，卫生间非常的小，里面的沐浴液洗发露质量很不好，不推荐', 'star': 1}
{'descr': '房间虽然小,但还是很干净的,前台服务态度很不错,先让看的房子,说我确定后在入住,酒店位置不错', 'star': 3}
{'descr': '房间比较小 \n感觉通风不太好 有点异味\n其他的没什么 偶尔退房的时候比较慢', 'star': 1}
{'descr': '房间很小，没有窗，而且位置也不太好找。价格也不偏宜。下次不会选择这个酒店。', 'star': 1}
{'descr': '环境不错,服务也可以…', 'star': 3}
{'descr': '＋什么酒店啊，晚上十一点让客人到楼下登记，还不说是自己工作失误，全怨客人，无语。', 'star': 3}
{'descr': 'haibucuo xia ci还到这里来，干净卫生不错，、服务员态度不错', 'star': 5}
{'descr': '总体还凑合，房间还行，床铺比价舒服，不过当时门口在施工。', 'star': 5}
{'descr': '很好交通方便，会再次入住！', 'star': 3}
{'descr': '门口在修路不太好找，服务很好，房间较陈旧。', 'star': 3}
{'descr': '酒店位置很好，房间也很宽敞，前台服务非常好，唯一就是停车不方便。', 'star': 5}
{'descr': '酒店位置非常好，临近商业街，购物非常方便，房间很宽敞，前台服务非常好，唯一就是停车不方便。', 'star': 5}
{'descr': '房间挺干净的，服务员态度都特别好，下次还来这。', 'star': 3}
{'descr': '地理位置还行，就是酒店位置不太好找，在马路对面还有一家，比较混，去闹市区也不是很近，', 'star': 1}
{'descr': '房间整洁，看着很干净，旁边工地在施工，也不吵，就是没电的时候很坑爹，电梯没电，楼梯也没标示，不知道走到几楼', 'star': 5}
{'descr': '由于是新店，所以特别干净整洁，而且位置很好，离柳巷很近，这次的选择是有史以来最好的！！就是房间有点小~~不过还可以啦！', 'star': 5}
{'descr': '这家汉庭挺干净的 性价比不错哦~', 'star': 3}
{'descr': '服务态度还不错，就是网线老掉线，房价比同等的有点贵，', 'star': 5}
{'descr': '环境好.....................................', 'star': 5}
{'descr': '还是不错的，就是有点小，洗涮用品有点单一。', 'star': 5}
{'descr': '简洁，  安静，  交通便捷， 早餐尚可  。', 'star': 5}
{'descr': '酒店不错，位置好，房间干净，就是窗户天气风大有点透风。。。\n下次去了还住那', 'star': 5}
