{'短评内容': '房间不错，就是WIFI太弱不方便。临近高铁站，不过离景区有点距离，出行不算方便。', '短评打分': 4}
{'短评内容': '服务。。。。。。呵呵呵呵呵呵呵呵呵呵呵呵了', '短评打分': 3}
{'短评内容': '环境一般，就是房间的热水不好，水也流的不畅', '短评打分': 5}
{'短评内容': '安静，舒服，交通方便', '短评打分': 5}
{'短评内容': '院子很别致 屋内设施齐全 从峨眉山金顶下来 晚上回这边休息 简直是最佳选择！', '短评打分': 5}
{'短评内容': '环境一级棒 卫生也好 wifi再快点就更好了', '短评打分': 5}
{'短评内容': '酒店就在峨眉院子里面，离高铁站和峨眉山都很近，交通方便，周围环境很好。', '短评打分': 4}
{'短评内容': '环境幽雅，不错，', '短评打分': 4}
{'短评内容': '环境不错，房间也不错，老板人也好，很满意', '短评打分': 5}
{'短评内容': '整个峨眉院子其实挺好的，只是这家酒店房间太小了，床垫太硬，热水很不稳定。舒适度不好。不过价钱是算便宜。一分钱 一分货吧。', '短评打分': 3}
{'短评内容': '太偏了，出行不方便', '短评打分': 3}
{'短评内容': '环境好！酒店设施一般，有待提高！', '短评打分': 4}
