{'短评内容': '价格便宜，接待热情，免费停车，但条件相当于农家乐', '短评打分': 1}
{'短评内容': '房间很干净，入住以后出现了一点小插曲~~不过很快就解决了！！', '短评打分': 5}
{'短评内容': '竟然停电了，价格贵，不是很理想的酒店，不过景区的酒店，只能将就了', '短评打分': 3}
{'短评内容': '还是很不错的酒店，并不像之前评价的那么差。空调和电热毯都很给力，老板也很不错。最后一天走的时候，还给我们一人煮了两个鸡蛋！', '短评打分': 5}
{'短评内容': '，干净', '短评打分': 3}
{'短评内容': '房间太吵，一晚没有睡好，不知道什么声音，响个不停，如没有这个噪音，我想我会推荐这家酒店，其它的时间还可以，140的价格比较划算，但就是这个噪音太讨厌了，出门旅游睡不好是多么痛苦的事情啊，店主好好改改吧。', '短评打分': 1}
{'短评内容': '酒店可以免费停车，在院里里边，还是不错的，晚上停在那里比较放心，酒店生意不错，但晚上太吵，不知道是什么声音，喔喔2喔的，估计是空调运行发生共鸣，吵安逸了，大小床不错，一家人睡没有问题，关键还是这个好，另外，房间卫生还是不错的。总的来说，还过得去。', '短评打分': 5}
{'短评内容': '房间的隔音效果很差，特别是木楼那部分。设施也很陈旧，住过两间房间，电热毯都是坏得', '短评打分': 1}
{'短评内容': '房间不错，可惜木楼没空调。房间里入住时没发现有茶杯，只有两个漱口杯。其他的都好。住了2天，垃圾桶就没人来清理过...这点服务上疏忽了。', '短评打分': 5}
{'短评内容': '还可以，不错。', '短评打分': 3}
{'短评内容': '开始定的单间，后来全部换成了标间，因为标间房间比较宽敞一些，老板态度比较好，遇到了不能预期的问题也能协商解决，这个价格还算比较满意。', '短评打分': 5}
{'短评内容': '比农家乐要差。比如吧，睡觉总是要脱衣服的，没有衣柜、没有衣架、也没有任何凳子或椅子，只能摆在唯一一张桌子上。其他的还需要说么？', '短评打分': 1}
{'短评内容': '卫生不敢恭维啊，去的时候服务员的手机充电器还在里面充电，厕所有异味，厕所垃圾桶内还有未清除的垃圾。从九点到十一点半一直都在纠结没有热水，最终还是没有修好，还临时到另外的房间洗的澡。反正是非常影响旅行的心情。下次我宁愿多花点钱也不住这种酒店了。', '短评打分': 1}
