{'短评内容': '地理位置不难找。前台服务热情', '短评打分': 5}
{'短评内容': '京东订酒店就是方便', '短评打分': 5}
{'短评内容': '住的很舒服', '短评打分': 5}
{'短评内容': '好环境不错', '短评打分': 5}
{'短评内容': '没过多停车场，早餐加钱的', '短评打分': 5}
{'短评内容': '离商业区较近，服务不错，房间一般', '短评打分': 3}
{'短评内容': '晚上两点多，楼顶茶楼还在剁东西，“嘟嘟嘟，嘟嘟嘟”，太吵了！搞到睡不着，差评！！！', '短评打分': 3}
{'短评内容': '1.8的床，窗户有跟没有一样对着隔壁楼开的，打开就是黑漆漆的一片，厕所门关不严实。不过酒店附近的环境就是老城区，但是挺方便的，离长寿路地铁站六分钟左右的距离，附近很多小吃。住一晚还是挺好的。', '短评打分': 5}
{'短评内容': '离长寿路地铁站走路10分钟左右，位置算方便。周边环境一般般，晚上路上比较暗。恒宝广场就走路10分钟就到，这个价位算性价比高不能要求太多', '短评打分': 4}
{'短评内容': '！', '短评打分': 5}
{'短评内容': '各方面都好就是床单好不干净', '短评打分': 5}
{'短评内容': '怎么说这个位置不偏僻，还算好找，前台工作人员很热心我住的那个大房有窗，但是这个窗对着一条黑漆漆的走廊，总之觉得不安全，电视是网络电视，基本配备都很好，相比其他7天酒店，这个房间地板和光线和房间透气都不足', '短评打分': 4}
{'短评内容': '还不错、就是卫生间有声音、不好、', '短评打分': 5}
{'短评内容': '很多服务不到位。前台接待不熟悉程序，护照的入境日期都不知道在哪页。房间很多东西失灵，厕所板，洗手盆的水龙头松脱，洗手间地上常常积水，厕所水箱的水很容易不停顿，清洁很马虎，房间电话有极大的回声，反映了却说全部电话同一个型号，没法修。升降机门关得太快又说没法修，空调肉眼都看到很脏，设施陈旧肮脏，不会再来', '短评打分': 3}
{'短评内容': '酒店自主双床房的双床都很大，三人入住都不觉得挤。很整洁，京东的价格真的很优惠，入住后更有京豆回赠，很便宜！唯一的遗憾就是电视机收不到香港电视台的节目，入住的晚上未能追电视剧。其他各方面都令人满意。遗留了一件衣服，致电前台，有礼亲切，告诉已经留存好待取，专业的服务。', '短评打分': 5}
{'短评内容': '差评', '短评打分': 1}
{'短评内容': '合适', '短评打分': 5}
{'短评内容': '普通的快捷洒店，房间太小了。就是电梯是货运电梯，搭的有些怕。服务还行。', '短评打分': 3}
{'短评内容': '地理位置超级方便  紧邻上下九    也不闹    周边美食多    离地铁1号线步行5分钟    缺点是房间比较宅    下次来广州还会住', '短评打分': 4}
{'短评内容': '酒店非常不错，入住十分舒适，服务也非常好，下次一定还会入住。', '短评打分': 5}
{'短评内容': '酒店环境还可以，这个价格在附近算不错了，房间环境还不错。', '短评打分': 5}
{'短评内容': '地理位置很好，离地铁站不远，离上下九也不远，逛街方便。不过这次入住服务貌似较为欠缺，出去一趟卡莫名其妙的开不了门了，然后发现前台错把我们的房间给退了，还好没丢东西。还有，我们订的房间是内窗，窗外一条过道，过道里面还有几扇别的房间的窗户，完全可以翻出去，如果不关好窗和帘，感觉会有人翻过来偷偷看你。', '短评打分': 4}
{'短评内容': '里宝华路非常近，离地铁站也很近，还不错', '短评打分': 5}
{'短评内容': '还是挺不错', '短评打分': 5}
{'短评内容': '步行几十米就是上下九  方便    ，服务员 很有礼貌 ，碰面都会 和你打招呼， 卫生也蛮好的', '短评打分': 5}
