{'短评内容': '嗯，总体不错，住了好几天，服务员态度良好，客房态度不错，有问题能及时解决，设施都能正常使用，房间不反味，设施齐全，', '短评打分': 5}
{'短评内容': '房间干净，服务员态度不错，如果不是会员每天房价都有变动。里面设施齐全。没有香皂，有一次性拖鞋和牙刷，沐浴露洗发露是瓶子装。床单看起来干净，但没有明显折叠的印记，不过这么大的连锁应该会换床单的。', '短评打分': 5}
{'短评内容': '很不错，卫生很好', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 4}
{'短评内容': '酒店位置很方便   晚上比较安静    离宽窄巷子很近   晚上还有免费牛奶  很棒', '短评打分': 5}
{'短评内容': '还可以，比较经济实惠', '短评打分': 5}
{'短评内容': '服务态度点赞', '短评打分': 5}
{'短评内容': '好，不错，房间干净，有便宜', '短评打分': 5}
{'短评内容': '环境一般，要不是时间匆忙不会定在这里', '短评打分': 3}
{'短评内容': '还可以吧还可以挺好的还是不错', '短评打分': 5}
{'短评内容': '交通方便，服务态度很好，总之感觉不错，希望继续努力。', '短评打分': 5}
{'短评内容': '酒店整体环境不错，出行交通也很方便，就是电梯有点恐怖，每次上行的时候到了五楼就有点抖，希望能尽快改进。', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '服务好！礼品还真是漂亮，超值！但，有一颗小珠有些瑕疵，这是难免的。尺寸比想象中的要小。总体还不错！', '短评打分': 5}
{'短评内容': '就是这电梯有点害怕，总发出奇怪的声音。。', '短评打分': 4}
{'短评内容': '很好，服务不错，去那边住一个不错的选择', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '房间多，周围繁华。', '短评打分': 4}
{'短评内容': '没有停车场', '短评打分': 4}
{'短评内容': '还算可以，比较安静……', '短评打分': 3}
