{'短评内容': '房间有些老旧，设施很低端，但环境还不错，停车了的还不错够大，床有点窄了点。厕所和卫浴设备太差了点，恙的还行。。', '短评打分': 3}
{'短评内容': '一般，环境很差，里面有味道', '短评打分': 3}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '干净，卫生，服务态度好，无早餐', '短评打分': 5}
{'短评内容': '干净，卫生，服务态度好', '短评打分': 5}
{'短评内容': '周边就是客运站，还算方便', '短评打分': 4}
{'短评内容': '好。交通方便', '短评打分': 5}
{'短评内容': '太偏，一般吧', '短评打分': 2}
{'短评内容': '过的去', '短评打分': 3}
{'短评内容': '帮员工出差订的，因为离番禺客运站比较近所以订这里。明明订的是豪华单人房。到店后说他们网上订的都是普通房，豪华房不是这个价。不是这个价为什么写着豪华房？？？不满意！', '短评打分': 2}
{'短评内容': '还算干净，价格摆在那，算过得去吧。', '短评打分': 4}
{'短评内容': '很好，简直是物超所值，强烈推荐', '短评打分': 3}
{'短评内容': '好就一个字', '短评打分': 5}
{'短评内容': '酒店还可以', '短评打分': 3}
{'短评内容': '干净，舒服，温馨，服务态度好！', '短评打分': 3}
{'短评内容': '交通方便，靠近车站.其他环境一般了。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '1、靠近公路及车站，噪音较大。\n2、室内卫生总体不错，个别枕套发黄。\n3、冲凉水压大，舒服推荐。\n4、室内如能增加个挂衣物的架子就更好了。', '短评打分': 5}
{'短评内容': '房间挺干净的   尤其的洗澡的水压特别舒服', '短评打分': 5}
{'短评内容': '总的感觉还行，安静。', '短评打分': 3}
{'短评内容': '卫生一般', '短评打分': 3}
{'短评内容': '隔音很差很差，走廊外说话都听得见，水压很足水温很好，算是比较好的旅馆，绝对算不是酒店。', '短评打分': 1}
{'短评内容': '很好 性价比很高 安静舒适 招牌挂的太高了  路过根本看不到', '短评打分': 5}
{'短评内容': '感谢，很满意！', '短评打分': 3}
{'短评内容': '交通方便，就在番禺客运站后面，房间干净，空间偏小，安静，经济型酒店。', '短评打分': 5}
{'短评内容': '里面的一个领班很不错，呵呵，天台的风景也很好，算是一个老的好酒店', '短评打分': 5}
{'短评内容': '以入住', '短评打分': 3}
{'短评内容': '环境不错，晚上睡觉安静，而且房内有卖各类用品，方便入住客户取用，价格也合理，附近还有麦当劳，客运站，总体来说很方便，唯一的不足就是房间内除了厕所内的卫生纸没有其他纸巾可用。。', '短评打分': 5}
{'短评内容': '首先，房间不提供一次性拖鞋，不方便；其次，用品太旧；最后，开发票的时候要另外给8%的税钱，都没有在网上说明下。', '短评打分': 1}
{'短评内容': '，酒店位置还好，但环境不怎么样。', '短评打分': 3}
{'短评内容': '离琶洲有点远', '短评打分': 3}
{'短评内容': '房间装修很差，唯一不错的是有很大的花洒，比较舒服', '短评打分': 5}
{'短评内容': '本酒店地理位置挺好，交通方便，价格也挺优惠', '短评打分': 5}
{'短评内容': '环境和条件还不错，服务也可以，可以说是性价比较高的酒店。', '短评打分': 5}
{'短评内容': '酒店在番禺火车站旁，出行方便，环境很好，蛮安静的，房间卫生条件好，干净整洁，服务态度也很周到', '短评打分': 5}
