{'短评内容': '因为高级双人房没有了给我们换了豪华双人房，很大一间还有麻将桌，就是电视开不了，有点旧旧的感觉，有点偏僻，总体还是很不错的，老酒店了', '短评打分': 4}
{'短评内容': '房间大，周围有吃的，安静', '短评打分': 5}
{'短评内容': '好好很好的', '短评打分': 3}
{'短评内容': '每次过来花都都选这家的，感觉性价比非常高，房间很大的，价格很适当，周边饮食，娱乐，都是非常的方便。！', '短评打分': 5}
{'短评内容': '出差一直都住这家酒店，性价比较高', '短评打分': 4}
{'短评内容': '不赖好好休息好好学习天天向上好好学习', '短评打分': 5}
{'短评内容': '很不错，每一次都住他们家', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '地板有点脏，其他还好', '短评打分': 5}
{'短评内容': '房间挺大，就是地板是铺毛毯的，看着好脏，在室内都不敢拖鞋', '短评打分': 4}
{'短评内容': '服务好，安全。性价比高。', '短评打分': 5}
{'短评内容': '房间大，性价比高。', '短评打分': 5}
{'短评内容': '这里喔都是常客了价格实惠 环境优雅！每次去都是和客户商务出行，高端大气上档次，特别是靠窗马路这边房间视野好', '短评打分': 4}
{'短评内容': '挺好的环境', '短评打分': 5}
{'短评内容': '房间较舒适', '短评打分': 4}
{'短评内容': '优惠价，房型不好，电梯有噪音。还是标准间好。', '短评打分': 5}
{'短评内容': '房间很大，价格低，很好。', '短评打分': 5}
{'短评内容': '可以是可以，就是房间的电话坏了！有事找前台怎么办，对吧。', '短评打分': 4}
{'短评内容': '房间很大，周边方便，免费接送机，性价比很不错，推荐', '短评打分': 5}
{'短评内容': '性价比挺高，位置也在花都得中心位置。', '短评打分': 5}
{'短评内容': '酒店设备比较旧，很一般，不值这个价', '短评打分': 4}
{'短评内容': 'OKOKOKOKOKOKOKOKOKOK', '短评打分': 5}
{'短评内容': 'OKOKOKOKOKOKOKOKOKOKOK', '短评打分': 5}
{'短评内容': 'OKOKOKOKOKOKOKOKOKOK', '短评打分': 5}
{'短评内容': 'OKOKOKOKOKOKOKOKOKOKOKOKOKOKOKOKOKOKOKOKOK', '短评打分': 5}
