{'短评内容': '很不错，值得住', '短评打分': 3}
{'短评内容': '还不错，价格实惠', '短评打分': 3}
{'短评内容': '价格皆较便宜，位置也可以，只是简陋了点，是居民楼改造的，不是传统酒店的结构布局，如果对这些要求不高，这家店性价比不错，是比较好的选择。', '短评打分': 3}
{'短评内容': '比较便宜，还算干净，每次晚上都有骚扰电话打到房间，影响休息.', '短评打分': 5}
{'短评内容': '价格算是比较便宜的。但是网上订购和门市价一样，会员价倒是低很多。条件不如青岛的连锁，很破旧。停车也不如青岛方便。本来打算住三晚，结果住了一晚朋友就受不了了，非去汉庭。汉庭打完折后贵20块钱，但是完全不一个感觉。', '短评打分': 1}
{'短评内容': '地点挺好的离公交挺近，住的是大床挺舒服，就是楼层太高', '短评打分': 5}
{'短评内容': '酒店挺干净的，隔音好。就是路有点不好找。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间一般，服务不太好，大床房的房间里有味', '短评打分': 5}
{'短评内容': '房间还可以，设施简单了点，还有钱都交了，前台不给开发票，非要等到第二天走时开，结果浪费n多时间', '短评打分': 5}
{'短评内容': '比较破旧...........................', '短评打分': 1}
{'短评内容': '网上地址与实际地址不符，转了2圈再打电话询问才找到，没有餐厅不太方便。', '短评打分': 1}
{'短评内容': '服务很好，房间设施简洁不简单，卫生很好，床铺干净、舒适，唯一的不足就是如果有电梯更好\n   对了，要特别强调，前台及服务员态度很好，很有亲和力！', '短评打分': 5}
{'短评内容': '刚一进去就发现了门后的两团纸，还是有些卫生死角，电视频道就几个，水壶里面出面了水锈，总得来说还可以。', '短评打分': 5}
