{'短评内容': '真心不错，值得入住', '短评打分': 5}
{'短评内容': '还可以，帮朋友定的', '短评打分': 5}
{'短评内容': '很好，干净整洁', '短评打分': 5}
{'短评内容': '房间大，服务员亲切。', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '干净大气服务好住的舒服', '短评打分': 5}
{'短评内容': '前台服务很好', '短评打分': 5}
{'短评内容': '很不错，交通便利，服务很棒', '短评打分': 5}
{'短评内容': '还不错，算满意', '短评打分': 5}
{'短评内容': '那个床很柔软，床很宽，嗯，房间还是很大的。很舒服。', '短评打分': 5}
{'短评内容': '房间很大，但里面的商品很有诱惑性，一不小心就要消费了', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '很好  前台服务热情  ', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境好，不错', '短评打分': 5}
{'短评内容': '房间很宽敞', '短评打分': 5}
{'短评内容': '酒店位置不错，周围设施完备，性价比高', '短评打分': 5}
{'短评内容': '不错！房间很大！还有冰箱可以冰冻海鲜！', '短评打分': 5}
{'短评内容': '不错，出差住了好几次', '短评打分': 5}
{'短评内容': '去萧山就住3b', '短评打分': 5}
{'短评内容': '周边购物，娱乐，美食应有尽有，房间宽大舒适，不错的酒店。', '短评打分': 5}
{'短评内容': '房间比较大，装修不久，性价比较高，周边配套成熟。', '短评打分': 5}
{'短评内容': '酒店的房间很大， 提供电脑/IPTV,设施也不错。旁边就是恒隆广场，生活也很方便。', '短评打分': 5}
{'短评内容': '地段好，房间宽敞，中央空调给力，而且房间干净，很不错。', '短评打分': 5}
{'短评内容': '这次来萧山依旧定了这里~\u3000嘿嘿～这次房间比上次的还要好些~ 多了冰箱~ 真的是性价比很高的酒店！安静舒适！宽敞人性化！', '短评打分': 5}
{'短评内容': '还不错的，位置不错，户型也蛮有意思的，就是需要注意更加卫生整洁', '短评打分': 5}
{'短评内容': '酒店地理位置非常好，就在恒隆广场边上，酒店设施也非常不错，不过就是check in和结帐的时间很长，大家都在抱怨，需要改进啊', '短评打分': 5}
{'短评内容': '房间够大，设施完备。地处萧山区繁华地段，各方面都很满意。唯一让人有点不愉快的就是前台办理入住和退房太慢，望以后能有所改进。下次来萧山还会住这里。', '短评打分': 5}
{'短评内容': '这不是第一次去了，总的说来还不错，房间大，有电脑，网速也快', '短评打分': 5}
{'短评内容': '房间很大，床也很大，整个房间给人感觉很干净舒服，就是办理入住和退房要等一会', '短评打分': 5}
{'短评内容': '真的不错，性价比超高，每次来萧山都会住这', '短评打分': 5}
{'短评内容': '很好，总之你自己住了就知道了，呵呵，希望大家能继续住吧', '短评打分': 5}
{'短评内容': '除了结帐退房 速度需要提高， 其它都很好', '短评打分': 5}
{'短评内容': '位置在商业黄金地，床舒适，服务态度还可以', '短评打分': 5}
{'短评内容': '地处繁华地段，下面就是屈臣氏等，比较方便。唯一缺点就是停车场吧，是和人家商场一起合用的，进出很麻烦。', '短评打分': 5}
{'短评内容': '很温馨', '短评打分': 3}
{'短评内容': '很喜欢，房间特别大！创特别舒服，价格实惠！虽然离杭州市中心有些距离，但是它位处于萧山区的中心位置，吃饭购物交通都很方便，还可以远离城市喧嚣，一览湘湖美景', '短评打分': 5}
{'短评内容': '相当不错的一家酒店，有种家的感觉。服务也很不错', '短评打分': 5}
{'短评内容': '一如既往的不错', '短评打分': 3}
{'短评内容': '一如既往的好，下次还会来住， 也会推荐给朋友', '短评打分': 5}
{'短评内容': '房间大，干净，装修豪华，地理位置在萧山繁华地段，下次还会在选这里的。                                           ', '短评打分': 5}
{'短评内容': '比较满意，实惠！', '短评打分': 3}
{'短评内容': '位置还好，在恒隆广场里面，房间很大，装修挺清爽的，性价比较高，下次应该还会来。', '短评打分': 5}
{'短评内容': '房间够大， 就是结帐和入住办理太慢了， 要是这点能加强就更好了 ', '短评打分': 5}
{'短评内容': '酒店房间大', '短评打分': 3}
{'短评内容': '空调噪音太大', '短评打分': 3}
{'短评内容': '退房慢的要死   我提前10分钟打电话给总台说退房，结果下去还等了10多分钟。。。', '短评打分': 1}
{'短评内容': '床很舒服，总体不错', '短评打分': 3}
{'短评内容': '很不错，环境，地段，都很好，而且配备中央空调。', '短评打分': 5}
{'短评内容': '酒店不错就是办入住手续太慢，另外住酒店客人素质太差随便乱丢垃圾。', '短评打分': 3}
{'短评内容': '很好的酒店，各方面都蛮方便的，服务员态度也不错', '短评打分': 5}
{'短评内容': '环境还是不错的!宽敞明亮，这样的环境还挺便宜的!又有电脑!就是六百押金贵了点!', '短评打分': 3}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '非常OK，空间大，比较温馨，价格也实惠周边环境也好，', '短评打分': 5}
{'短评内容': '环境不错，空间非常大，还有冰箱什么的，看着就有家的感觉', '短评打分': 5}
{'短评内容': '很喜欢，房间特别大！创特别舒服，价格实惠！虽然离杭州市中心有些距离，但是它位处于萧山区的中心位置，吃饭购物交通都很方便，还可以远离城市喧嚣，一览湘湖美景！', '短评打分': 5}
{'短评内容': '硬件条件还不错，软环境尚需提高。一般登记需要20分钟以上。前台服务员人不少，干活的人不多。', '短评打分': 5}
{'短评内容': '去萧山基本都主这里，房间相当的大，而且周边吃饭也很方便，下面停车什么都不错', '短评打分': 5}
{'短评内容': '住过多次了，还是那么好，就是价格涨了，有点遗憾。嘿嘿', '短评打分': 5}
{'短评内容': '说实话，酒店的卫生条件有待加强，我住的房间里面居然有很大的一股醉酒呕吐物的味道，而且桌面摸起来粘粘的感觉。', '短评打分': 1}
{'短评内容': '商务经济，真正的市中心，酒店是位于购物广场的楼上的，所以逛街相当地理想。', '短评打分': 5}
{'短评内容': '早餐的服务较以前有提高，但早餐还是一如既往，没有任何变化。', '短评打分': 5}
{'短评内容': '酒店大堂这些天在装修，期待装修后的效果，希望有大气的感觉。', '短评打分': 5}
{'短评内容': '公寓式酒店，酒店比较安静，隔音不错，卫生间小了点。', '短评打分': 5}
{'短评内容': '酒店整体印象不错。\n全新的装修，楼道里和电梯里还有股淡淡的水果清香。\n房间超级大，床也很舒服，有点类似公寓，有厨柜。\n卫生间不是很大，但淋浴出水还可以。\n房间里配备了电脑，自己带电脑的得把网线从房间电脑里拔下来用，网速超快。\n写字台有点小，而且台面卫生不太好。\n结账速度稍慢。', '短评打分': 5}
{'短评内容': '虽然早餐不咋地，但还是选择了3B，久了会习惯。', '短评打分': 5}
{'短评内容': '地处萧山市中心，出行挺方便的，下次再来。', '短评打分': 5}
{'短评内容': '住了很多次了，慢慢习惯了，唯一不习惯的就是一成不变的早餐。', '短评打分': 5}
{'短评内容': '酒店很好，要是送早餐更好', '短评打分': 3}
{'短评内容': '酒店房间超级大，性价比还可以。就是离市区太远了。。。', '短评打分': 5}
{'短评内容': '房间大，地点好，外面吃饭的很多，去萧山都主这里', '短评打分': 5}
{'短评内容': '非常喜欢的酒店，只要去萧山，都是住在这里', '短评打分': 5}
{'短评内容': '这家酒店在萧山市中心，性价比不错，房间非常大，网速也很给力！', '短评打分': 5}
{'短评内容': '房间很大，还有沙发，在萧山中心位置。 毛巾太久，其他还好', '短评打分': 5}
{'短评内容': '酒店是单身公寓改建过来的，房间很大，安静，宽带很快，下次还会入住！', '短评打分': 5}
{'短评内容': '早餐品种太少了，每天都一样，住久了很容易吃腻。', '短评打分': 3}
{'短评内容': '房间很大，很正气，上网速度很快。房间里的电脑也好用\n但是房间靠马路那面有点吵，汽车声音听得很清楚\n15元一份的早餐也不是很好吃，品种比较少。', '短评打分': 5}
{'短评内容': '酒店装修不错，地理环境性价比还是比较高的', '短评打分': 5}
{'短评内容': '房间门老是打不开，每次都得叫服务员开门，太不方便了。', '短评打分': 3}
{'短评内容': '服务一般 就是地点好 退房开房都是慢的很', '短评打分': 5}
{'短评内容': '一直去一直住，还行的。床特别舒服，早餐也不错。', '短评打分': 5}
{'短评内容': '酒店前台不够专业，缺少亲和力，房间挺大，不错。早餐需另收费，不是很方便。', '短评打分': 3}
{'短评内容': '简单的说，真的不错，很值很赞，如果房间空气再好点就更好了。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '大床房非常好，房间很大，床很舒服，设施很全，价格也合理，整体可以打9分', '短评打分': 3}
{'短评内容': '出了离西湖和市中心远一点，其他都很满意。房间很大无异味，配置的电脑上网速度快，卫生间也干净。', '短评打分': 5}
{'短评内容': '很好，很有感觉，像个家', '短评打分': 3}
{'短评内容': '还不错就是厕所有股味道里房间很大不过早餐如果是免费的就更好了', '短评打分': 5}
{'短评内容': '这次定错了房间，双床定成大床了，进房发现不对，前台立即换房了。', '短评打分': 5}
{'短评内容': '房间足够大，去萧山办事很方便，周边吃饭什么都很多', '短评打分': 5}
{'短评内容': '酒店位置方便，各种设施完善，干净卫生，我们都很喜欢，整体很满意，下次出差还会再光临的。', '短评打分': 5}
{'短评内容': '房间宽敞,价格适中,周边繁华方便,总体不错', '短评打分': 5}
{'短评内容': '前台业务能力差的不是一点点，房间除了大几乎没有什么优点，早餐还算不错，这个地段要把质量提上去才有竞争力', '短评打分': 1}
{'短评内容': '房间很大,周围很热闹。', '短评打分': 3}
{'短评内容': '房间面积很大，还带电脑，设施较旧，楼下恒隆广场餐饮消费非常方便。', '短评打分': 5}
{'短评内容': '住的是跃层的复式套房。。。房间很宽敞很漂亮。。。很喜欢卧室的色调。。。\n咱是为了拍照特意去开房的。。。拍出来照片效果很给力= =+\n服务态度还不错。。。本来很期待的早餐结果因为一直在忙没时间去吃。。。\n\n五一有点不爽的是。。。因为离开前收拾东西延误了20多分钟退房。。。一下子多收了119房费TAT\n都不能通融点嘛。。。伤心了。。。。', '短评打分': 5}
{'短评内容': '酒店周围很热闹，出去逛逛闹事很方便。。。。。。。', '短评打分': 5}
{'短评内容': '地理位置不错，有地下车库，停车比较方便，酒店环境也可以，性价比高', '短评打分': 5}
{'短评内容': '环境不错，房间也很大，而且周围的交通都很方便，只是服务态度欠佳。', '短评打分': 5}
{'短评内容': '地段很好,很宽敞,应该是公寓改的,物有所值', '短评打分': 5}
{'短评内容': '酒店房间不错，设施很舒服，交通也很方便，期待下次再次入住。', '短评打分': 5}
{'短评内容': '房间很大，地点在萧山也很不错。唯一的问题就是服务太差了。在前台入住和离店，前台里面五个服务员，一个人在服务，其余四个都面色凝重，看本子的看本子，写字的写字，全然不顾外面已经站了不下十个顾客了。', '短评打分': 1}
{'短评内容': '房间很大，床很舒服，因为中转只住了一天\n就是从机场过去其实挺不方便，出租车上几次打电话给前台都说不清自家酒店在什么位置', '短评打分': 5}
{'短评内容': '酒店式公寓~  房间挺大的~ 装修也挺带感的~ 就是感觉洗手间小了些~ 值这个价格~', '短评打分': 5}
{'短评内容': '整体感觉还不错，唯一遗憾的是沐浴房里面没有防滑垫，感觉洗澡时极不安全，还有房间里面没有餐巾纸，也有点不太方便，建议酒店方面加强改进，可以变的更完美。', '短评打分': 5}
{'短评内容': '房间比较大,还可以', '短评打分': 3}
{'短评内容': '房间很大，硬件还算可以。餐厅也比较方便。服务一般', '短评打分': 5}
{'短评内容': '房间还不错，地段也好，就是房间很烟味，这点不太好！', '短评打分': 5}
{'短评内容': '空间比较大，属于酒店是公寓，住住还是可以的', '短评打分': 5}
{'短评内容': '酒店房间很大、很漂亮和很个性！就是卫生间的马桶很不好，做上去不舒服！', '短评打分': 3}
{'短评内容': '酒店很不错，环境也很好，房间很大，很舒适，就是杭州人不怎么样', '短评打分': 5}
{'短评内容': '清潔還需要加強，基本上連礦泉水都沒有奉送需要付費，唯一只有早餐提供的內容還算健康，前台的服務及速度需要再加強。', '短评打分': 1}
{'短评内容': '不错房间很大很舒服', '短评打分': 3}
{'短评内容': '查房速度太慢，而且别的酒店都能住到下午14点退房，该酒店12点之前就要退房', '短评打分': 1}
{'短评内容': '房间蛮大的', '短评打分': 3}
{'短评内容': '酒店下面就是商场，旅游购物都非常方便。房间设施也很满意。', '短评打分': 5}
{'短评内容': '房间很有意思，被草全是蓝色的，实际上是一个功能齐全的公寓。', '短评打分': 5}
{'短评内容': '房间很大，床很大，装潢也不错。蛮烂漫的说', '短评打分': 5}
{'短评内容': ' 1110房间', '短评打分': 3}
{'短评内容': '已多次推荐朋友入住，反映都一样，不错，房大、床大、干净、安静。网速也快。', '短评打分': 5}
{'短评内容': '房间面积还不错，配有电脑，其他没感觉有什么差的就是洗发水太差了', '短评打分': 5}
{'短评内容': '还不错的酒店。床很舒服，物有所值！就是总台结账实在是太慢了，还需要培训！', '短评打分': 5}
{'短评内容': '没有什么原有，只是交通还算方便，边上还有别的经济型酒店。', '短评打分': 5}
{'短评内容': '装修很特别很舒服， 周围吃饭玩的，也非常方便，不错的酒店', '短评打分': 5}
{'短评内容': '地点很好 但价格来说比较贵的 适合出公差用 个人旅游不推荐', '短评打分': 5}
{'短评内容': '酒店设施不错,', '短评打分': 3}
{'短评内容': '很好~~~~~\n房大、床大\n安静、干净\n网速超快。', '短评打分': 5}
{'短评内容': '不错，房间很大，干净，都是电脑房。\n下次一定再住这。', '短评打分': 5}
{'短评内容': '住过很多次，很不错的感觉\n特别是床特别的大\n而且网速也蛮快\n就是前台的服务小姐态度不是很热情 ', '短评打分': 5}
{'短评内容': '房间，环境都不错，唯一不好的地方，就是停车问题，正常来说，停车费不用顾客承担的，但是这里需要顾客付一部分的', '短评打分': 5}
{'短评内容': '在恒隆广场里面，购物很方便，旁边很多商店。\n酒店的房间也很舒服，很好', '短评打分': 5}
{'短评内容': '恩，房间很大...床很软很舒服，卫生也挺不错的，挺适合个人或者大家聚会的', '短评打分': 5}
{'短评内容': '好比较满意，服务态度和周边购物商店比较多，很方便', '短评打分': 5}
