{'短评内容': '网上付款与现付态度差很多，', '短评打分': 1}
{'短评内容': '一楼是吃饭的地方，第二天起床去金顶比较方便，三点有叫醒服务，酒店环境很好。老板给安排了湖景房，比较不错，不过作为北方人，觉得床铺很潮。。。其他都很好，环境真的不错。', '短评打分': 5}
{'短评内容': '热水足，安静。卫浴太一般。', '短评打分': 3}
{'短评内容': '导航根本找不到，电话也打不通，还不给退款，白定了。', '短评打分': 1}
{'短评内容': '第一，这个酒店离五显岗车站很近，酒店面前就是清音平湖，依山傍水，环境挺好，住下后可以到一线天，黑龙江栈道，生态猴区游玩，来回2个小时，到白龙洞，万年寺来回3小时，都是半山腰著名的景点，空气很好，也挺有意思，第二，我们第二天早上到五显岗车站坐车上金顶看日出，云海等景点班次多，感觉很方便，金顶看十方普贤。半山腰看山看水看猴子，还有最古老和最大的万年寺和白娘子修行的地方，真的令人目不暇接，房间总体不错，', '短评打分': 5}
{'短评内容': '上次也是出差来住这里，感觉蛮好，老板人不错还来接我们，风景很好，卫生条件不错，出门就能看到湖，作为在城市待惯的我看了很舒心，晚上还能看着湖景吃饭，还有我上次耳机掉在酒店了老板帮我寄过来咯，很感谢，距离做上金顶的车场也近，好评', '短评打分': 5}
{'短评内容': '我们一起10人出行，初次到峨眉山旅游，在网上预订这个酒店后，到店感觉这家店房间干净卫生，饭菜可口，服务态度好，酒店免费提供报国寺客运中心到五显岗车站的住宿接送车，我感觉交通很方便，还有这里风景很好，附上几张美图，下次旅游还住这里值得推荐，', '短评打分': 5}
{'短评内容': '还可以，老板为人也还比较厚道', '短评打分': 4}
{'短评内容': '房顶的房间。定的时候网页显示的是26个平方，大床1.8，全是骗人的。房间最多10个平，床只有1.5m，问服务人员，他们说没房了，大床只有这一间，还打电话请示，那意思好像还要涨价。我们头一天住途窝两张床，儿子滚下去了，这次特地定的大床，真是失望透了。房子属于楼上楼，我们窗外是屋顶也是后面一栋楼的大门口，都属于酒店，上下楼的脚步声说话声连放个屁的声音都听得见。整栋楼的人都睡了我们才睡着。那时候都快一点', '短评打分': 1}
{'短评内容': '条件简陋，就农家乐标准', '短评打分': 3}
{'短评内容': '房间干净 门口就是静音湖 交通方便 以后还住那里', '短评打分': 3}
{'短评内容': '挺好，有个湖。环境不错。老板人可以。关键是饭菜来说比较实惠。是个不错的地方。', '短评打分': 3}
{'短评内容': '总的来说，还不错。前台的那个小妹妹态度很好，房间还算比较整洁干净，但室内有虫子，可能是因为比较原生态吧，因为我们入住的时候，窗户是打开的。不过饭店里的菜就不怎么样了，个人感觉味道不怎么好。', '短评打分': 5}
{'短评内容': '绝对的性价比，超值。强烈推荐。老板人也不错。', '短评打分': 5}
{'短评内容': '非常好的酒店，设施不错，老板人很热情，服务非常周到。', '短评打分': 5}
{'短评内容': '饭店在湖边，下午去时水好蓝。老板女儿很乖巧，有出门接。', '短评打分': 3}
{'短评内容': '老板热情，设施一般，可以住。去的时候赶上装修，楼道有点乱，卫生间热水器没电，老板给安排到别的房间洗的澡，呵呵。估计装修以后环境会更好！', '短评打分': 5}
{'短评内容': '四人房就是阁楼。。。。而且房子在装修，到处堆的都是水泥，晚上客人吵到二点，老板也没有制止。', '短评打分': 1}
{'短评内容': '老板很热情，用三轮车来接人，可是因为装修，让我们\n住在旁边的一家，，，无法评价。', '短评打分': 5}
{'短评内容': '环境还不错，挺干净的，但洗热水澡有点麻烦，大冬天的，水温不够，冷死我了。', '短评打分': 5}
{'短评内容': '环境好空气好', '短评打分': 3}
{'短评内容': '饭店距离五显岗车站较远，走路需要18分钟左右；饭店服务人员在收钱之前态度很好，收了钱之后就变得很势利，什么都要钱；不推荐此饭店！', '短评打分': 1}
