{'短评内容': '超实惠哦！赶紧来这定', '短评打分': 5}
{'短评内容': '常住实惠，还可以吧！', '短评打分': 5}
{'短评内容': '还是比较可以的', '短评打分': 5}
{'短评内容': '酒店还不错 就是态度不好 刚入住的时候 我就要求换床单 可是前台说要清洗费？！我才到酒店 屁股还没坐下去 就要我清洗费 其它酒店怎么就没见这样 图片拍的就是刚进房间就看到的大面积褶皱 还不帮我换', '短评打分': 4}
{'短评内容': '房间粗看还行，适合不挑剔的人。设施有点旧了，门，柜都有一些磨损。我的房间是靠马路的，不知道附近有什么工业区还是加工区，很多大卡车经过，非常吵。要求换房间，又被告知相同房型没有了，要求我加钱升级房间。考虑到晚上可能车会少一些，另外也懒得跟酒店搞，最终没有换房间。空调也有问题，开了制热，可是根本不工作。还好房间被子够厚，盖被子后感觉还能凑合，而且想想叫电工修理的话我还要穿衣服，太麻烦，就将就了一晚。热', '短评打分': 3}
{'短评内容': '早餐一般，过得去，有停车场，停车方便，但是酒店靠近马路，有点吵，房间设施还可以，服务员估计是新人，还不太专业，可以带孩子哦，但是我住的大床房面积估计是放不了加床的', '短评打分': 4}
{'短评内容': '怎么说呢，网上订这价位可以。到店付就不合算了，198的房间，热水放了五六分钟才出来，还好天不是很冷，可见入住率一般。另外分到房间靠马路较吵，窗户并不能完全隔音。房间设施比较陈旧，估计楼上漏过水，有水渍。桌子、橱柜有烟烫过的痕迹，脏脏的。', '短评打分': 3}
{'短评内容': '一般般，价钱不贵', '短评打分': 5}
{'短评内容': '很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '我们住的是景观房，有阳台，孩子对阳台很感兴趣。房间的黑色调对于视觉，感觉很不舒服，还是喜欢淡淡的木板色。', '短评打分': 4}
{'短评内容': '还一般吧，不值这个价', '短评打分': 4}
{'短评内容': '房间一般，有烟味', '短评打分': 4}
{'短评内容': '还可以一班班', '短评打分': 5}
{'短评内容': '一般般，不值这个价位', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '出差', '短评打分': 3}
{'短评内容': '环境不错，房间也很大', '短评打分': 5}
{'短评内容': '为客户定的，她喜欢固定，不改地方，一直住这', '短评打分': 4}
{'短评内容': '房间很大', '短评打分': 5}
{'短评内容': '酒店设施还不错，床比较舒服。位置也比较方便，隔音相对差点，早餐一般', '短评打分': 5}
{'短评内容': '很好，很不错的酒店！很适合年轻人，情侣房很适合现在的90后', '短评打分': 5}
{'短评内容': '还不错的酒店！装修很时尚！值得一住！下次去了我还会再去！', '短评打分': 5}
{'短评内容': '这个酒店的隔音太差了。住的那天晚上可真是热闹，两边的房间都在男女一起“热闹”。我和入住的同事真的超级无语。更无语的是我们还是两个女生。那个声音实在是销魂的很。建议酒店的隔音处理一下。不然商务出差的话这个真的是没法住！', '短评打分': 5}
{'短评内容': '装修为北欧风格，很漂亮，很新。窗外视线宽阔，山峦起伏的美景一片。楼下餐厅装修有个性，生意太好了，以至上餐很慢。总之，推荐！', '短评打分': 5}
{'短评内容': '因为BF订的台州站的火车回去，所以选择住在黄岩，在网上找的这家酒店，Pic看起来很不错，就预订了，额，价格有点小贵，这次订的风情房，房间还不错，蛮大的，圆形浴缸很大，还有小电视，一边泡澡一边欣赏音乐，好看的电视。唯一不足的就是电脑很卡，幸好自己带了本子。还有一项就是房间没有提供免费的矿泉水，这个还是第一次遇到。有个小冰箱。床很大很舒服。距离火车站的距离也还行，打车比较方便，大概需要25-30元。楼', '短评打分': 5}
{'短评内容': '灯光太暗  我住的怀旧情侣房   卫生间太大 这样看起来房间好小   晚上晚了热水有点不正常  还有就是房间电脑重启就不上网了', '短评打分': 5}
{'短评内容': '环境还可以！挺温馨的！感觉价格比较优惠的，下次还来住！', '短评打分': 5}
{'短评内容': '     第一晚靠马路的房间被过往车辆吵的一夜无眠，贴钱换到五楼，总以为高枕无忧了，但是天花板不知哪里有滴水的声音，不过还好尚能睡着！建议酒店认真查查滴水的原因！', '短评打分': 1}
{'短评内容': '房间还不错，电视太坑爹了，这么大屏幕，就中间一小块是电视哈哈 好搞笑', '短评打分': 5}
{'短评内容': '环境还好,就是太贵。', '短评打分': 3}
{'短评内容': '很不错~环境也好的，就是网速有点卡，房间气氛的什么的都不错\n而且旁边就有茶餐厅什么的', '短评打分': 5}
{'短评内容': '不错，设施很齐全，价格实惠，服务人员的态度有待改善', '短评打分': 5}
{'短评内容': '从来没有见过把20多平方的房间夸大成40平方的，前台不够专业，早餐餐厅的服务员赶紧换掉吧，不然迟早有人和他打起来', '短评打分': 1}
{'短评内容': '内设置不错，比较干净舒适、圆床，视觉效果挺好。酒店服务态度也挺好，设施比较到位', '短评打分': 5}
