{'短评内容': '居住行食一流，性价比高！', '短评打分': 5}
{'短评内容': '环境不错，周边吃的东西多价位地道，房间挺', '短评打分': 5}
{'短评内容': '环境不错，房间性价比好！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '早餐有点差', '短评打分': 4}
{'短评内容': '酒店有点旧了，早餐有点差', '短评打分': 4}
{'短评内容': '比较实惠，', '短评打分': 5}
{'短评内容': '住了几次了，还行', '短评打分': 5}
{'短评内容': '比较实惠，', '短评打分': 5}
{'短评内容': '挺好的，就是确认太慢', '短评打分': 5}
{'短评内容': '不错啊，挺好的', '短评打分': 5}
{'短评内容': '不错啊，挺好的', '短评打分': 5}
{'短评内容': '挺不错的，挺满意', '短评打分': 5}
{'短评内容': '还好，不错挺适合', '短评打分': 5}
{'短评内容': '装修太老了 根本不像是13年装修的看着像是十年了', '短评打分': 3}
{'短评内容': '环境还不错，就是早餐差了些', '短评打分': 5}
{'短评内容': '酒店看着大气，虽然有点老旧，但住宿还可以，安静舒适。唯一不满意的是给我的卡竟然没磁！害得我每次进房间都要喊服务员上来刷，请前台的工作人员细心一点好么', '短评打分': 4}
{'短评内容': '装修陈旧', '短评打分': 4}
{'短评内容': '应该是开了挺长时间的酒店，总体来说还可以的，只不过离市区还是有一定的距离。住宿也安静舒适的', '短评打分': 4}
{'短评内容': '酒店房间整洁，设施完善，餐厅味道也不错哦，服务人员态度很好，对于出行来说也很方便，周边用餐购物很方便，酒店环境卫生也很好，值得推荐！下次还会选择入住的！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '房间有点小。卫生还行！', '短评打分': 4}
{'短评内容': '很好，可以', '短评打分': 4}
{'短评内容': '酒店房间整洁，设施完善，餐厅味道也不错哦，服务人员态度很好，对于出行来说也很方便，周边用餐购物很方便，酒店环境卫生也很好，值得推荐！下次还会选择入住的！', '短评打分': 4}
{'短评内容': 'yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy', '短评打分': 5}
{'短评内容': '服务一般，房间很小，性价比不高，单这一带没有特备好的酒店。', '短评打分': 1}
{'短评内容': '价格在附近算比较适中的，周围有很多小吃，因为在旁边办事，所以入住，感觉不错。', '短评打分': 5}
{'短评内容': '作为四星级真的不够好啊！枕头不舒服被子也不松软！豪华标准间啊简直就是迷你间嘛！厕所门开个90度就顶上浴室的玻璃门，浴室里手都伸不开囧！！！早餐30元一人，品种也不算很丰富面包超级难吃！！！', '短评打分': 1}
{'短评内容': '酒店实在是很一般，有个胖服务员总是拉着个脸，但凤城三路一带确实没啥好住的地方，凑合着住吧', '短评打分': 1}
{'短评内容': '环境一般，价格有点高了，服务也一般，下次不住了', '短评打分': 1}
{'短评内容': '酒店四星，价格不算便宜，服务一般，早餐38,有点贵，总体感觉不经济。', '短评打分': 3}
{'短评内容': '酒店价格有点高，380还不带早餐，走廊的地摊上到处铺着破布，周边的小吃倒是较多。', '短评打分': 5}
{'短评内容': '性价比极低，相当的不推荐，房间可能还不如一个标准的三星级酒店，房间太小了，床也太小了，还380元的房价，在西安这个地方，这样的房间最多250块就顶天了，也不是说他的房间不好，只是价格太高了，性价比太低收入', '短评打分': 1}
{'短评内容': ' 酒店差，房间小，不值这个价格', '短评打分': 3}
{'短评内容': '房间太小，价钱偏高，大堂太杂，门口太小，这种酒店不知道硬件如何能评估4星，硬件不够4星标准。', '短评打分': 1}
{'短评内容': '＋有点小贵了，卫生间为啥没有镜子？打扫不及时，一上午都没有见到', '短评打分': 3}
{'短评内容': '原来二百多的价格，因为世园会，涨到380元，还不好早餐。看来还是会议少一点好。', '短评打分': 5}
{'短评内容': '服务较好，环境干净，交通方便,价格便宜，最好能有去机场的班车就好了！', '短评打分': 5}
{'短评内容': '酒店有些老，不过比较干净，下次还来。性价比还过得去。呵呵', '短评打分': 5}
{'短评内容': '环境好，房间卫生干净，服务员态度好，交通也方便，以后出差去西安我还会第一选他', '短评打分': 5}
{'短评内容': '从来没有给一个酒店如此差的评价，软件不是一般的差，结账查房用了至少20分钟，结果搞错了房费用了30分钟，2个中国人3个外宾，服务生犯的错误前台一小节让我们房客自己协调把差价补过来，8点25开始退房退到9点一刻，前台服务生的人数倒是不少，人多有什么用？全在那里等楼上查房，极力不推荐住此酒店，如此差的软件，一般的不上星级的旅馆都不如', '短评打分': 1}
{'短评内容': '再也不住了，服务太差了，一点都不专业，结账慢', '短评打分': 1}
