{'短评内容': '位置不错，离三江城近', '短评打分': 5}
{'短评内容': '没有停车地方', '短评打分': 3}
{'短评内容': '卫生一般', '短评打分': 5}
{'短评内容': '没有停车场，临街比较吵', '短评打分': 4}
{'短评内容': '来好多次了', '短评打分': 5}
{'短评内容': '酒店房间还是不错的，就是没有放行李和包的地方，不过这个价格也不奢求什么了，随便住一天就可以了', '短评打分': 3}
{'短评内容': '一般吧', '短评打分': 5}
{'短评内容': '酒店环境不错！服务态度也不错！', '短评打分': 5}
{'短评内容': '比较干净，交通方便', '短评打分': 5}
{'短评内容': '网速很快，卫生也可以', '短评打分': 5}
{'短评内容': '酒店挺不错的，环境也很好，很卫生。外国友人来嵊州玩，表示满意。酒店没有熨斗，建议可以备一个，外宾有熨烫衣服的习惯。总体还是很满意的！', '短评打分': 5}
{'短评内容': '太吵，太小设施比80的小旅馆也差', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 5}
