{'短评内容': '酒店位置不错，哈工大很近', '短评打分': 4}
{'短评内容': '住了两天，第一天用了一条毛巾，没感觉出什么，第二天用了另外一条，往脸上一捂的一瞬间我差点吐了出来，一股浓重的烟灰的味道，说明什么就不用说了。硬件差，纸巾没有，厕纸用的是我自己的，牙膏早晚各一次是不够用的，只够一次用的。电视等于没有，有个央视新闻和三套，其他的没有。没有赠水。与价格严重不相称', '短评打分': 1}
{'短评内容': '差评，绝对不会再住第二次的破地方。1. 房间设施太旧就算了，不换被罩床单实在有点过了，地毯脏的一踏糊涂；2房间极不隔音，隔壁狗男女像撒欢的驴一样，正常说话就听得一清二楚，还TM总爱在床上蹦；3.所有的硬件没有好处也就罢了，其中一个服务员还好像欠她的似的，说话态度恶心至极，当然并不是全部的服务员，只有2017年11月15日白班的一人恶心。4. 号称有早餐的，结果说做饭的没来，给了两个达利园法式小面包', '短评打分': 1}
{'短评内容': '就是没热水，灯光昏暗，电视只有几个频道，优点是价格还行，139，位置好，附近吃饭很方便，去哈工大很方便，与孩子的十八公寓隔条路，总体凑合吧，下次还住这儿', '短评打分': 4}
{'短评内容': '早餐简陋', '短评打分': 5}
{'短评内容': '条件有些老旧了，就是因为离着工大比较近所以才来的。要不我真的不会选择这个地方。', '短评打分': 4}
{'短评内容': '位置不错，但设施偏老旧', '短评打分': 3}
{'短评内容': '环境很好，很卫生，价格也很便宜', '短评打分': 5}
{'短评内容': '酒店太旧了，该装修了', '短评打分': 3}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '携程订的给了优惠，却被安排在五楼，卓上厚厚一层灰', '短评打分': 3}
{'短评内容': '去哈工大出差，会经常住这里，总之还是不错的，比较方便。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店有点陈旧，楼下就有水果店，还买了俄罗斯的巧克力，回来同事都说味道不错。', '短评打分': 4}
{'短评内容': '离哈工大很近。房间装修很一般。早餐是免费的但品种很单调。午餐菜品有点贵。', '短评打分': 5}
{'短评内容': '空调不制冷，睡的好热', '短评打分': 3}
{'短评内容': '位置好，很方便。物价上涨，酒店价格也上涨。', '短评打分': 5}
{'短评内容': '酒店离工大很近，很方便，酒店干净整洁，性价比不错!', '短评打分': 3}
{'短评内容': '酒店还不错，就是要在12点前结帐。', '短评打分': 3}
{'短评内容': '宾馆设施陈旧，位置也比较难找，环境还算幽静！', '短评打分': 1}
{'短评内容': '早餐太差，都是冰凉的，还吃不到鸡蛋，无语。', '短评打分': 1}
{'短评内容': '我是10月3号退房，10月5日再住，可是到了今天（10月8日）记录里仍显示“已入住”，好像我住了店没结帐似的，真是晕死。\n这家酒店条件一般，很小的。早餐千篇一律，每天的菜和馒头是铁定的（老三样），而且永远都是冰凉冰凉的（也许是因为哈尔滨气候的原因吧），想吃煮鸡蛋，你必须在7点10分前去抢（早饭时间是7点－8点半），8点以后只会剩下些残羹剩饭了，因为我在那里吃了几天发现的，早饭只是在7点开饭时上一次', '短评打分': 1}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '还不错。', '短评打分': 3}
{'短评内容': '酒店环境不错，但是服务人员态度较差。希望能够改进。', '短评打分': 1}
{'短评内容': '性价比很好，值得一住。', '短评打分': 3}
{'短评内容': '房间比较干净，环境较为安静，餐厅较小。服务人员态度很好，挺热情的。', '短评打分': 5}
