{'短评内容': '环境好，服务好，很满意，下次还订。', '短评打分': 5}
{'短评内容': '交通方便，环境优美', '短评打分': 5}
{'短评内容': '环境好，服务好、前台美女漂亮。距离法院近、出差方便。非常。好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '交通方便，附近饮食多，服务好，环境清净舒服，非常满意！', '短评打分': 5}
{'短评内容': '很好，很满意！', '短评打分': 5}
{'短评内容': '环境不错，住了几次', '短评打分': 5}
{'短评内容': '住了几次，很不错！', '短评打分': 5}
{'短评内容': '房间大，干净', '短评打分': 5}
{'短评内容': '房间第二次入住，感觉还是挺好的，前台服务态度也非常不错，给个好评', '短评打分': 5}
{'短评内容': '房间很大，带阳台，设施齐全，早餐还是棒棒哒的', '短评打分': 5}
{'短评内容': '环境好，豪华干净', '短评打分': 5}
{'短评内容': '环境优美，服务态度超好的，始终还是大集团好，下次一定再光顾', '短评打分': 5}
{'短评内容': '经常入住台山凤凰酒店，房间舒服，服务态度好。', '短评打分': 5}
{'短评内容': '环境很好，优美，前台服务热情，贴心', '短评打分': 5}
{'短评内容': '非常值得信赖的酒店酒店干净整洁', '短评打分': 5}
{'短评内容': '环境很好，前台服务很好', '短评打分': 5}
{'短评内容': '前台美女的服务非常好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '服务非常好！', '短评打分': 5}
{'短评内容': '酒店环境很好', '短评打分': 5}
{'短评内容': '酒店交通方便，离高速路口只需要5分钟的车程，很方便。酒店门口有保安有礼貌的敬礼和指引车辆停放，行李生主动开车门和拿行李。大堂金碧辉煌，大堂的圣诞树很漂亮，员工都穿戴圣诞服装，感觉到浓浓的圣诞气氛。房间安排了湖景房，安静舒适，卫生细节都好。去温泉只需要10分钟的车程很方便。五彩早餐很丰富。酒店的环境很好，在这么好的环境绿跑很舒服。', '短评打分': 5}
{'短评内容': '服务态度超级超级超级好！', '短评打分': 5}
{'短评内容': '环境优美，高端舒适，推荐入住', '短评打分': 5}
{'短评内容': '出差都会入住台山碧桂园凤凰酒店，酒店的服务很好，工作人员很热情，性价比高，房间干净舒适，阳台很大，环境安静，绿化面积大。很满意，值得推荐。', '短评打分': 5}
{'短评内容': '交通便利，住宿环境好，前台服务周到，是台山最好的酒店！值得推荐！', '短评打分': 5}
{'短评内容': ' Envoirment is good. Room good. Breakfast  good', '短评打分': 4}
{'短评内容': '第一次入住台山酒店，之前有住开五邑酒店，台山这边房间大一点，卫生干净，酒店服务好。下次有时间再过来，也会推荐朋友过来。', '短评打分': 5}
{'短评内容': '房间挺大早餐品种多就是房间空调太噪了。', '短评打分': 3}
{'短评内容': '房间很大，舒服，床也很大，可以轻松睡两人，洗手间不错，干湿分明。泳池稍微小点。\n早餐种类挺丰富的', '短评打分': 5}
{'短评内容': '是在我住的5星级酒店里面价格最便宜，但是同样也是酒店素质最差的一家酒店。希望能够引进一些真正的五星级的标准。\n', '短评打分': 1}
{'短评内容': '房间很大，很舒服，周边有好吃的农家菜。', '短评打分': 3}
{'短评内容': '酒店不错，只是车位於过年时候不太足夠，如再到台山它仍是首选。', '短评打分': 3}
{'短评内容': '非常不错，环境干净，大床舒服（不是那种两张床并成的），隔音很好（玩得开心，也不会影响隔壁）！就是贵了点。', '短评打分': 5}
{'短评内容': '＋碧桂园凤凰酒店房间豪华，价格不贵，缺点是隔音效果略差。', '短评打分': 3}
{'短评内容': '酒店设计很好，有特色，房间够大，干净整洁，很温馨。推荐！', '短评打分': 5}
{'短评内容': '房间的性价比不错，自助早餐也可以。如果真的要改善的话，梳妆镜不应该对着床，这是风水的禁忌。另外亿龙没能帮我预先换大床房，稍感失望。', '短评打分': 3}
{'短评内容': '酒店还是服务比较到位，但是设施已经开始旧了，沙发上还有被香烟烫出来的洞', '短评打分': 5}
{'短评内容': '台山 最好的酒店啦～～～哈哈\n大堂装修有点像澳门的威尼斯人哦～～～', '短评打分': 5}
{'短评内容': '好..........................', '短评打分': 5}
{'短评内容': '地方有点偏僻.昨天中午要回去,让前台帮忙叫出租车,居然等了30分钟都没有,差点吴了班车', '短评打分': 5}
{'短评内容': '酒店装修的很有风格, 总体感觉不错.早餐品种太少,环境不错.从五一起可以游泳了,可惜没有时间.', '短评打分': 5}
{'短评内容': '在当地来说，酒店的设施和装修是无出其右的，位于碧桂园的楼盘内，早餐挺丰富，物有所值，值得推荐。', '短评打分': 5}
{'短评内容': '这种酒店不值得住，人都像傻瓜，满酒店都是西洋画，不伦不类的，啥玩意', '短评打分': 1}
{'短评内容': '硬件设施及环境都还不错，管理水准一般，自助餐及早餐质量偏低。作为五星级酒店一些常见的消耗用品都没有，如果是强调绿色应当事先说明，并备有付费的用品。', '短评打分': 5}
{'短评内容': '挺不错的酒店，配套设施也很好，就是地理位置不是很方便，要打车才能到市中心。', '短评打分': 5}
{'短评内容': '房间很大！酒店为响应环保（它是这样说的）一次性用品没有提供，我打电话让服务生送过来，要购买，10块一套。一般五星级的酒店，如果顾客需要，这些一次性都是免费的！！还有就是洗浴系统了，有热水就是那么一点，，开大一点水，水就不热了，我怀疑酒店用的是电热水器，实在太差，作为5星标准的酒店，水准一点都达不到。。。。。。', '短评打分': 1}
{'短评内容': '1.酒店虽然大，但是陈旧，空空荡荡，感觉不舒服\r\n2.酒店大堂区域顶上有很多西洋画，一看更不舒服，简直乡巴佬一个。\r\n3.酒店的通知说根据国务院和省政府通知，现在酒店在房间里啥都不供应，也就是说你的自己带牙膏牙刷，拖鞋，洗发洗浴膏，肥皂，梳子。。。。。。，反正房间里啥都没有，需要可以，付10元钱，TMD，酒店是否穷疯了，我在来之前去了深圳，珠海，没酒店这样啊！赶这种时髦还是蛮快的吗，国外也提倡如此', '短评打分': 1}
{'短评内容': '对碧桂园凤凰酒店整体来讲都非常满意，服务到位环境优美。去江门是最好的选择。', '短评打分': 5}
{'短评内容': '房间面积比较宽敞，配置设施装潢方面也都显得很豪华。', '短评打分': 5}
{'短评内容': '酒店硬件很棒，管理也很好，是一家很不错的五星级酒店。', '短评打分': 5}
{'短评内容': '欧式的建筑装修风格，看上去比较富丽堂皇。配置硬件也都非常好。', '短评打分': 5}
{'短评内容': '服务很好，员工工作很细致很到位，环境舒适漂亮。', '短评打分': 5}
{'短评内容': '房间很大，服务不错', '短评打分': 5}
{'短评内容': '这里的酒店服务设施很好，我的女朋友特喜欢，强烈建议来台山旅游的游客可以首选这里，绝对让您有宾至如归的感觉！', '短评打分': 5}
{'短评内容': '房间装饰新颖，卫生标准很高，住着放心。', '短评打分': 5}
{'短评内容': '公司开会的时候来过这里，酒店里有待客室、会议厅，蛮大的，设施齐全。', '短评打分': 5}
{'短评内容': '酒店很安静，环境优雅，晚上睡觉听不到外面的喧闹声，能够休息好，这一点很值得肯定。', '短评打分': 5}
{'短评内容': '房间很大，宽敞明亮，阳台可以观景，视野很开阔，住的非常满意。', '短评打分': 5}
{'短评内容': '酒店装修很漂亮，看起来很有活力，房间里空调、电视等效果也棒。', '短评打分': 5}
{'短评内容': '酒店的位置还可以，服务环境也不错，就是价格不太便宜', '短评打分': 5}
