{'descr': '环境还可以，还是比较的清净', 'star': 5}
{'descr': '不錯的飯店', 'star': 5}
{'descr': '挺好的。环境也不错。 ', 'star': 5}
{'descr': '很不错 交通便利 闹中取静', 'star': 5}
{'descr': '酒店新装修，温馨舒适；早餐很好，18元自助餐；有停车位但很忙；交通极为便利，十号线四号口离酒店门口最多100米，而且十号线可以到达淮海路、城隍庙、南京路。吃饭更方便，周围有各种吃店，刚开张的万象城几百家店餐饮购物更享受。这是一次愉快的旅行。下次还住汉庭。', 'star': 5}
{'descr': '交通方便，如实描述，商务出差，不错', 'star': 5}
{'descr': '超级差', 'star': 1}
{'descr': '还可以吧，住住可以了，还不错，可以推荐来住住，总体就这个样子了吧，中规中矩，还算过得去了，没住过的可以来试试', 'star': 4}
{'descr': '还好', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '房间好小 设施也比较陈旧 位置很好', 'star': 5}
{'descr': '可以', 'star': 5}
{'descr': '不错！干净卫生，出差方便，服务员服务比较周到，周边交通方便，吃的地方也多，比较适合出差人士选择！赞一个！位置较好，酒店服务尚可，当然对得起价格，别的都不错，', 'star': 5}
{'descr': '位置很好，离地铁站不算远.酒店附近还有个大商场，吃东西也很方便。房间不大，但设施很新，服务不错', 'star': 4}
{'descr': '环境不错，还算干净，周边属于闹市区，坐车吃饭娱乐都很方便！', 'star': 4}
{'descr': '环境还行，周围环境一般，但价格有点贵！', 'star': 5}
{'descr': '在这家住了几次, 没想到这次竟然被偷走东西, 朋友送的茶杯套拿走了上面的茶具, 手段真是高明啊~能进房间的除了打扫的阿姨还有谁呢？', 'star': 3}
{'descr': '中规中矩，这个价格还可以吧', 'star': 3}
{'descr': '＋交通非常方便，地铁10号线龙柏新村4号出口步行50米左右，周边餐饮娱乐齐全，双床房略嫌小。', 'star': 3}
{'descr': '经常住了，里古北新区很近很方便，以后还会住', 'star': 5}
{'descr': '房间很大，酒店距离地铁有一段路程，早餐一般。', 'star': 3}
{'descr': '酒店挺方便的，离古北新区也不远，适合出差的外籍人士', 'star': 5}
{'descr': '近十號線龍柏站,韓國酒客多,房客雜！', 'star': 3}
{'descr': '交通不太方便，有点偏了，早餐也不太好，下次得换了', 'star': 5}
{'descr': ' 非常干净，简洁方便', 'star': 3}
