{'短评内容': '好，非常地好！', '短评打分': 5}
{'短评内容': '好！的！很！', '短评打分': 5}
{'短评内容': '位置很好 路好走 停车场大 旁边就是观音洞 出门右转有饭店 冬天来的 宾馆人少还给免费升级的房间。地暖 特别暖和 浴室24小时热水 水又大又热 真心推荐这个宾馆 不知道旺季的价格 现在才一百多 太值了 跟五台山那些五星差不多', '短评打分': 5}
{'短评内容': '位置很好 路好走 停车场大 旁边就是观音洞 出门右转有饭店 冬天来的 宾馆人少还给免费升级的房间。地暖 特别暖和 浴室24小时热水 水又大又热 真心推荐这个宾馆 不知道旺季的价格 现在才一百多 太值了 跟五台山那些五星差不多', '短评打分': 5}
{'短评内容': '位置很好 路好走 停车场大 旁边就是观音洞 出门右转有饭店 冬天来的 宾馆人少还给免费升级的房间。地暖 特别暖和 浴室24小时热水 水又大又热 真心推荐这个宾馆 不知道旺季的价格 现在才一百多 太值了 跟五台山那些五星差不多', '短评打分': 5}
{'短评内容': '很划算，环境不错', '短评打分': 5}
{'短评内容': '挺好的酒店环境', '短评打分': 5}
{'短评内容': '环境不错，也挺干净的', '短评打分': 5}
{'短评内容': '总体还行 就是这个楼有地下一层 你们别看错了 幸亏当时我到那边换的 不然就坑了', '短评打分': 5}
{'短评内容': '房间还不错', '短评打分': 5}
{'短评内容': '酒店一般，服务不专业，比较安静。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '一般般啦', '短评打分': 3}
{'短评内容': '不错的地方，还有服务员态度和蔼可亲', '短评打分': 5}
{'短评内容': '暖气过热，定时供水不方便。总体还是不错。', '短评打分': 3}
{'短评内容': '酒店位与南山寺附近，环境清幽，很古朴有特色。那天我到店时间比较的早，看到大堂很漂亮 有很多木质桌椅，看着气派，但是房间内部设施不如大堂，毕竟在山上嘛。 ', '短评打分': 4}
{'短评内容': '干净超值…离景区不远，很方便', '短评打分': 3}
{'短评内容': '非常不好，就是一个招待所。欠我的发票到现在也没寄给我。', '短评打分': 1}
{'短评内容': '房间挺大的，该有的都有了，以当地的水平来看，也算是一家不错的酒店了！！！', '短评打分': 5}
