{'短评内容': '还行！', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '挺好的 有停车的地方。环境也挺好 离南站也不远 就是有点不太好找。附近有公交和地铁 去哪都方便值得推荐', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '离南站滴滴17元。洗手间狭窄，但是房间却很大，没理解这种设计。老房子，没有电梯，你的窗户可能对着楼道或者另一个房间，所以窗户的设定是只能开一半。枕头有一只颜色有点灰。当然了，具体位置还得看你的目的地。也是第一次住motel，我以为最起码dei达到汉庭的层次吧，结果还不如如家。', '短评打分': 3}
{'短评内容': '不错挺好的', '短评打分': 5}
{'短评内容': '就是快捷酒店，没啥特色，被子床单是更换干净的。', '短评打分': 4}
{'短评内容': '还不错，出行方便，环境安静', '短评打分': 5}
{'短评内容': '环境一般，交通一般', '短评打分': 5}
{'短评内容': '位置还行，离我办事的地方挺近，价格不算高。但是房间卫生非常不好，哪哪看着都脏，桌子上各种污渍，枕头明显污渍！', '短评打分': 3}
{'短评内容': '酒店其实很好找，但是我的导航出问题了，搜索莫泰上师大南站店地图上显示的和实际位置相差两公里，但是搜桂林路17号就可以。很便宜，性价比还不错，但是马桶有味，马桶座也很脏，没敢用。。。早上五点赶飞机离店了。', '短评打分': 3}
{'短评内容': '离上海南站（火车站）和地铁1号线很近，交通方便。房间还好，就是卫生间有点小，浴室门一打开玻璃门就能撞上马桶，洗漱不是很方便。其余的还可以。', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '离火车站很近，适合商旅出差，停车要收费，20块一晚，设施还可以，周边有家东北饺子馆，价格很实惠，量大。', '短评打分': 4}
{'短评内容': '酒店停车场需另外收费不合理，其他还是莫泰一如既往的风格，离南站蛮近的可以步行到达', '短评打分': 3}
{'短评内容': '地理位置非常不错，酒店周边也挺热闹的。\n关键是很好找，南站出来还是方便的，下次来还会住在这里。', '短评打分': 5}
{'短评内容': '不错,没有电梯不方便。其他都还可以的。。。。。。', '短评打分': 5}
{'短评内容': '不错很好的呢。。。地方很好找的啊。。。。', '短评打分': 5}
{'短评内容': '今天要提前退房了，没有网络，没有电视节目信号。前台态度恶劣，说是公安人员搞坏了宾馆的网络信号，搞笑！', '短评打分': 1}
{'短评内容': '＋酒店很好，出行很方便！', '短评打分': 3}
{'短评内容': '其实挺纠结，这里的价位还可以，靠近上海南站，不过实话说，各项指标一般，走道也是跟迷宫一样，房间里的设施只能说及格。', '短评打分': 5}
{'短评内容': '价格很实惠，但房间真的很小，实惠型的，没有电梯', '短评打分': 5}
{'短评内容': '酒店不错，价格合理。交通还算可以，离地铁站稍远一些！', '短评打分': 5}
{'短评内容': '酒店位置距离汽车南站步行半个小时，酒店环境一般，喜欢它的落地窗，不过窗外无美景…电视机是大屁股的老古董…综合来说还不错…', '短评打分': 3}
{'短评内容': '住了比较舒服 干净  服务到位 不错 ', '短评打分': 3}
{'短评内容': '＋环境好房间大，会再来住。', '短评打分': 3}
{'短评内容': '离上海南站近，酒店环境还行吧。房间是木地板，舒服', '短评打分': 5}
{'短评内容': '位置好，交通方便，停车也方便，自助餐一般。干净卫生。', '短评打分': 5}
{'短评内容': '是上海的朋友推荐住这家的，原因是价廉物美。到外面住，最主要是干净，卫生，像这样价格，能做到这些就OK了。', '短评打分': 5}
{'短评内容': '门缝里和衣柜里都是那种**服务的小卡片啊，还有床单被罩不是很干净，都怀疑有没有换。。。', '短评打分': 1}
{'短评内容': '普通标房普通了，如果不是急着，还不如团购的。', '短评打分': 3}
{'短评内容': '位置方便，比较清静。房间面积大，经济实惠。还有早餐供应。但是要另外付费。\n', '短评打分': 5}
{'短评内容': '距离上海南站比较近，我们是从南站出来去了汽车南站买完汽车票后打车去的酒店，告诉司机酒店在桂林路17号，司机就找到了，打车好像是14元，唯一不喜欢的地方是酒店没有电梯，可能是楼层比较矮的原因，但是对于走了很多路行李也很重的我真的是很不方便。因为我们第二天要坐汽车去西塘，所以住这里真的是方便极了。隔音效果是不太好，这是我出来玩的第一天住的酒店，结果没有睡好，有些影响第二天的行程。总体来说给80分吧', '短评打分': 5}
{'短评内容': '还行，这个价位的水平是有的，离南站近。', '短评打分': 3}
{'短评内容': '总的来说还OK…就是离南站还是有点小远…而且边上没有什么可以吃的地方呢', '短评打分': 3}
{'短评内容': '很不错,房间很干净.价廉物美.就是门口停车要收费,宾馆没有电梯.', '短评打分': 5}
{'短评内容': '还好的酒店', '短评打分': 3}
{'短评内容': '不错的', '短评打分': 3}
{'短评内容': '离南站很近，交通方便，也比较安静，有新亚大包和肯德基', '短评打分': 5}
{'短评内容': '我不明白为什么198的标间的卫生间比168的还小啊，235那间房的卫生间真心小啊，洗澡时手撞到墙N次啊', '短评打分': 5}
