{'短评内容': '不带吹风机和空调', '短评打分': 4}
{'短评内容': '设施有点老旧了，花园环境不错，洗澡水小了点', '短评打分': 4}
{'短评内容': '民宿风格，院子很有纳西族的特色。老板人很好。房间比较小。性价比高。', '短评打分': 4}
{'短评内容': '花园好漂亮，过去古镇也很静，就是有点偏僻而已，不过适合出来发呆的人，推荐', '短评打分': 5}
{'短评内容': '房间可能长期没人住，不太干净。老板人是挺好的！', '短评打分': 4}
{'短评内容': '老板娘很热情…', '短评打分': 5}
{'短评内容': '虽说有点偏，但是正是因为偏才有那么安静的环境，院子很美，客栈的木式建筑太棒啦~', '短评打分': 5}
{'短评内容': '首先老板娘，不热情也不算冷情，正常服务；其次客栈位置稍微有些难找，不过问问附近得人很快就能找到；第三，客栈环境很别致，话说每家客栈都挺漂亮的；第四，房间内部很不错，三人间挺宽敞得，至于不隔音，这个我觉得很正常；第五，价格，比起我们前面在大研住的，这里肯定称得上性价比超高，不过考虑到地理位置……第六，客栈离束河古镇说近不近，说远不远，近时这里离酒吧一条街挺近的，远是逛完古镇，回去还是挺远得，不过几个', '短评打分': 5}
{'短评内容': '很安静，适合放空发呆！', '短评打分': 5}
{'短评内容': '不错，就是出行不是很大方便', '短评打分': 5}
{'短评内容': '民居风格好，就是导航的位置不准，我绕了几圈，最后给老板娘打电话接的。老板娘为人好。', '短评打分': 4}
{'短评内容': '老板的人真的很好……我独自过来旅行……请老板帮我安排行程……很热心的都帮我安排好了……客栈的环境很好……设施也齐全……离束河古城大概一公里……离大研大概五公里……出门有公交车……很方便……强烈推荐入住……', '短评打分': 5}
{'短评内容': '太偏僻。路太不好走。下过雨泥泞得没法下脚。没有人服务。不建议住那里。', '短评打分': 2}
{'短评内容': '离古镇中心有点远', '短评打分': 5}
{'短评内容': '我在束河南门下车之后，老板开车来接。老板家有两个孩子，都很可爱！早餐建议大家可以在那里吃，十块钱，有稀饭配三样小菜（泡菜，豆腐乳，辣椒），还有丽江粑粑，一个煎蛋。反正我一个人吃不完…环境也很好，卫生条件也很好。绝对给好评，价格划算，走去古城约十分钟旅程，比较安静。', '短评打分': 5}
