{'短评内容': '酒店距离泰山景区很近，步行15分钟。设施较老，服务不错。', '短评打分': 5}
{'短评内容': '马马虎虎啦，就是离泰山近一些，不推荐', '短评打分': 2}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '设施老化', '短评打分': 2}
{'短评内容': '可能是住过/见过最低性价比酒店，双人间-没有牙刷有一只浴巾被子也是潮湿的…携程订的价格368，门店价格338。从此信任不在…', '短评打分': 1}
{'短评内容': '离泰山很近，交通很方便哦', '短评打分': 3}
{'短评内容': '离泰山比较近，出行方便，一早登山空气非常好。。离泰山比较近，出行方便，一早登山空气非常好。。。。。。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店离天外村很近，步行10分钟，爬泰山很方便，而且酒店给免费升级了套房，很满意，比较舒心的一次旅游。', '短评打分': 5}
{'短评内容': '酒店离天外村很近，步行10分钟，爬泰山很方便，而且酒店给免费升级了套房，很满意，比较舒心的一次旅游。', '短评打分': 5}
{'短评内容': '酒店离天外村很近，爬泰山很方便，而且酒店还给免费升级了套房，很满意，住的也比较舒服，很舒心的一次旅游。', '短评打分': 5}
{'短评内容': '还行吧  就是洗漱用品还得再自己购买', '短评打分': 4}
{'短评内容': '很舒适，团购的价位也很合算，附近有早市，买水果很方便，离着景区也很近，不错，值得推荐。', '短评打分': 5}
{'短评内容': '非常舒适的酒店，对面就有很山东特色的小吃店，购物也方便，去泰山就一公里左右，值得荐！', '短评打分': 3}
{'短评内容': '＋泰安山水嘉汇酒店内部环境不错，店员服务态度也不错，离天外村广场乘车点也就七八分钟的路；有一点就是酒店旁边晚有夜市，早有早市，睡眠不好的人可能不太舒服！', '短评打分': 3}
{'短评内容': '酒店很干净，也比较安静，还有定票点，只是我们去的时候还没开，总得说来值得推荐。', '短评打分': 5}
{'短评内容': '欧式装修 闹中取静  位置有点不好找  服务态度有待提高', '短评打分': 5}
{'短评内容': '\u3000酒店环境好\u3000服务态度好\u3000', '短评打分': 3}
{'短评内容': '酒店不错，服务周到，下次去爬泰山还住这里。', '短评打分': 5}
{'短评内容': '\u3000\u3000酒店价格比较实惠，周边的五一左右价格得差一百多，位于泰山脚下不太远走路十分钟左右，上泰山方便，但不是中心区，逛街得打车（反正是来爬山的，呵呵），在火车站打车的时候说上天外村广场走傲徕峰路，在路的左边，后面就是早市，有买小吃和纪念品什么的，有点吵，比较干净，离市中心不远，打车7块。住的比较舒服，热水很好，小吃不错，下次来还会入住。', '短评打分': 5}
{'短评内容': '还不错，木地板，不能刷卡，离天外村走路15分钟。', '短评打分': 5}
{'短评内容': '通过本次入住该酒店，感觉环境还好，就是后边（北边街道）有些吵，而且附近有吃饭的地方，实惠。', '短评打分': 5}
{'短评内容': '订的商务房，却只给标间，要换还要加钱，甚么叫诚信？', '短评打分': 3}
{'短评内容': '酒店位置还行，房间很干净，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店装修还行，但服务不行，酒店不提供洗漱用品，入住也不提前通知，等客人要用时才告诉你要自备，更火的是退房时不给发票，说只有收据。', '短评打分': 3}
