{'短评内容': '还没去住呢，不知道怎么评论呢', '短评打分': 5}
{'短评内容': '还可以吧！短暂休息的好地方', '短评打分': 5}
{'短评内容': '住了一晚，几乎没睡着，太吵了，楼下有个烧烤店半夜还很多人，大厦有一层是麻将室一直听到麻将声，居然还有人带狗去住半夜还在叫几声，完全没有隔音，还有半夜2～3点入住的人也在同一层，讲话声很大特别吵，管理很差……', '短评打分': 3}
{'短评内容': '一般吧，也不知道是前面哪个房客打开了矿泉水又没喝，结果算我房费里来了，工作人员平常检查挺不仔细的', '短评打分': 3}
{'短评内容': '性价比高，就是对面的工地施工有点吵。', '短评打分': 5}
{'短评内容': '各方面都一般吧', '短评打分': 3}
{'短评内容': '，，，，， ， ，', '短评打分': 5}
{'短评内容': '很干净！舒服', '短评打分': 5}
{'短评内容': '很喜欢，很干净', '短评打分': 5}
{'短评内容': '环境不错，很容易找到，', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '整洁，干净利落，服务态度好，赞一个不错，下次还会继续选择。', '短评打分': 4}
{'短评内容': '我觉得这个酒店性环境好，干净，周围有很多好吃的，还有个小百货，在携程订房价格也特别便宜，跟很多酒店比起来性价比很高，点个赞', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 4}
{'短评内容': '干净舒适，隔音还可以，听到隔壁装修声和偶尔楼下车声，门锁有一个坏了，厕所异味太严重，清洁工清洗了异味还有，可能哪里设备有问题。整体满意吧。', '短评打分': 4}
{'短评内容': '还是挻好，性价比还好。相比长安店要差一点，不过下次还会继续支持。', '短评打分': 4}
{'短评内容': '很好，赞一个', '短评打分': 5}
{'短评内容': '不错的环境，实惠，干净', '短评打分': 5}
{'短评内容': '临时入住，洗手间小。', '短评打分': 4}
