{'短评内容': '非常好，服务很好', '短评打分': 5}
{'短评内容': '很好 很大气 要付500押金 晚上和女友住的很愉快 美滋滋', '短评打分': 5}
{'短评内容': '还可以，就是打车不方面', '短评打分': 5}
{'短评内容': '还不错的酒店，服务很到位', '短评打分': 5}
{'短评内容': '门口在修路', '短评打分': 4}
{'短评内容': '还不错… …', '短评打分': 5}
{'短评内容': '环境卫生，服务都可以，就是修路，交通差点', '短评打分': 5}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '非常好，虽然酒店外观有点老 但里面还是不老', '短评打分': 5}
{'短评内容': '满意', '短评打分': 4}
{'短评内容': '门口在修路，其他满意', '短评打分': 4}
{'短评内容': '一般的酒店，没太多评价', '短评打分': 3}
{'短评内容': '一般的酒店，性价比稍微差些', '短评打分': 3}
{'短评内容': '房间宽敞舒适，很干净，地理位置稍有点偏', '短评打分': 5}
{'短评内容': '房间感觉不错，前台很礼貌，介绍的也很详细。房间也比较精致，早餐不错。唯一不足的是酒店蚊子太多，酒店解释的是酒店靠近湖边夏日会有比较多蚊子', '短评打分': 5}
{'短评内容': '酒店离办事的地方很进，因为行程很急订错了时间。但酒店前台和大堂经理服务十分热情周到，据说在房间非常紧张的情况下还为我安排了一间房间。最后顺利入住，对此我十分感谢。客房的床也比较软比较舒服，晚上休息的不错。不过早餐品种有点少，匆匆吃了一点味道一般。服务员也没有晚上入住时那批人热情。', '短评打分': 5}
{'短评内容': '酒店周边没什么配套设施，但房间很干净，设施也比较新。\n入住结账都很快，服务不错。', '短评打分': 5}
{'短评内容': '房间有点小，其他还行。房间有点小，其他还行。房间有点小，其他还行。房间有点小，其他还行。', '短评打分': 5}
{'短评内容': '很不错，酒店比较干净', '短评打分': 3}
{'短评内容': '酒店软硬件都不错，价格稍高。', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '定点酒店', '短评打分': 3}
{'短评内容': '一酒店环境好!  位置便利!', '短评打分': 3}
{'短评内容': '我是替客户定的房间，客户住过后评价非常不错，说住得很舒服，服务很周到，以后来武汉还要住这里，看来选择这家酒店没错。', '短评打分': 5}
{'短评内容': '酒店地理位置有点偏，房间靠雄楚大道,很吵，价钱有点贵，物无所值，但附近无大酒店，办事方便还可以。', '短评打分': 5}
{'短评内容': '价钱涨得过高，服务却跟不上，如果不是地方离办事的地方近不会选择的。', '短评打分': 1}
{'短评内容': '硬软件都还可以，但是我的结账为什么到今天还没有取消预授权？', '短评打分': 5}
{'短评内容': '还不错，什么都比较方便，就是装修比较老了哈。', '短评打分': 5}
{'短评内容': '房间很舒服，设计合理。好', '短评打分': 3}
{'短评内容': '挺好，就是服务员整理房间时动作轻些，在走廊大清早交谈声音特别大，搞卫生个几间房都能听到，像搬家似的', '短评打分': 5}
{'短评内容': '作为一家五星酒店，服务有待提高，其他方面还不错', '短评打分': 5}
{'短评内容': '还不错 ,行政房的饮料和洗衣是免费的,房间也不错，早餐一般', '短评打分': 5}
{'短评内容': '性价比较高的酒店，以后还会继续考虑入住，就是比较不好打车........', '短评打分': 5}
{'短评内容': 'jiu dian she shi dou hen hao ,jiu shi da che you dian bu fang bian.', '短评打分': 5}
{'短评内容': '环境很好！', '短评打分': 3}
{'短评内容': '环境还可以吧 但是没有浴缸 自己标的是五星的 奇怪的五星', '短评打分': 5}
{'短评内容': '武汉雄楚国际大酒店武汉雄楚国际大酒店武汉雄楚国际大酒店', '短评打分': 5}
{'短评内容': '竟然遇到两次都不能开发票 真不知道这个酒店在搞什么！！', '短评打分': 1}
{'短评内容': '相对来说 很一般  一切都是如此~~~不确定还会不会入住', '短评打分': 5}
{'短评内容': '行程当中最满意的酒店，餐厅的东西很好吃，就是不怎么好打车，最好提前订。', '短评打分': 5}
{'短评内容': 'jiu dian hen hao :)jiao tong hen fang bian', '短评打分': 5}
{'短评内容': '环境优美，远眺南湖。服务优良，下次还会入住', '短评打分': 5}
{'短评内容': '行政楼层简直无语了 跟普通的没任何区别 崩溃', '短评打分': 1}
{'短评内容': '环境相对价格来说一般了 感觉是比较中庸的', '短评打分': 5}
{'短评内容': ' 五星级里面价格较为低的,虽说服务可能有点跟不上,但是很划算', '短评打分': 5}
{'短评内容': '感觉还行 房间比较大.但是卫星电视经常画面和声音不同步', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '踏破铁鞋无觅处，得到全不费功夫，蓦然回首，酒店却在灯光阑珊处，还望硬的更硬，软的更软，满足天下客人食住行', '短评打分': 5}
{'短评内容': '行政酒廊的东西弱了点 建议相关负责人可以去其他的酒店考察一下 去金盾看看', '短评打分': 5}
{'短评内容': '交通便利，服务周到', '短评打分': 3}
{'短评内容': '感觉房价有点偏高!', '短评打分': 3}
{'短评内容': '酒店服务态度很好，房间刚装修好滴，好像有点点味道。我们定的是豪华套房，挺大的，一室一厅，中间用推门分隔开。床太大了，感觉像是一个人在睡觉。早餐只有一份，不够吃哦！总的来说还是不错滴。', '短评打分': 5}
{'短评内容': '麻麻地，行政房服务不错，以后有机会再来吧', '短评打分': 5}
{'短评内容': '位置不错，服务有改善，下次再住概率比较大，给力\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '位置不错，服务有改善，下次再住概率比较大，给力', '短评打分': 5}
{'短评内容': '并没有想象的好\n不能提供机打发票 说是坏了\n', '短评打分': 5}
{'短评内容': '酒店环境很好，服务很好。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很不错，服务很好。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店环境有点乱，店内消费倒是不贵，不过下次去应该不会选这家酒店了', '短评打分': 1}
