{'短评内容': '还不错好喜欢', '短评打分': 5}
{'短评内容': '酒店硬件太差了，窗帘一拉，窗帘杆就掉了，床垫也感觉怪怪的，很无奈地将就了一晚上。', '短评打分': 4}
{'短评内容': '还可以吗？！', '短评打分': 4}
{'短评内容': '单人房没有了，免费升级了大床房（没有窗户），不过也挺安静的，周边吃饭很多，买东西也方便，旁边就是华润万家', '短评打分': 5}
{'短评内容': '不錯，很满意。', '短评打分': 5}
{'短评内容': '小，太小了，不过挺经济的。', '短评打分': 5}
{'短评内容': '酒店前台很热情，总体卫生设施还行，就是没有电梯带行李不太方便，不过这个价很实惠了！', '短评打分': 5}
{'短评内容': '酒店前台很热情，总体卫生设施还行，就是没有电梯带行李不太方便，不过这个价很实惠了！', '短评打分': 5}
{'短评内容': '其他方面都非常好，只是房间有点小，显得有点憋闷，价格很便宜，适合性格节俭的人。床是很大的双人床，可以睡俩个人。毛巾少了点，有些不太够用。最喜欢的是房间里的沐浴乳，是椰香味，特别喜欢！住宿没有电梯，所以东西带的太多的话可能会拎不动。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '硬件很好，装修的很有情调，门口还有景点路线说明小纸条，挺细心的。不过小缺憾是酒店是楼梯房，而且入住的时候在厕所看到一个小强，房间有蚊子。', '短评打分': 4}
{'短评内容': '还可以吧，这个价格挺合适的！地点很好！公交很多，离山塘街，市中心，平江路，拙政园都很近！！！！自己住还是不错的', '短评打分': 4}
{'短评内容': '经济实惠，周边景点很多，出行方便', '短评打分': 5}
{'短评内容': '房间太小，卫浴毛巾只有两块，两个人怎么用？卫生间没有门，不合理。不值这个价！', '短评打分': 4}
{'短评内容': '整个环境不错，热水网络都可以，简单住住蛮方便，毕竟价格不贵', '短评打分': 4}
{'短评内容': '酒店很干净，，整个酒店布置很温馨，前台帅哥服务态度很好，离火车站只有2站路，很近，房间空间一般，就这个价位已经不错了。下次过来还来这家住！', '短评打分': 5}
{'短评内容': '服务有点儿诡异', '短评打分': 4}
{'短评内容': '好的', '短评打分': 5}
{'短评内容': '出来旅行，干净，舒服，安全很重要，不错奥。可以推荐。', '短评打分': 5}
{'短评内容': '房间干净，无线很快。就是小了一点。整体不错。', '短评打分': 5}
{'短评内容': '酒店交通挺方便，好像装修不久，干净卫生，设施新，提供无线上网很方便。不足是房间较小。', '短评打分': 5}
{'短评内容': '房间不大，但比较干净，物有所值，总体来说满意', '短评打分': 5}
{'短评内容': '还不错.价格实惠下次还到你家', '短评打分': 3}
{'短评内容': '可以，位置好，考虑入住，方便，性价比高。带着孩子去的，不错。', '短评打分': 5}
{'短评内容': '真心的一般，太一般了，電視搖控是壞的，找了半天也沒有備用的，設施只能說太家常化了，唉，也就一晚而已，將就將就吧', '短评打分': 1}
{'短评内容': '房间非常舒适，地段好，周边环境不错，值得入住！\n', '短评打分': 5}
