{'短评内容': '书香气息很好，前台小高服务态度很好！', '短评打分': 5}
{'短评内容': '酒店设施不错，有儿童游乐区，态度也很好', '短评打分': 5}
{'短评内容': '书香花香熏香，服务好，白勇，邹燕服务热情。', '短评打分': 5}
{'短评内容': '书香世家酒店不错，前台小潘服务挺好。', '短评打分': 5}
{'短评内容': '非常不错，服务好，环境好，干净舒适', '短评打分': 5}
{'短评内容': '每次出差都会住这家，服务和卫生都非常满意！', '短评打分': 5}
{'短评内容': '第一次住书香世家连锁酒店。酒店装修很有特色。服务佳，环境佳。如果浴室水流声音再小一点的话，就更完美了?', '短评打分': 5}
{'短评内容': '位置很好，参加无锡马拉松入住的，正好在终点的位置。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '书香体验非常好，儿童乐园不错。白先生服务满意', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '体验很棒，房间里还有书，酒店白先生服务和沟通非常满意，早餐也很棒', '短评打分': 5}
{'短评内容': '酒店位置在江南大学旁边，到鼋头渚很方便。周边绿化很好，感觉挺不错。酒店服务人员挺热情，白勇，陈丽芳，和前台的几位小姑娘都挺好。', '短评打分': 5}
{'短评内容': '在郊区，都还行吧，说得过去', '短评打分': 4}
{'短评内容': '酒店客户经理白勇服务非常好非常热情周到，到无锡下次还会来住这里。', '短评打分': 5}
{'短评内容': '性价比高，环境好，卫生设备齐，知客白勇先生热情，赞！', '短评打分': 1}
{'短评内容': '所谓的免费WiFi完全无法使用，慢的就跟老牛是的，我也是无语了，其他都还不错，总的来说还是不错的，酒店位置很好。', '短评打分': 5}
{'短评内容': '环境很好，性价比不高', '短评打分': 3}
{'短评内容': '酒店设施不错，服务态度也蛮好的，因为在订购时没有写明是要双床的，一开始给的是大床房，但一说明总台马上就给换了双订房。这个价位的房间如果含早餐就更给力了。', '短评打分': 5}
{'短评内容': ' 酒店卫生很棒 环境也不错 就是交通是个大问题 打车很难 入住容易离开难', '短评打分': 3}
