{'短评内容': '有停车场，比较方便。位置很好找，貌似在谢岗这地方也只有这家可以选择吧。。。。。隔壁的早茶蛮好吃的。。。', '短评打分': 5}
{'短评内容': '位置还好找', '短评打分': 5}
{'短评内容': '早餐还不错，SPA按摩很实惠', '短评打分': 5}
{'短评内容': '很不错的酒店～', '短评打分': 5}
{'短评内容': '前台服务及其不好，态度不好，房间还可以，早餐更没有话说', '短评打分': 3}
{'短评内容': '好好好，这里服务环境都很好，下次来还会选择这个地方入住', '短评打分': 5}
{'短评内容': '一直都是住璜玛，之前不知道可以在携程上面定 都是现场买的480 不便宜 现在在携程上定省了一半刚好，在谢岗只有皇马比较好，其他都太差了', '短评打分': 5}
{'短评内容': '很干净，不错', '短评打分': 5}
{'短评内容': '这是镇上最好的酒店，大堂冷清房间干净，楼下有KTV 还好住的11楼不吵。睡懒觉错过了早餐时间，不知道早餐如何。', '短评打分': 4}
{'短评内容': '环境、卫生可以', '短评打分': 1}
{'短评内容': '房间干净整洁，设施完善。', '短评打分': 5}
{'短评内容': '房间卫生不完善', '短评打分': 4}
{'短评内容': '返点变化太大', '短评打分': 5}
{'短评内容': '酒店正好在我出差地点对面，11楼以上比较安静，问题是太贵了', '短评打分': 5}
{'短评内容': '房间还好，酒店服务不太满意，太死板，早餐不卫生。', '短评打分': 4}
{'短评内容': '本地最好的酒店，招待贵客不二之选', '短评打分': 5}
{'短评内容': '挺好的，望继续努力', '短评打分': 5}
{'短评内容': '性价比非常好，而且酒店新，服务和设施都很周到，环境安静', '短评打分': 5}
{'短评内容': '环境比较舒适，服务态度较好，对客户的需求反应比较积极！', '短评打分': 5}
{'短评内容': '其他还好，就是晚上12点，关空调了，问前台，前台回复：天气不热，所以关了。不像一家四星级酒店的做法。同是新都会，比樟木头新都会，塘厦新都会怡景差很多。', '短评打分': 5}
