{'descr': '交通方便，房间比较小，还好。', 'star': 4}
{'descr': '＋还不错', 'star': 3}
{'descr': '无窗大床房潮湿，不通风，158也不便宜，远不如不远的布丁酒店。', 'star': 1}
{'descr': '地段很好，旁边就是十号线国权路站。房间挺干净！', 'star': 5}
{'descr': '地理位置很好 就在国权路站几十米左右 而且旁边吃的也很多', 'star': 5}
{'descr': '房间挺小，还算干净，不通风，卫生间里马桶和淋浴在一起，洗完澡后马桶湿的。', 'star': 5}
{'descr': '房间较小，交通挺方便，不过也值这个价了，马桶和淋浴在一起，不是很方便', 'star': 5}
{'descr': '还不错，就是隔音不太好。还算干净整洁，交通便利', 'star': 5}
{'descr': '卫生挺好，交通也很方便，就是空调效果不是很好', 'star': 5}
{'descr': '交通倒是很方便，就在国权路地铁站旁边，但是房间很小，而且有些潮湿。我入住的时候房间的马桶还堵了，服务员弄了三次都没弄好。', 'star': 5}
{'descr': '房子不大，条件一般，就是隔壁的锅炉排气扇的声音有点吵。', 'star': 3}
{'descr': '交通很方便', 'star': 3}
{'descr': '房间挺干净，虽然小点，但不影响休息，客服人员态度很好，地理位置也不错，国权路地铁出来两分钟就到！', 'star': 3}
{'descr': '很实惠', 'star': 3}
{'descr': '位置不错···就在地铁口旁边！价格还合理~电梯有点小。没找到楼梯', 'star': 1}
{'descr': '就在十号线国权路出口，周围有店吃饭买东西都很方便，就是去同济要走15分钟，稍微远了点，楼下饭店工作时鼓风机的声音响了点。', 'star': 5}
{'descr': '条件还好，服务态度不错！', 'star': 3}
{'descr': '性价比不高啊\n\n住的经济大床房，房间极为狭小且布局不合理。淋浴设在卫生间一面，地面未作任何隔断，洗完澡满地都是水。马桶和洗手台紧连在一起，坐马桶都受影响，要微微侧身，很不舒服。电视台就是24个卫视，再加个cctv-1.\n\n好处是酒店位置确实不错，check in 和check out都比较快。', 'star': 1}
{'descr': '服务一般,噪音较大 早上还有装修,空调老是低读地度声音 和外空调的滴水声\n厕所的风扇噪音很大 卫生间太小 竟然淋浴和马桶在一起\n在也不会去了', 'star': 1}
{'descr': '很好', 'star': 3}
{'descr': '住的经济大床房，无窗户，床很大，但室内空间极小，除了床就基本没有立足之地了…价格还挺贵。。\n不过酒店地理位置不错，旁边有各种小吃。酒店还算卫生，装修得也很不错~服务态度也还好。', 'star': 1}
