{'短评内容': '还不错的，虽然出了点小差错，商家服务很好', '短评打分': 5}
{'短评内容': '酒店很脏，无任何性价比。', '短评打分': 3}
{'短评内容': '这是我很不愉快的一次住酒店经验，以后再也不会入住该酒店了。我订的是458元三人间，网上显示一张1.8米大床，两张1.2米床，到了总台后，那边人居然说三人间是标间再加一张床，难道我不会自己定标间加床啊？后来我们只好要了668一间的所谓的家庭套房，也就是真正的三人间。这也就算了，房间虽然看着好像设备很好，但实际很糟，床头灯都不会亮，卫生间莫名其妙地漏水，大床小间窗外就是空调室外机，吵得要命，另一间由于', '短评打分': 1}
{'短评内容': '走廊地毯，扫把清洁，电梯门口，垃圾大桶，空调罢工，遥控没电，设施陈旧，设备简陋，酒店徒名，绝对差评！', '短评打分': 1}
{'短评内容': '性价比相当高，交通也方便（从高速公路下去，一进镇就到了）。但离景区还有一定距离，不是广告中说的那么近。', '短评打分': 5}
{'短评内容': '服务态度尚可，也许是过年的原因，服务员较少，美中不足的是水压较小，冷水时有时无。', '短评打分': 5}
{'短评内容': ' 酒店还好。就是太偏僻了。自驾游么可以考虑下。价钱有点小贵', '短评打分': 3}
{'短评内容': '该酒店的服务是很好的，由于是新开的宾馆，很多地方做的还很不到位，在这里住了2晚，第一天套间内的空调不好，把我冻的要死，第二天晚上又没有热水了，后来向酒店反应后，有热水了！把问题反应给酒店他们能好好的对待，所以还是推荐一下，希望随着经验的积累，他们能服务的越来越好！该酒店还有一个好处就是国内的长途电话随便打，这个服务很贴心啊！', '短评打分': 5}
{'短评内容': '酒店很新，部分楼层在装修，第二天星期天结账，居然没有发票，有点小小的遗憾！！', '短评打分': 5}
{'短评内容': '还可以，就是偏了点，不过很好找，高速下去一直走进镇路口就是，呵呵！', '短评打分': 5}
{'短评内容': '酒店设施不错，员工很友善，只是周边环境差，临街的一面很吵，大卡车呼哨而过', '短评打分': 5}
{'短评内容': '明明入住酒店，但酒店竟然说未入住成功，后来通过亿龙证实并解决，房间性价比不高，而且还没早餐，10.1期间也没办法了', '短评打分': 3}
{'短评内容': '刚开业的酒店。从东阳过来下车还要走一段路，其实去景区还是有点距离的。热水不给力', '短评打分': 5}
