{'短评内容': '到店后环境卫生好！室内干净整洁！', '短评打分': 5}
{'短评内容': '最近跟的当地旅游团休息不是很好，最后一天自己订了离火车站近的七天连锁酒店住。入住的时候让前台服务人员帮忙安排一个安静的房间，很快就答应了。结果房间隔音效果差，不停有人在走廊说话。昨天晚上旁边工地11点才停止工作，早上8点又开始工作了。这就是安静一些的房间，第一次住到这么不满意的七天。', '短评打分': 5}
{'短评内容': '当时为了出行方便经济实惠选择了火车站周围，以为选择连锁酒店会靠谱一些，没想到进去就感觉冷冰冰，门缝塞小广告尚且不说，居然看到了“小强”爬到床上，真是让人崩溃...', '短评打分': 2}
{'短评内容': '真的是一星都不想给！房间小，设施不怎么好，服务态度还很恶劣！退房时落了一个小米充电器头，晚上打电话给前台，前台说忙，查查再告诉我，然后就没有任何消息了，再打电话就打不通了，五天后回到长沙特意跑到酒店让前台找找，态度依旧十分恶劣，等了很久依旧告诉我没找到！明明就是落在房间，收拾屋子扔掉了或者某位服务人员拿走了，直说就好了！理直气壮地推卸责任！有意思么！！！对长沙的感觉，对七天酒店的感觉，都因为这次入住体验变得很差！', '短评打分': 1}
{'短评内容': '环境不错家人满意', '短评打分': 5}
{'短评内容': '位置很方便 离地铁口很近 虽然房间稍小但是两张床都是一米二的 周围吃的东西也很多 空调声音有点响 其余都满意', '短评打分': 5}
{'短评内容': '非常不错。去长沙之前的头天晚上在京东白条订好的，过去了不用排队开房交押金，直接就可以入住了。退房更快，房卡往吧台一放，拖着箱子就直奔机场，非常方便，以后就这么定了，满意', '短评打分': 5}
{'短评内容': '环境不错，离火车站比较近，方便', '短评打分': 5}
{'短评内容': '安静,卫生,服务态度好.好评', '短评打分': 5}
{'短评内容': '酒店实惠 价格优惠 服务态度也好', '短评打分': 5}
{'短评内容': '设施有点旧了，房间有点小，空调还行制冷效果不错', '短评打分': 4}
{'短评内容': '1234567890', '短评打分': 5}
{'短评内容': '不错的房间，朋友反映很好。', '短评打分': 5}
{'短评内容': '还好吧', '短评打分': 5}
{'短评内容': '空调嘶哑了，床不稳，卫生间狭小，没有洗脸毛巾', '短评打分': 1}
{'短评内容': '空调声音太大，门锁锁不了', '短评打分': 3}
{'短评内容': '交通非常方便，环境也不错', '短评打分': 5}
{'短评内容': '位于闹市，比较方便。卫生也不错。', '短评打分': 5}
{'短评内容': '比较老的七天，房间比较破旧了，但是挺方便的', '短评打分': 4}
{'短评内容': '位置比较好…临近火车站，地铁站…就是入住了，就有人员放卡片在你门缝…酒店应该加强管理…其他还好…价格优惠…', '短评打分': 4}
{'短评内容': '还是不错', '短评打分': 4}
{'短评内容': '服务认真，卫生干净，闹中有静，网络好用，电源充足，交通网优，出行方便，心情舒畅，下次还住七天！', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '地理位置不错，离车站很近，交通方便', '短评打分': 5}
{'短评内容': '太贵啦，便宜点就好，总体还可以', '短评打分': 3}
