{'短评内容': '嗯', '短评打分': 5}
{'短评内容': '位置特别方便', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '早餐很差', '短评打分': 3}
{'短评内容': '很不错，价格也合适', '短评打分': 5}
{'短评内容': '房间还可以，就是有点小，但是对得起这个价格。停车场不大，停车不是很方便，自驾游的童鞋注意！！！位置不错，离各个景点比较近，周边比较繁华。定房间的注意！！！我在网上定的90元一天的特价房，第二天续租服务台告诉我要99元。出门在外没跟他计较。需要定房间的童鞋最好算好住几天一次定，或者电话咨询涨不涨价，别再花冤枉钱。', '短评打分': 4}
{'短评内容': '这家宾馆确实不错，住着很舒服', '短评打分': 5}
{'短评内容': '房间还可以，有些小。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间较大，还有个阳台，不过这季节没啥用。', '短评打分': 4}
{'短评内容': '卫生间不好，房间里面可以，', '短评打分': 3}
{'短评内容': '很好，很衛生。推薦朋友們入住。', '短评打分': 5}
{'短评内容': '装修比较老旧，一楼房间气味大，二楼洗手间太小。', '短评打分': 3}
{'短评内容': '住得还行吧，一楼。进去有早餐味，一楼是可以吃免费早餐的吧，不过我们没吃，一楼饭味太重了。不过房间里面就闻不到，房间正合适两人住，没其他东西，不然放不下，就是卫生间洗澡水流下去太慢了，有些堵，马桶也还好，毛巾建议自己带不是很干净，毛巾上面还有痕迹没洗干净，不过住酒店还是用自己的毛巾比较好。 其余自己看图片自己想象，评价还不错，还会再住的！', '短评打分': 5}
{'短评内容': '没窗很闷，洗浴的水小的可怜…', '短评打分': 3}
{'短评内容': '位置很好，离交通方便，泉城路很近，各项设施也较好', '短评打分': 5}
{'短评内容': '有些 失望', '短评打分': 3}
{'短评内容': '位置不错 去大明湖、趵突泉、千佛山、火车站都有直达的公交车，吃饭也很方便。', '短评打分': 5}
{'短评内容': '酒店很满意，网速可以，房间很干净', '短评打分': 3}
{'短评内容': '不错的酒店，环境很好，服务态度也不错。总之不错。会向朋友推荐 \n', '短评打分': 5}
{'短评内容': '酒店位置不错，在解放路和历山路交界地方，应该是刚装修，所以上楼楼道里的地板都没铺，还是那种刚铲掉的水泥块的样子，而且有股装修味道。但是房间不错，床很舒服，还有个阳台。厕所的门不好开，锁住了就很难在里面拉开！而且，希望能有吹风机！', '短评打分': 5}
{'短评内容': '宾馆干净整洁，交通很便利，非常满意！不过要温馨提醒一下自己入住的亲，厕所门千万别关死，不然很难打开，我就被关里面了，\\(^o^)/~，死活打不开，朋友喊来服务员给打开的，搞得好囧', '短评打分': 5}
{'短评内容': '位置挺好，在市中心，房间也挺干净的，服务还可以', '短评打分': 5}
{'短评内容': '价格合适，条件不错，和如家差不多，下次还会入住！', '短评打分': 5}
