{'短评内容': '的地敏敏明敏', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '不错  不错 不错 不错 不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '不错，就是地板老点', '短评打分': 5}
{'短评内容': '23点后洗澡没热水！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店位置好，车位不多，早餐10元一位但是我们没吃，不知道怎么样。用的东西很多都是单独收费的，一定要看清楚，特别是洗漱用品，很多都是单独收费。', '短评打分': 4}
{'短评内容': '性价比还可以', '短评打分': 4}
{'短评内容': '经济实惠好', '短评打分': 5}
{'短评内容': '环境好服务好', '短评打分': 5}
{'短评内容': '环境好，条件也好', '短评打分': 5}
{'短评内容': '我的房间有点臭，妈妈的挺好的。环境还行，就是门外安暖气，开车不好进入。网速不快，但是价格比较实用。这个价位比较合适。对了，卫生间很漂亮。', '短评打分': 4}
{'短评内容': '订时标价98元返25元，到现在也没返且无人再联系，不知哪儿出错！', '短评打分': 5}
{'短评内容': '性价比高，其他的一般', '短评打分': 4}
{'短评内容': '环境与服务不错，价格合理，安静安全', '短评打分': 5}
{'短评内容': '环境很不错，这个价位，真是太值了，而且交通很方便，宾馆在小区内，很安静，我喜欢！', '短评打分': 5}
{'短评内容': '非常好 整体来说很不错，价格便宜，经济实惠，很安静也挺干净的，没有怪味道，安全通道设置的也很好，让人看了也很放心。', '短评打分': 5}
