{'短评内容': '一般般班一般般班', '短评打分': 4}
{'短评内容': '酒店的位置比较好，出门都挺方便的，有直达的车去火车站，汽车站和趵突泉西门。卫生条件不错，也不吵。房间空间比较大，舒服。热水水压超级给力，太舒服了。周边也很多小店可以吃东西。这个价格大力推荐，房间里有端口可以上网，但是要带电脑。唯一一点，无线网络问了密码还是上不去。。', '短评打分': 5}
{'短评内容': '位置很好，离大明湖和趵突泉都很近......', '短评打分': 5}
{'短评内容': '酒店周围吃饭方便。距离大明湖公园很近，也可以去芙蓉街吃小吃，都很方便的，步行就可以。', '短评打分': 5}
{'短评内容': '地方有点偏，隔音不好，卫生间不是特干净。窗户较高。。。价钱还可以吧', '短评打分': 1}
{'短评内容': '位置离主要景点都不远，适合喜欢走路的人，坐公交不算太方便。房间不大，卫生一般，与汉庭之类的快捷酒店有些差距。网上价钱还算可以，门市价就显的贵了。', '短评打分': 5}
{'短评内容': '房间蛮大的，就是进去一股霉味。', '短评打分': 3}
{'短评内容': '挺不错的地方，安静，好找，周围吃的很多，离各个景点很近，赞一个', '短评打分': 5}
{'短评内容': '打的去酒店只要12元。从火车站去。\n在一个小区内。很安静。离大明湖和趵突泉很近。走路不到十分钟就到大明湖了。\n附近吃的还可以的。烧烤什么的都有。酒店除了比较小。其他都很好。\n也很安静。没有电梯。不过因为楼层不高。就两层。所以没关系。\n价格也便宜。反正还可以啦。', '短评打分': 5}
{'短评内容': '内部环境还好.就是位置在小区内,不太好找.不过离大明湖,芙蓉街,趵突泉都是一两站的距离.基本上步行就可以.很方便.', '短评打分': 3}
{'短评内容': '宾馆位于居民小区的小巷内,离大明湖南门及泉城广场很近,出行比较方便.不足之处是房间面积很小,陈设简陋,服务态度一般,但相对于价格值得推荐.', '短评打分': 5}
{'短评内容': '环境还不错，地理位置很好，步行去大明湖，芙蓉街，曲水亭街，泉城广场很方便。只是房价小了些，不过出门旅游只是个休息的地方，也还可以。', '短评打分': 5}
{'短评内容': '位置很好，景点都步行可达，白天去逛了景点，晚上去逛街。喜欢门口摆放的花草，价格也便宜，很满意。', '短评打分': 5}
{'短评内容': '屋子非常干净，设施什么的也都很好，服务态度极好，交通也方便，值得一住', '短评打分': 3}
{'短评内容': '环境非常好,进门很有特色,虽说是一家小宾馆,服务员态度挺好,就是隔音效果不好,一开始睡在2楼楼梯旁的宾馆,旁边上下楼梯听得主清楚了.电视频道较少,好多频道没有信号.如果不注重看电视,睡一晚那还是不错的,价格很实惠. 之前中途离开济南退过一次房并让酒店帮我预留今天的大床房,回来时候看我比较累,询问了我需要一楼还是二楼.因太累了选择了一楼.不过好像北方的窗和南方不一样,都挺高,外面有栏杆栏住.感觉有点', '短评打分': 5}
{'短评内容': '在市中心，重要的是去景点方便，价钱还比较实惠！我们从火车站搭3路公交车，经过7个站，在青龙桥下车，面对华能大厦，左边的小巷进，走大概200米可以到宾馆！大床，有电视，网线，东西还蛮齐全，房间小但是装修还不错，前台MM美，态度很好！可以步行去趵突泉、黑虎泉、解放阁等等景点！附近还是泉城路，吃东西逛街也方便！总体来讲还是不错的住处！\n\n', '短评打分': 5}
{'短评内容': '在90这个价位~环境设施都不错~位置也很好~吃东西也方便~就是坐车麻烦点~反正我是走路的啦~', '短评打分': 5}
{'短评内容': '酒店价格便宜。。。。还是挺干净的。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房子有些旧了，有一股味道，看着不是很干净，一般！', '短评打分': 1}
{'短评内容': '位置不错，北面是大明湖，到芙蓉街，恒隆广场，泉城广场都蛮近的。周围小吃很多。', '短评打分': 5}
{'短评内容': '价格合适，房间不错，下次还要住这。。                  。', '短评打分': 5}
{'短评内容': '这家酒店真心不错，我订的是特价的大床房，房间宽敞，没怪味，总体来说很棒，值得你拥有~', '短评打分': 5}
{'短评内容': '全意宾馆位置相当不错，到大明湖，趵突泉，泉城广场，芙蓉街，解放阁，黑虎泉等都不算远，离崔义清鲁菜馆也很近。宾馆干净卫生，设施齐全。缺点：周围是住宅小区，很早就有人活动，房间略小，到都是些小毛病。总体评分4分吧。', '短评打分': 3}
{'短评内容': '感觉不错，服务确实很周到！态度也相当好！确实找不出什么缺点，也许就是规模不大吧，但很温馨了', '短评打分': 5}
{'短评内容': '预定的好像没有了 临时调换的 房间不大，还算可以啦 对得起这个价格', '短评打分': 5}
{'短评内容': '住宿环境比较清静，服务员态度很好，离大明湖很就，总体很满意', '短评打分': 5}
{'短评内容': '真的很不错，干净整洁。还离大明湖超近！不错！', '短评打分': 3}
{'短评内容': '全意很靠谱 房间干净整齐 服务员态度特别好 交通挺便利 打车乘公交都很方便 和同学走着去的大明湖和趵突泉 到千佛山打车10块周边小吃饭店也挺多 离商圈很近 总体还是很不错的 方便实惠 推荐大家入住', '短评打分': 3}
{'短评内容': '干净卫生，是当地最气派最大的旅馆，大门造型典雅古朴，内置简约不简单，可以看出装修都是新装的，很干净，隔音也很好，每层都有微型大厅可以休息，不错！值得推荐', '短评打分': 5}
{'短评内容': '酒店周围比较安静，离大明湖很近，但不太好找，的士司机不会去，要酒店的人员和司机说了几次才知道怎样走，房间一般，面积比较小，卫生挺干净的，性价比不错。', '短评打分': 5}
{'短评内容': '酒店很不错,离大明湖泉城广场芙蓉街趵突泉都很近,就是在一个很大的小区里,找的时候要留意', '短评打分': 3}
{'短评内容': '房间蛮大的，干净卫生，热水哗哗的。离大明湖很近,第一次去有点不太好找！！整体感觉还不错！！！', '短评打分': 5}
{'短评内容': '卫生可以，离大明湖景点很近，就是房间小点', '短评打分': 5}
{'短评内容': '还可以,满意.', '短评打分': 3}
