{'descr': '。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '服务态度好，干净，整洁，房大！服务态度好，干净，整洁，房大！服务态度好，干净，整洁，房大！服务态度好，干净，整洁，房大！服务态度好，干净，整洁，房大！服务态度好，干净，整洁，房大！服务态度好，干净，整洁，房大！服务态度好，干净，整洁，房大！服务态度好，干净，整洁，房大！服务态度好，干净，整洁，房大！服务态度好，干净，整洁，房大！服务态度好，干净，整洁，房大！', 'star': 5}
{'descr': '服务态度很好，早餐好！', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '服务态度很好！早餐好！', 'star': 5}
{'descr': '服务态度好，早餐好，', 'star': 5}
{'descr': '非常方便干净服务特别好 交通方便 舒适透气 特色小吃特别多 下车还会在来有来南京的朋友可以预定这个酒店', 'star': 5}
{'descr': '服务好。', 'star': 5}
{'descr': '订单很快完成，优惠幅度也比较大，方便实用', 'star': 5}
{'descr': '除了房间稍稍小点，其他都还不错。', 'star': 5}
{'descr': '出行很方便，经济实惠', 'star': 4}
{'descr': '离新街口很近，出门就是三元巷，夜宵很方便', 'star': 4}
{'descr': '房间不到20平米的，床也不是1.8的，打给前台问怎么不是1.8的床，居然说整个宾馆都没有1.8的床，什么情况', 'star': 4}
{'descr': '酒店地理位置非常好，出差商务休闲旅游都特别适合住，交通出行吃饭很方便', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '房间太小太吵', 'star': 3}
{'descr': '地理位置很好，市中心，周围各种大厦可以消费。房间实在太小了，空调就装在头顶，很干，不开又冷。打扫房间后也不舍得更换一下牙杯什么的，而且是一次性杯。空调遥控器可能没电了，感应不好，浴室有点脏，没有帘子遮，躺床上的人可以看到里面人洗澡，汗汗汗', 'star': 4}
{'descr': '酒店很老了，但地点真心不错，就在新街口，去哪儿都方便。但晚上太吵了，小孩子在走廊里喊都没人管，隔音太差', 'star': 4}
{'descr': '地理位置特别好，离地铁站很近，卫生很好，很干净。退房不查房，入住手续很快！赞赞赞！', 'star': 5}
{'descr': '酒店的环境很好，交通也很便利，楼下都是吃的，好评…', 'star': 5}
{'descr': '相当的不错啊。。。', 'star': 5}
{'descr': '交通很方便，条件一般般。', 'star': 4}
{'descr': '总的来说还不错', 'star': 5}
{'descr': '内容', 'star': 3}
{'descr': '很好的地方哦！交通太方便了！', 'star': 3}
{'descr': '挺好的', 'star': 3}
{'descr': '酒店地理位置优越，大堂明亮气派，酒店房间设施齐全，宽带上网免费，服务员热情周到，出行也很方便', 'star': 5}
{'descr': '位于市中心，搭乘地铁方便，附近也有超市，餐馆，麦当劳等，很方便~', 'star': 5}
{'descr': '没啥特别的感觉                          还行吧', 'star': 5}
{'descr': '环境很好，很正规也很干净，在市中心却很安静，非常喜欢，下次来南京还会再来，', 'star': 5}
{'descr': '酒店在闹市区，购物用餐很方便，虽然房间小点，但是该有的都有了，觉得要是有数字电视就好了。', 'star': 5}
{'descr': '离市里比较近，很不错，喜欢，喜欢。。。。。。。。。。。。。', 'star': 5}
{'descr': '不错，很方便，性价比很高。设施也不错。坐地铁乘公交都方便。', 'star': 5}
{'descr': ' 唯一的优点是地势好', 'star': 3}
{'descr': '浴室透明玻璃很有创意，不过私密性不好，床比较硬，隔音不好，唯一优点地理位置极好', 'star': 5}
{'descr': '莫泰168一直都是给人蛮干净的感觉，这家也不例外！距离新街口很近，附近小吃也很多，不错！', 'star': 5}
{'descr': '因为酒店位置处于市中心，所以房间较小~但是总体来说还不错了！', 'star': 5}
{'descr': '在大洋办事，所以定了这里。出行和吃饭都很方便。房间还行，空间不大。', 'star': 5}
{'descr': '地势非常好，交通方便。设施有些陈旧，电视很小，床有响声。', 'star': 3}
{'descr': '  酒店不错', 'star': 3}
{'descr': '还可以。只是从地铁站还要走一段路。幸好地铁一路都有吃的，喝的，卖东西的。', 'star': 1}
{'descr': '大床房还是比较大的，设施一般，主要是在新街口方便。', 'star': 5}
{'descr': '房间有点旧了，离大洋很近，主要是出差方便。', 'star': 5}
{'descr': '完全不隔音，半夜还能听到外面夜宵炒菜；设施陈旧，洗手间龙头铁锈横生，马桶边还经常漏水渗水；房间蚊子多，总台服务人员工作态度差，收钱前后两幅嘴脸。总之，如果你够强大就来试试。非常差！', 'star': 1}
{'descr': '很不错，来南京都在莫泰住，希望酒店还是要注意下隔音。', 'star': 5}
{'descr': '很不错，每次来南京都住莫泰，希望酒店注意下隔音。', 'star': 5}
{'descr': '位置相当好，逛街、吃饭、坐地铁都很方便，有停车位，就是床不太舒服，房间看起来有点旧', 'star': 5}
{'descr': '位置相当好，逛街、吃饭、坐地铁都很方便，有停车位，就是床不太舒服，房间看起来有点旧', 'star': 5}
{'descr': ' 每次去南京都住这，很方便，值得推荐。', 'star': 3}
{'descr': '房间看上去还算不错、而且地段超好的、对面就是大洋百货！而且刚好大洋年中庆、我赚到了！房间最大的缺点就是不隔音！', 'star': 3}
{'descr': '房间真的很小，但是毕竟白天都是在外面的，所以觉得还OK.地段真心好，出行或者购物都很方便。', 'star': 5}
{'descr': '环境挺好，就是空间小！', 'star': 3}
{'descr': '地理位置不错 附近都是商场 离地铁口也很近 但是隔音实在太差了 连隔壁房的手机震动我都能听见 太可怕了', 'star': 1}
{'descr': '唯一的好处：位置在市中心，新街口。\n其他毫无推荐之处，商务大床房，由于地段好面积小就不说了，房间弥漫着一股霉味，空调制冷不好，服务一般。\n真搞不懂，莫泰为什么用那个脏兮兮的化纤地毯，脏的难受。蓝色花的杯子，脏了也看不出来，网络时断时续。\n\n', 'star': 1}
{'descr': '挺好的，环境不错，挺干净的，比其他的快捷酒店住着舒服，值得推荐', 'star': 5}
{'descr': '市中心  我住的是特价168 这个价钱算便宜了 但是稍微旧了点 方便倒是方便', 'star': 1}
{'descr': '说句实话，就是一个客栈，真的是不隔音啊不隔音。对面人看什么电影都听得见。下次我是不会住了。。。', 'star': 1}
{'descr': '搞不懂我定的商务大床为什么比特价房还小，热水器马桶都是残疾的，还吵的要死', 'star': 3}
{'descr': '挺好的，交通方便，出门就是新街口，地铁站，也挺好找的，干净卫生，只是不知道为毛第二天没有服务员来打扫房间，还有就是房间有点暗了。', 'star': 5}
{'descr': '房间有点儿闷闷的，卫生间很小，喷头有点儿坏，洗澡洗的不是很爽！', 'star': 1}
{'descr': '承袭了快捷酒店所有的优缺点,房间布置比较温馨,但是房间比较小,隔音很差,隔壁电视机的声音都听得特别的清楚.', 'star': 5}
{'descr': '承袭了快捷酒店所有的优缺点,房间布置比较温馨,但是房间比较小,隔音很差,隔壁电视机的声音都听得特别的清楚.', 'star': 5}
{'descr': '有点脏，地方太小，设施陈旧，但位置较好，紧靠新街口大洋', 'star': 1}
{'descr': '有点脏，地方太小，设施陈旧，但位置较好，紧靠新街口大洋', 'star': 1}
{'descr': '房间太小了，与广告不符合，电视太差了，服务较好。', 'star': 3}
{'descr': '房间太小了，与广告不符合，电视太差了，服务较好。', 'star': 3}
{'descr': '莫泰不错呦，这个路段，这个价位还是很值得的。卫生条件也很不错，就是隔音效果有点差，不过还是很值得推荐。如果有机会下次还会入住。。。', 'star': 5}
{'descr': '莫泰不错呦，这个路段，这个价位还是很值得的。卫生条件也很不错，就是隔音效果有点差，不过还是很值得推荐。如果有机会下次还会入住。。。', 'star': 5}
